Pedigree,Treatment,Bench,Row,Column,Whole_Dry_weight_1,Whole_Dry_weight_2,Whole_Dry_weight_3,Pot_id
PI 533810,LN,1,10,1,0.1,0.1,0.2,1001
PI 656084,LN,1,9,1,0.1,0.1,0.1,1002
PI 534079,LN,1,8,1,0.2,0.1,0.3,1003
PI 655991,LN,1,7,1,0.1,0.1,0.1,1004
PI 534070,LN,1,6,1,0.1,0.1,0.1,1005
PI 656083,LN,1,5,1,0.2,0.2,NA,1006
PI 629059,LN,1,4,1,0.2,0.2,0.1,1007
PI 656006,LN,1,3,1,0.1,0.1,NA,1008
PI 576380,LN,1,2,1,0.3,NA,NA,1009
PI 533843,LN,1,1,1,0.1,0.1,0.1,1010
PI 533915,LN,1,10,2,0.2,0.4,0.1,1011
PI 576348,LN,1,9,2,0.1,0.1,0.1,1012
PI 656112,LN,1,8,2,0.2,0.2,0.2,1013
PI 534037,LN,1,7,2,0.1,0.1,0.1,1014
PI 656120,LN,1,6,2,0.2,0.4,0.4,1015
PI 655983,LN,1,5,2,0.2,0.2,0.1,1016
PI 533759,LN,1,4,2,0.2,0.2,0.1,1017
PI 655989,LN,1,3,2,0.1,0.1,0.1,1018
PI 564163,LN,1,2,2,0.1,0.2,0.1,1019
PI 656007,LN,1,1,2,0.1,0.1,0.1,1020
PI 656053,LN,1,10,3,0.1,0.2,0.2,1021
PI 533807,LN,1,9,3,0.1,0.1,0.1,1022
PI 595745,LN,1,8,3,0.1,0.1,0.1,1023
PI 656076,LN,1,7,3,0.3,0.1,NA,1024
PI 534097,LN,1,6,3,0.1,0.1,0.1,1025
PI 595702,LN,1,5,3,0.1,0.1,0.1,1026
PI 656110,LN,1,4,3,0.1,0.1,0.1,1027
PI 659693,LN,1,3,3,0.3,0.2,0.1,1028
PI 564163,LN,1,2,3,0.1,0.1,0.1,1029
PI 656107,LN,1,1,3,0.1,NA,NA,1030
PI 656049,LN,1,10,4,0.1,0.1,0.1,1031
