Pedigree,Treatment,Bench,Row,Column,Whole_Fresh_1,Whole_Fresh_2,Whole_Fresh_3,Pot_id
PI 656007,LN,1,1,2,0.2,0.4,0.4,1020
PI 656080,LN,1,6,17,0.2,0.6,0.5,1165
PI 533760,LN,1,15,12,0.2,0.2,NA,1296
PI 656088,LN,1,1,4,0.3,0.9,0.7,1040
PI 597946,LN,1,5,12,0.3,0.7,0.8,1116
PI 534009,LN,1,3,15,0.3,0.38,0.4,1148
PI 561071,LN,1,16,11,0.3,0.6,0.8,1285
PI 576337,LN,1,16,15,0.3,0.6,NA,1325
PI 548797,LN,1,3,8,0.4,0.7,0.4,1078
PI 597958,LN,1,9,10,0.4,0.4,0.4,1092
PI 564163,LN,1,7,10,0.4,0.4,0.4,1094
PI 533839,LN,1,13,2,0.4,0.6,1,1198
PI 533789,LN,1,15,6,0.4,0.5,0.8,1236
PI 656090,LN,1,14,9,0.4,0.9,0.7,1267
PI 598070,LN,1,16,10,0.4,0.2,0.7,1275
PI 534133,LN,1,12,11,0.4,1.2,1.2,1289
PI 656010,LN,1,19,18,0.4,0.4,NA,1352
PI 656024,LN,1,2,18,0.47,1.11,0.92,1179
PI 533843,LN,1,1,1,0.5,0.5,0.6,1010
PI 564163,LN,1,2,3,0.5,0.6,0.3,1029
PI 659691,LN,1,3,4,0.5,0.4,0.5,1038
PI 564163,LN,1,5,7,0.5,0.8,1,1066
PI 576364,LN,1,6,9,0.5,0.4,0.4,1085
PI 576373,LN,1,4,10,0.5,0.7,1.2,1097
PI 576375,LN,1,10,13,0.5,0.3,0.6,1121
PI 533838,LN,1,3,14,0.5,1.5,NA,1138
PI 656047,LN,1,9,18,0.5,0.7,0.4,1172
PI 576339,LN,1,11,2,0.5,1.4,0.5,1200
PI 533863,LN,1,20,4,0.5,0.7,0.4,1211
PI 564163,LN,1,14,5,0.5,0.6,0.5,1227
PI 656001,LN,1,12,7,0.5,0.5,0.6,1249
PI 533962,LN,1,12,10,0.5,0.5,0.6,1279
PI 655980,LN,1,13,14,0.5,0.4,0.4,1318
PI 576393,LN,1,11,14,0.5,0.6,0.4,1320
PI 534096,LN,1,18,15,0.5,0.5,NA,1323
PI 48770,LN,1,15,15,0.5,0.4,0.5,1326
PI 656031,LN,1,2,15,0.51,0.52,NA,1149
PI 533766,LN,1,5,18,0.53,0.42,0.44,1176
PI 534037,LN,1,7,2,0.6,0.7,0.8,1014
PI 533939,LN,1,4,4,0.6,0.2,0.3,1037
PI 533943,LN,1,8,6,0.6,1.3,1.2,1053
PI 595718,LN,1,9,7,0.6,0.6,0.6,1062
PI 655981,LN,1,8,7,0.6,0.4,0.8,1063
PI 655992,LN,1,9,9,0.6,0.5,NA,1082
PI 656062,LN,1,7,9,0.6,0.7,NA,1084
PI 597951,LN,1,1,10,0.6,0.6,0.7,1100
PI 656028,LN,1,3,12,0.6,1,1,1118
PI 656033,LN,1,2,13,0.6,0.7,0.9,1129
PI 566819,LN,1,8,15,0.6,1,0.7,1143
PI 533989,LN,1,2,16,0.6,0.6,0.8,1159
PI 533878,LN,1,3,17,0.6,1.4,1.2,1168
PI 656044,LN,1,2,17,0.6,1.7,NA,1169
PI 656018,LN,1,16,1,0.6,0.5,0.4,1185
PI 533877,LN,1,15,2,0.6,0.8,0.7,1196
PI 533754,LN,1,16,3,0.6,0.5,0.4,1205
PI 595741,LN,1,18,4,0.6,0.5,0.6,1213
PI 597950,LN,1,20,7,0.6,0.8,0.7,1241
PI 656059,LN,1,16,7,0.6,0.8,0.7,1245
PI 533997,LN,1,14,8,0.6,0.6,0.5,1257
PI 534127,LN,1,19,9,0.6,0.8,0.4,1262
PI 564163,LN,1,19,10,0.6,0.8,0.2,1272
PI 655972,LN,1,20,11,0.6,1.3,1.2,1281
PI 533830,LN,1,17,11,0.6,0.8,0.4,1284
PI 576340,LN,1,11,11,0.6,1,0.7,1290
PI 564163,LN,1,17,12,0.6,1.1,NA,1294
PI 534144,LN,1,19,13,0.6,0.9,1.1,1302
PI 595743,LN,1,14,13,0.6,1.3,0.8,1307
PI 533794,LN,1,12,13,0.6,0.8,1.3,1309
PI 533912,LN,1,14,15,0.6,1,1.1,1327
PI 561072,LN,1,12,15,0.6,0.9,0.5,1329
PI 655999,LN,1,5,15,0.68,0.53,0.88,1146
PI 533876,LN,1,9,4,0.7,0.6,0.8,1032
PI 656026,LN,1,2,4,0.7,0.6,NA,1039
PI 656093,LN,1,6,6,0.7,1.4,0.9,1055
PI 534135,LN,1,3,7,0.7,0.8,0.7,1068
PI 597973,LN,1,1,9,0.7,1.3,1.4,1090
PI 533902,LN,1,10,10,0.7,0.4,0.4,1091
PI 534075,LN,1,7,11,0.7,0.9,0.5,1104
PI 564163,LN,1,5,11,0.7,0.5,1,1106
PI 576352,LN,1,6,13,0.7,0.8,0.6,1125
PI 533980,LN,1,4,13,0.7,0.4,0.3,1127
PI 564163,LN,1,17,1,0.7,0.7,0.7,1184
PI 656096,LN,1,14,1,0.7,1.2,1.1,1187
PI 533757,LN,1,11,1,0.7,1.1,1,1190
PI 533936,LN,1,18,2,0.7,1,0.8,1193
PI 533800,LN,1,12,4,0.7,0.8,0.9,1219
PI 533965,LN,1,16,5,0.7,0.9,0.6,1225
PI 533901,LN,1,15,7,0.7,0.8,0.3,1246
PI 534145,LN,1,14,7,0.7,1.4,1.1,1247
PI 655982,LN,1,20,8,0.7,1.4,0.5,1251
PI 656034,LN,1,19,8,0.7,1,1.3,1252
PI 534108,LN,1,16,8,0.7,0.5,0.9,1255
PI 597976,LN,1,13,8,0.7,1.1,0.6,1258
PI 564163,LN,1,12,8,0.7,0.6,0.6,1259
PI 641836,LN,1,20,9,0.7,0.6,0.5,1261
PI 656113,LN,1,16,9,0.7,0.9,0.6,1265
PI 653617,LN,1,15,9,0.7,0.8,0.7,1266
PI 656081,LN,1,13,9,0.7,0.5,NA,1268
PI 533841,LN,1,16,12,0.7,0.7,0.4,1295
PI 655977,LN,1,16,13,0.7,1.2,0.9,1305
PI 534047,LN,1,15,13,0.7,0.9,0.8,1306
PI 656020,LN,1,13,13,0.7,0.7,0.9,1308
PI 576347,LN,1,15,14,0.7,0.8,1,1316
PI 656036,LN,1,14,14,0.7,0.7,0.7,1317
PI 655975,LN,1,16,16,0.7,1.1,1.1,1335
PI 595740,LN,1,15,17,0.7,1.1,1,1346
PI 534021,LN,1,18,18,0.7,0.6,1.5,1353
PI 629034,LN,1,14,18,0.7,0.8,1.3,1357
PI 533785,LN,1,4,18,0.78,0.64,0.53,1177
PI 656084,LN,1,9,1,0.8,0.5,0.4,1002
PI 534070,LN,1,6,1,0.8,0.6,0.6,1005
PI 629059,LN,1,4,1,0.8,1.2,1.2,1007
PI 656104,LN,1,3,5,0.8,0.8,0.9,1048
PI 656072,LN,1,2,5,0.8,0.9,0.9,1049
PI 533769,LN,1,9,6,0.8,0.8,1.6,1052
PI 534132,LN,1,4,7,0.8,0.8,NA,1067
PI 656119,LN,1,5,8,0.8,0.3,0.8,1076
PI 595720,LN,1,2,8,0.8,0.9,1.1,1079
PI 597980,LN,1,3,9,0.8,1.2,0.7,1088
PI 329440,LN,1,1,13,0.8,0.9,0.4,1130
PI 656094,LN,1,6,14,0.8,0.6,0.7,1135
PI 576345,LN,1,2,14,0.8,0.9,0.9,1139
PI 642791,LN,1,10,15,0.8,0.7,0.5,1141
PI 533921,LN,1,4,16,0.8,NA,NA,1157
PI 533998,LN,1,4,17,0.8,0.9,0.8,1167
PI 659753,LN,1,20,1,0.8,0.7,0.6,1181
PI 533855,LN,1,14,2,0.8,1.1,0.4,1197
PI 534053,LN,1,20,3,0.8,0.8,NA,1201
PI 576376,LN,1,17,4,0.8,0.8,1,1214
PI 597952,LN,1,20,5,0.8,0.6,0.8,1221
PI 656099,LN,1,11,7,0.8,1.2,0.8,1250
