Pedigree,Treatment,Bench,Row,Column,leaf_Count1,leaf_Count2,leaf_Count3,Pot_id
PI 533921,HN,2,26,10,NA,NA,NA,2095
PI 576386,HN,2,36,1,NA,NA,NA,2185
PI 655979,LN,1,10,18,5,NA,NA,1171
PI 655993,HN,2,37,8,7,6.5,6,2254
PI 533760,HN,2,36,8,7,NA,NA,2255
PI 576359,HN,2,40,9,7,7.5,7,2261
PI 597982,HN,2,36,10,7,7,6,2275
PI 533949,HN,2,37,12,7,5,7,2294
PI 533761,HN,2,37,17,7,6,NA,2344
PI 597964,HN,2,29,4,6.5,4.5,4.5,2032
PI 656028,HN,2,29,5,6.5,6,5.5,2042
PI 576434,HN,2,24,7,6.5,6.5,6,2067
PI 534115,HN,2,30,15,6.5,6,NA,2141
PI 656026,HN,2,33,1,6.5,NA,NA,2188
PI 533871,HN,2,31,1,6.5,7,NA,2190
PI 533830,HN,2,38,8,6.5,7,6,2253
PI 576399,HN,2,36,11,6.5,6,6,2285
PI 534133,HN,2,36,12,6.5,6,6.5,2295
PI 656001,HN,2,35,12,6.5,6,6,2296
PI 564164,HN,2,35,15,6.5,7,NA,2326
PI 533901,HN,2,39,17,6.5,5.5,5.5,2342
PI 655992,HN,2,38,17,6.5,6,6,2343
PI 24969,HN,2,39,18,6.5,5,5,2352
PI 534128,HN,2,37,18,6.5,NA,NA,2354
PI 655986,HN,2,35,18,6.5,6.5,7,2356
PI 656110,HN,2,30,1,6,6,NA,2001
PI 534046,HN,2,29,1,6,6,6,2002
PI 564163,HN,2,22,1,6,6,NA,2009
PI 656023,HN,2,21,1,6,5,6,2010
PI 656073,HN,2,23,2,6,6,NA,2018
PI 656008,HN,2,21,2,6,6,NA,2020
PI 629034,HN,2,23,3,6,5.5,NA,2028
PI 656096,HN,2,22,3,6,5,NA,2029
PI 533964,HN,2,24,4,6,5.5,5,2037
PI 534096,HN,2,23,4,6,5,5,2038
PI 152651,HN,2,22,4,6,6,6,2039
PI 656069,HN,2,25,5,6,5.5,6,2046
PI 533912,HN,2,23,5,6,6,5,2048
PI 534114,HN,2,22,5,6,6.5,6,2049
PI 564163,HN,2,21,5,6,6,6,2050
PI 561073,HN,2,30,6,6,6,6,2051
PI 533976,HN,2,28,6,6,6,5,2053
PI 656102,HN,2,27,6,6,5.5,6,2054
PI 533788,HN,2,25,6,6,5.5,6,2056
PI 656083,HN,2,23,6,6,6,5,2058
PI 656109,HN,2,25,8,6,5.5,5,2076
PI 597945,HN,2,29,9,6,6,NA,2082
PI 533876,HN,2,28,9,6,5,4.5,2083
PI 533833,HN,2,24,9,6,5.5,6.5,2087
PI 533877,HN,2,28,10,6,5.5,6,2093
PI 656006,HN,2,25,10,6,6,NA,2096
PI 576393,HN,2,24,12,6,5.5,4.5,2117
PI 656041,HN,2,22,12,6,5,5,2119
PI 655977,HN,2,29,14,6,6,6,2132
PI 534157,HN,2,28,14,6,6,NA,2133
PI 561072,HN,2,26,14,6,5,5.5,2135
PI 533957,HN,2,23,14,6,6,6.5,2138
PI 655971,HN,2,29,16,6,6,6.5,2152
PI 656107,HN,2,27,16,6,NA,NA,2154
PI 533961,HN,2,21,16,6,6,6.5,2160
PI 533852,HN,2,23,17,6,6,6,2168
PI 656015,HN,2,22,17,6,6.5,NA,2169
PI 576385,HN,2,23,18,6,6,6,2178
PI 533866,HN,2,34,1,6,6,6,2187
