ncbi_gene_id	kegg_gene	kegg_name	kegg_ko	kegg_ec
110433917	sbi:110433917	(RefSeq) carbonic anhydrase, chloroplastic-like isoform X1	K01673	K01673  carbonic anhydrase [EC:4.2.1.1]
110434374	sbi:110434374	(RefSeq) glutamine synthetase cytosolic isozyme 1-1	K01915	K01915  glutamine synthetase [EC:6.3.1.2]
8056868	sbi:8056868	(RefSeq) glutamine synthetase root isozyme 1	K01915	K01915  glutamine synthetase [EC:6.3.1.2]
8066510	sbi:8066510	(RefSeq) high-affinity nitrate transporter 2.1	K02575	
8068026	sbi:8068026	(RefSeq) glutamate synthase 1 [NADH], chloroplastic isoform X1	K00264	K00264  glutamate synthase (NADH) [EC:1.4.1.14]
8073135	sbi:8073135	(RefSeq) ferredoxin-dependent glutamate synthase, chloroplastic	K00284	K00284  glutamate synthase (ferredoxin) [EC:1.4.7.1]
8075200	sbi:8075200	(RefSeq) ferredoxin--nitrite reductase, chloroplastic	K00366	K00366  ferredoxin-nitrite reductase [EC:1.7.7.1]
8078943	sbi:8078943	(RefSeq) nitrate reductase [NAD(P)H]	K10534	K10534  nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
8079246	sbi:8079246	(RefSeq) pentatricopeptide repeat-containing protein At4g16835, mitochondrial	K01455	K01455  formamidase [EC:3.5.1.49]
8083522	sbi:8083522	(RefSeq) nitrate reductase [NADH]	K10534	K10534  nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
8083530	sbi:8083530	(RefSeq) alpha carbonic anhydrase 7	K01674	K01674  carbonic anhydrase [EC:4.2.1.1]
