FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST.x,PPC,RATIO,IBS0,IBS1,IBS2,HOMHOM,HETHET,s1,s2,DST.y,diff
PI48770,PI48770,PI576339_R,PI576339,UN,,1,0,0,0,-1,0.855026,0,0.125,10699,22821,118987,48,6,PI48770,R,0.649295,0.205731
PI533755,PI533755,PI655973_R,PI655973,UN,,1,0,0,0,-1,0.880576,0,0.098,15841,4741,131913,51,5,PI533755,R,0.702935,0.177641
PI533788,PI533788,PI533995_R,PI533995,UN,,1,0,0,0,-1,0.765239,0,0.0156,34745,2112,115643,64,1,PI533788,R,0.652646,0.112593
PI533833,PI533833,PI576391_R,PI576391,UN,,1,0,0,0,-1,0.834811,0,0.037,24391,1600,126507,54,2,PI533833,R,0.693294,0.141517
PI533876,PI533876,PI533987_R,PI533987,UN,,0.0996,0.7393,0.1611,0.5308,-1,0.854971,0,0.3243,908,42419,109177,37,12,PI533876,R,0.656829,0.198142
PI533910,PI533910,PI534121_R,PI534121,UN,,0.1324,0,0.8676,0.8676,-1,0.982833,0,0.1282,1374,2488,148637,39,5,PI533910,R,0.681441,0.301392
PI533943,PI533943,PI534014_R,PI534014,UN,,1,0,0,0,-1,0.800592,0,0.0312,28856,3109,120539,64,2,PI533943,R,0.665222,0.13537
PI533948,PI533948,PI655992_R,PI655992,UN,,1,0,0,0,-1,0.922813,0,0.1351,11121,1301,140084,37,5,PI533948,R,0.615048,0.307765
PI533996,PI533996,PI656083_R,PI656083,UN,,1,0,0,0,-1,0.785499,0,0.0357,30559,4304,117635,56,2,PI533996,R,0.671474,0.114025
PI534088,PI534088,PI534092_R,PI534092,UN,,1,0,0,0,-1,0.853605,0,0.0172,21374,1905,129230,58,1,PI534088,R,0.668957,0.184648
PI534096,PI534096,PI609456_R,PI609456,UN,,1,0,0,0,-1,0.885342,0,0.0167,16389,2194,133923,60,1,PI534096,R,0.605891,0.279451
PI534127,PI534127,PI534128_R,PI534128,UN,,1,0,0,0,-1,0.876727,0,0.0556,15200,7198,130101,54,3,PI534127,R,0.78731,0.0894170000000001
PI534135,PI534135,PI656091_R,PI656091,UN,,1,0,0,0,-1,0.894256,0,0.0175,15090,2071,135335,57,1,PI534135,R,0.654237,0.240019
PI561072,PI561072,PI655992_R,PI655992,UN,,1,0,0,0,-1,0.851929,0,0.0612,22015,1131,129352,49,3,PI561072,R,0.71616,0.135769
PI576391,PI576391,PI656097_R,PI656097,UN,,1,0,0,0,-1,0.801551,0,0.0333,29064,2398,121036,60,2,PI576391,R,0.624979,0.176572
PI597960,PI597960,SC0371.1_R,SC0371.1,UN,,1,0,0,0,-1,0.788844,0,0.0545,31139,2125,119237,55,3,PI597960,R,0.658871,0.129973
PI601816,PI601816,PI656034_R,PI656034,UN,,1,0,0,0,-1,0.929681,0,0.1064,10006,1436,141063,47,5,PI601816,R,0.635563,0.294118
PI655976,PI655976,Segaolane_R,Segaolane,UN,,1,0,0,0,-1,0.856831,0,0.0612,21055,1557,129890,49,3,PI655976,R,0.760065,0.096766
PI655997,PI655997,PI656009_R,PI656009,UN,,1,0,0,0,-1,0.766041,0,0,34851,1656,115994,64,0,PI655997,R,0.707723,0.058318
PI656043,PI656043,PI656076_R,PI656076,UN,,1,0,0,0,-1,0.900828,0,0.0612,14398,1453,136657,49,3,PI656043,R,0.777484,0.123344
PI656090,PI656090,PI656118_R,PI656118,UN,,1,0,0,0,-1,0.754072,0,0,35121,4767,112614,58,0,PI656090,R,0.66268,0.0913919999999999
PI656115,PI656115,SC0868_R,SC0868,UN,,1,0,0,0,-1,0.782919,0,0,31516,3176,117804,64,0,PI656115,R,0.609268,0.173651
