metric,population,perm_id,perm_stat,matched_regions,obs_stat
Pi,Improved,1,0.001690345,159,0.0037863
Pi,Improved,2,0.001584054,159,0.0037863
Pi,Improved,3,0.001799745,159,0.0037863
Pi,Improved,4,0.001899005,159,0.0037863
Pi,Improved,5,0.00160531,159,0.0037863
Pi,Improved,6,0.001628925,159,0.0037863
Pi,Improved,7,0.00174198,159,0.0037863
Pi,Improved,8,0.00167975,159,0.0037863
Pi,Improved,9,0.00187687,159,0.0037863
Pi,Improved,10,0.00185238,159,0.0037863
Pi,Improved,11,0.001758105,159,0.0037863
Pi,Improved,12,0.00173308,159,0.0037863
Pi,Improved,13,0.001785055,159,0.0037863
Pi,Improved,14,0.00200084,159,0.0037863
Pi,Improved,15,0.00155804,159,0.0037863
Pi,Improved,16,0.001731875,159,0.0037863
Pi,Improved,17,0.00175147,159,0.0037863
Pi,Improved,18,0.00165557,159,0.0037863
Pi,Improved,19,0.001744675,159,0.0037863
Pi,Improved,20,0.00183126,159,0.0037863
Pi,Improved,21,0.001807025,159,0.0037863
Pi,Improved,22,0.001937135,159,0.0037863
Pi,Improved,23,0.00173562,159,0.0037863
Pi,Improved,24,0.00170681,159,0.0037863
Pi,Improved,25,0.00196429,159,0.0037863
Pi,Improved,26,0.00195505,159,0.0037863
Pi,Improved,27,0.001896355,159,0.0037863
Pi,Improved,28,0.00178754,159,0.0037863
Pi,Improved,29,0.00159414,159,0.0037863
Pi,Improved,30,0.00175227,159,0.0037863
Pi,Improved,31,0.00174009,159,0.0037863
Pi,Improved,32,0.00166551,159,0.0037863
Pi,Improved,33,0.002021895,159,0.0037863
Pi,Improved,34,0.00175499,159,0.0037863
Pi,Improved,35,0.001984755,159,0.0037863
Pi,Improved,36,0.00187526,159,0.0037863
Pi,Improved,37,0.00183796,159,0.0037863
Pi,Improved,38,0.00175159,159,0.0037863
Pi,Improved,39,0.00195077,159,0.0037863
Pi,Improved,40,0.00179276,159,0.0037863
