feature	race	n_samples	mean_perMb	median_perMb	mean_perSNP	median_perSNP	sd_perSNP
Exon	caudatum	59	317.5254	322.369	6.3475	6.3531	0.0397
Exon	durra	78	320.2781	322.9787	6.3761	6.3737	0.0281
Exon	guinea	94	323.2374	323.91	6.3524	6.3502	0.0337
Exon	kafir	18	311.5426	309.4884	6.3717	6.3744	0.0187
Exon	milo/durra-bicolor	106	297.76	296.1241	6.3572	6.3575	0.0243
Exon	mixed/bicolor	45	297.0879	298.9518	6.3564	6.3602	0.0231
Intron	caudatum	59	173.1357	175.2353	6.11	6.12	0.0369
Intron	durra	78	195.2475	196.2943	6.134	6.1329	0.0204
Intron	guinea	94	188.656	190.0632	6.1249	6.1259	0.0272
Intron	kafir	18	191.6193	192.4416	6.1124	6.1119	0.0168
Intron	milo/durra-bicolor	106	174.3689	171.6791	6.125	6.1267	0.0238
Intron	mixed/bicolor	45	182.5661	178.6194	6.1345	6.1346	0.021
Upstream 2 kb	caudatum	59	365.8693	369.6358	5.958	5.9598	0.0236
Upstream 2 kb	durra	78	402.653	403.0093	5.9834	5.984	0.014
Upstream 2 kb	guinea	94	401.9712	403.9573	5.9809	5.981	0.0145
Upstream 2 kb	kafir	18	395.3712	396.9944	5.9716	5.9708	0.0085
Upstream 2 kb	milo/durra-bicolor	106	373.0808	371.9717	5.9739	5.9757	0.0147
Upstream 2 kb	mixed/bicolor	45	383.7472	385.6126	5.975	5.9751	0.013
Downstream 2 kb	caudatum	59	318.4625	324.9515	5.9821	5.9863	0.028
Downstream 2 kb	durra	78	341.6919	342.4303	5.9901	5.9909	0.0201
Downstream 2 kb	guinea	94	353.4069	354.091	6.0112	6.0124	0.0218
Downstream 2 kb	kafir	18	342.3579	339.0429	6.0144	6.017	0.0283
Downstream 2 kb	milo/durra-bicolor	106	316.4722	315.6342	5.9861	5.986	0.025
Downstream 2 kb	mixed/bicolor	45	329.5966	327.5903	5.9721	5.9708	0.0165
Intergenic	caudatum	59	1122.7929	1137.4692	6.1069	6.1091	0.0101
Intergenic	durra	78	1239.607	1199.3034	6.1143	6.1141	0.0038
Intergenic	guinea	94	1349.4017	1348.2166	6.1163	6.1165	0.0039
Intergenic	kafir	18	1360.0567	1365.7494	6.1164	6.1163	0.0039
Intergenic	milo/durra-bicolor	106	1116.9527	1082.5911	6.1151	6.1146	0.0048
Intergenic	mixed/bicolor	45	1288.4693	1283.5964	6.1116	6.1116	0.0041
