sample	PI	Race	feature	cutoff	genetic_load	n_del
PI152651_PI152651	PI152651	Kafir	downstream_2kb	5%	4838.81225	710
PI152651_PI152651	PI152651	Kafir	exon	5%	10800.80503	1523
PI152651_PI152651	PI152651	Kafir	intergenic	5%	335909.52744	49535
PI152651_PI152651	PI152651	Kafir	intron	5%	5456.59546	798
PI152651_PI152651	PI152651	Kafir	upstream_2kb	5%	8551.16222	1274
PI17548_PI17548	PI17548	Durra	downstream_2kb	5%	5226.63902	772
PI17548_PI17548	PI17548	Durra	exon	5%	12303.15682	1733
PI17548_PI17548	PI17548	Durra	intergenic	5%	333560.53329	49357
PI17548_PI17548	PI17548	Durra	intron	5%	5606.58517	820
PI17548_PI17548	PI17548	Durra	upstream_2kb	5%	9962.15013	1484
PI24969_PI24969	PI24969	Guinea	downstream_2kb	5%	6087.99871	900
PI24969_PI24969	PI24969	Guinea	exon	5%	12863.70966	1802
PI24969_PI24969	PI24969	Guinea	intergenic	5%	447447.58935	66224
PI24969_PI24969	PI24969	Guinea	intron	5%	6362.02455	925
PI24969_PI24969	PI24969	Guinea	upstream_2kb	5%	9975.34329	1483
PI276837_PI276837	PI276837	Bicolor	downstream_2kb	5%	4843.5612	721
PI276837_PI276837	PI276837	Bicolor	exon	5%	10571.02339	1491
PI276837_PI276837	PI276837	Bicolor	intergenic	5%	412472.63209	60858
PI276837_PI276837	PI276837	Bicolor	intron	5%	5824.98629	857
PI276837_PI276837	PI276837	Bicolor	upstream_2kb	5%	8597.75463	1287
PI329435_PI329435	PI329435	Bicolor	downstream_2kb	5%	4437.20172	660
PI329435_PI329435	PI329435	Bicolor	exon	5%	9851.37935	1388
PI329435_PI329435	PI329435	Bicolor	intergenic	5%	282039.19452	41599
PI329435_PI329435	PI329435	Bicolor	intron	5%	5201.26209	760
PI329435_PI329435	PI329435	Bicolor	upstream_2kb	5%	8458.40684	1265
PI329440_PI329440	PI329440	Durra	downstream_2kb	5%	4934.90183	723
PI329440_PI329440	PI329440	Durra	exon	5%	12441.06353	1739
PI329440_PI329440	PI329440	Durra	intergenic	5%	376049.08802	55266
PI329440_PI329440	PI329440	Durra	intron	5%	5898.94941	862
PI329440_PI329440	PI329440	Durra	upstream_2kb	5%	8805.45711	1317
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	downstream_2kb	5%	4714.98478	698
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	exon	5%	11402.98814	1605
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	intergenic	5%	349290.61647	51245
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	intron	5%	5685.74251	835
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	upstream_2kb	5%	8513.50535	1274
PI35038_PI35038	PI35038	Durra	downstream_2kb	5%	5080.98597	753
