sample	PI	Race	feature	cutoff	genetic_load	n_del	feature_bp	genetic_load_per_kb	n_del_per_kb
PI152651_PI152651	PI152651	Kafir	downstream_2kb	5%	4838.81225	710	34254144	0.141262098098262	0.0207274191408783
PI17548_PI17548	PI17548	Durra	downstream_2kb	5%	5226.63902	772	34254144	0.152584137557196	0.0225374191221944
PI24969_PI24969	PI24969	Guinea	downstream_2kb	5%	6087.99871	900	34254144	0.177730283086333	0.0262741932771696
PI276837_PI276837	PI276837	Bicolor	downstream_2kb	5%	4843.5612	721	34254144	0.141400736798444	0.0210485481698214
PI329435_PI329435	PI329435	Bicolor	downstream_2kb	5%	4437.20172	660	34254144	0.129537661778966	0.0192677417365911
PI329440_PI329440	PI329440	Durra	downstream_2kb	5%	4934.90183	723	34254144	0.144067293872531	0.0211069352659929
PI34911_PI34911	PI34911	Milo/Durra-Bicolor	downstream_2kb	5%	4714.98478	698	34254144	0.137647134898481	0.0203770965638493
PI35038_PI35038	PI35038	Durra	downstream_2kb	5%	5080.98597	753	34254144	0.148332008238186	0.0219827417085653
PI48770_PI48770	PI48770	Durra	downstream_2kb	5%	4988.433	736	34254144	0.145630058658012	0.0214864513911076
PI533750_PI533750	PI533750	Guinea	downstream_2kb	5%	5262.37669	782	34254144	0.153627446944813	0.0228293546030518
PI533752_PI533752	PI533752	Milo/Durra-Bicolor	downstream_2kb	5%	4475.33373	669	34254144	0.130650870446507	0.0195304836693628
PI533754_PI533754	PI533754	Guinea	downstream_2kb	5%	4729.02082	705	34254144	0.138056896707155	0.0205814514004495
PI533755_PI533755	PI533755	Kafir	downstream_2kb	5%	4849.70307	713	34254144	0.141580039775625	0.0208149997851355
PI533757_PI533757	PI533757	Milo/Durra-Bicolor	downstream_2kb	5%	4258.34966	635	34254144	0.124316335565122	0.0185379030344475
PI533758_PI533758	PI533758	Milo/Durra-Bicolor	downstream_2kb	5%	4158.7986	617	34254144	0.121410086908025	0.0180124191689041
PI533759_PI533759	PI533759	Milo/Durra-Bicolor	downstream_2kb	5%	4275.81368	638	34254144	0.124826172272762	0.0186254836787047
PI533760_PI533760	PI533760	Milo/Durra-Bicolor	downstream_2kb	5%	4535.81257	672	34254144	0.132416462370217	0.01961806431362
PI533761_PI533761	PI533761	Milo/Durra-Bicolor	downstream_2kb	5%	4378.82775	652	34254144	0.127833518478815	0.0190341933519051
PI533762_PI533762	PI533762	Milo/Durra-Bicolor	downstream_2kb	5%	4732.86789	699	34254144	0.138169206330189	0.0204062901119351
PI533766_PI533766	PI533766	Caudatum	downstream_2kb	5%	4439.3464	665	34254144	0.129600272597675	0.0194137094770198
PI533769_PI533769	PI533769	Milo/Durra-Bicolor	downstream_2kb	5%	4429.0661	662	34254144	0.129300154165289	0.0193261288327625
PI533776_PI533776	PI533776	Caudatum	downstream_2kb	5%	4754.49708	710	34254144	0.13880063912851	0.0207274191408783
PI533785_PI533785	PI533785	Caudatum	downstream_2kb	5%	4876.56354	724	34254144	0.142364192198176	0.0211361288140787
PI533788_PI533788	PI533788	Guinea	downstream_2kb	5%	5128.77755	758	34254144	0.149727214027009	0.022128709448994
PI533789_PI533789	PI533789	Milo/Durra-Bicolor	downstream_2kb	5%	5051.59291	742	34254144	0.147473920527689	0.0216616126796221
PI533792_PI533792	PI533792	Caudatum	downstream_2kb	5%	4780.46628	716	34254144	0.139558772217458	0.0209025804293927
PI533794_PI533794	PI533794	Bicolor	downstream_2kb	5%	4709.08774	700	34254144	0.137474979377678	0.0204354836600208
PI533799_PI533799	PI533799	Bicolor	downstream_2kb	5%	4419.63311	655	34254144	0.129024771718131	0.0191217739961623
PI533800_PI533800	PI533800	Bicolor	downstream_2kb	5%	4570.99688	686	34254144	0.133443617216066	0.0200267739868204
