Race	feature	n	median_load	mean_load
Bicolor	exon	45	10769.35666	10722.4610364444
Bicolor	intron	45	5224.11379	5313.84792711111
Bicolor	upstream_2kb	45	8494.37917	8456.84951044445
Bicolor	downstream_2kb	45	4610.19244	4627.07628
Bicolor	intergenic	45	318390.37138	326621.028416667
Caudatum	exon	59	11739.30442	11612.1475115254
Caudatum	intron	59	5044.63216	4965.56717915254
Caudatum	upstream_2kb	59	7939.43303	7815.80436135593
Caudatum	downstream_2kb	59	4757.20468	4597.96626084746
Caudatum	intergenic	59	299689.41702	290707.136637627
Durra	exon	78	11877.91971	11756.8998834615
Durra	intron	78	5753.882385	5680.30416166667
Durra	upstream_2kb	78	8957.34149	8959.46581423077
Durra	downstream_2kb	78	4846.458475	4841.45269692308
Durra	intergenic	78	304829.76231	315038.257835513
Guinea	exon	94	11676.841145	11686.0077893617
Guinea	intron	94	5492.970835	5469.6020506383
Guinea	upstream_2kb	94	8906.81495	8833.81751723404
Guinea	downstream_2kb	94	5383.136655	5272.72240542553
Guinea	intergenic	94	347780.82384	347281.563577766
Kafir	exon	18	11259.056825	11356.8189838889
Kafir	intron	18	5357.95118	5377.08812444445
Kafir	upstream_2kb	18	8711.963095	8607.11541944444
Kafir	downstream_2kb	18	5009.450525	5007.00441
Kafir	intergenic	18	342859.88322	341918.953103889
Milo/Durra-Bicolor	exon	106	10798.45795	10849.1738378302
Milo/Durra-Bicolor	intron	106	4976.921625	5026.77533415094
Milo/Durra-Bicolor	upstream_2kb	106	8154.95143	8155.03688933963
Milo/Durra-Bicolor	downstream_2kb	106	4471.912325	4507.90626584906
Milo/Durra-Bicolor	intergenic	106	273739.91601	282064.792379623
