Race	feature	n	median_load_per_kb	mean_load_per_kb	median_ndel_per_kb	mean_ndel_per_kb
Bicolor	exon	45	0.172112881023068	0.171363408131387	0.0240844573998688	0.0240997288246007
Bicolor	intron	45	0.09033004537862	0.091881636519834	0.0131930174943389	0.0134154947661962
Bicolor	upstream_2kb	45	0.166889431452892	0.16615208462383	0.0250106855354247	0.024862677812696
Bicolor	downstream_2kb	45	0.134587874681674	0.135080773876586	0.0199683868906489	0.0200819173554268
Bicolor	intergenic	45	0.619068485184524	0.635071922605316	0.0914670238105062	0.0937705830131145
Caudatum	exon	59	0.187614317987778	0.18558213142822	0.026529661104036	0.0262319676432096
Caudatum	intron	59	0.0872266321617098	0.0858595211846324	0.0128299069211002	0.0125482690995648
Caudatum	upstream_2kb	59	0.155986380866374	0.153557443117261	0.0233406868940177	0.0229797141069219
Caudatum	downstream_2kb	59	0.138879683579307	0.134230949132679	0.0205522578523638	0.0199758089791453
Caudatum	intergenic	59	0.582706922374156	0.565242051543683	0.0864349958860644	0.0837733849091329
Durra	exon	78	0.189829629233283	0.187895523820672	0.0265616245511493	0.0263755808974386
Durra	intron	78	0.0994902633888249	0.0982180238244224	0.0145071319498694	0.0143246899463435
Durra	upstream_2kb	78	0.175985271987276	0.176027008676444	0.0263073903628701	0.0262973149562854
Durra	downstream_2kb	78	0.141485318535474	0.141339182112479	0.0209755642996071	0.0209055746394528
Durra	intergenic	78	0.59270165229709	0.61255073829049	0.0875082877772127	0.0904469527988544
Guinea	exon	94	0.186616047194285	0.186762545970416	0.0262899352506863	0.0262834745539293
Guinea	intron	94	0.0949788470800109	0.0945747779045124	0.0138673657017822	0.0137910278659696
Guinea	upstream_2kb	94	0.174992574891335	0.173558391202566	0.0261010964130492	0.0258925033411939
Guinea	downstream_2kb	94	0.157152858789874	0.15392947508557	0.0232818545983809	0.0228222115008606
Guinea	intergenic	94	0.676214380660064	0.675243634299506	0.100220574705343	0.099840760765602
Kafir	exon	18	0.179939133685743	0.181501541483406	0.0253310318372874	0.0254722037287044
Kafir	intron	18	0.0926442249692709	0.0929751214867594	0.0135215461082215	0.013568615997345
Kafir	upstream_2kb	18	0.17116431214868	0.169104365375357	0.025560802734947	0.0252431755423656
Kafir	downstream_2kb	18	0.146243634784743	0.146172224008867	0.0213696771987646	0.021541594759714
Kafir	intergenic	18	0.666646254456679	0.664816738761463	0.0981731537608152	0.0979856301373215
Milo/Durra-Bicolor	exon	106	0.17257796979499	0.173388497094222	0.0243401649767752	0.0244428400120778
Milo/Durra-Bicolor	intron	106	0.0860558506770361	0.0869178701488396	0.0126051241852858	0.0126871747775315
Milo/Durra-Bicolor	upstream_2kb	106	0.160220680104	0.160222359127306	0.0239497452220602	0.0239475210285311
Milo/Durra-Bicolor	downstream_2kb	106	0.130550987495119	0.131601778338091	0.019384515928934	0.0195156114844889
Milo/Durra-Bicolor	intergenic	106	0.532251507494848	0.548438142100515	0.0785253012969496	0.0808724486138685
