species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild	total_snp	abs_load	abs_per_total_snp	abs_per_1k_snp
maize	[5]030-1:GT	improved	-71540.482722	12614	10	5.67151440637387	5.59556210133887	1.01357366850005	22982800	71540.482722	0.00311278359129436	3.11278359129436
maize	[6]08-64:GT	improved	-81108.744848	14310	10	5.6679765791754	5.59556210133887	1.01294141259181	22982800	81108.744848	0.00352910632507788	3.52910632507788
maize	[7]1101:GT	improved	-77017.951726	13586	10	5.66892033902547	5.59556210133887	1.01311007479821	22982800	77017.951726	0.0033511126462398	3.3511126462398
maize	[8]1121:GT	improved	-85663.266695	15087	10	5.67795232286074	5.59556210133887	1.01472420822604	22982800	85663.266695	0.00372727721143638	3.72727721143638
maize	[9]1127:GT	improved	-81629.646347	14407	10	5.66597114923301	5.59556210133887	1.01258301607935	22982800	81629.646347	0.00355177116569783	3.55177116569783
maize	[10]11430:GT	improved	-67840.80227	11976	10	5.66472964846359	5.59556210133887	1.01236114368352	22982800	67840.80227	0.00295180753737578	2.95180753737578
maize	[11]1145:GT	improved	-80802.400528	14246	10	5.67193601909308	5.59556210133887	1.01364901619731	22982800	80802.400528	0.00351577703882904	3.51577703882904
maize	[12]1205A:GT	improved	-60600.757819	10621	10	5.70574878250636	5.59556210133887	1.01969179845955	22982800	60600.757819	0.00263678741576309	2.63678741576309
maize	[13]1313:GT	improved	-77776.260079	13742	10	5.65974822289332	5.59556210133887	1.01147089789944	22982800	77776.260079	0.00338410724885567	3.38410724885567
maize	[14]140:GT	improved	-73805.685543	13138	10	5.61772610313594	5.59556210133887	1.0039609964818	22982800	73805.685543	0.00321134437679482	3.21134437679482
maize	[15]150-4:GT	improved	-82693.99621	14574	10	5.6740768635927	5.59556210133887	1.01403161305904	22982800	82693.99621	0.00359808187905738	3.59808187905738
maize	[16]1538:GT	improved	-73502.920527	12954	10	5.67414856623437	5.59556210133887	1.01404442725722	22982800	73502.920527	0.00319817082892424	3.19817082892424
maize	[17]1610:GT	improved	-54602.734389	9632	10	5.66888853706395	5.59556210133887	1.0131043913725	22982800	54602.734389	0.00237580862162139	2.37580862162139
maize	[18]1614:GT	improved	-56840.379886	10002	10	5.68290140831834	5.59556210133887	1.01560867440977	22982800	56840.379886	0.00247317036592582	2.47317036592582
maize	[19]17564:GT	improved	-81087.825185	14342	10	5.65387150920374	5.59556210133887	1.01042065244007	22982800	81087.825185	0.00352819609381799	3.52819609381799
maize	[20]18:GT	improved	-85450.70905	15072	10	5.66950033505839	5.59556210133887	1.0132137276614	22982800	85450.70905	0.00371802865838801	3.71802865838801
maize	[21]18-599:GT	improved	-86078.492251	15163	10	5.67687741548506	5.59556210133887	1.01453210824463	22982800	86078.492251	0.00374534400730111	3.74534400730111
maize	[22]196:GT	improved	-87144.519862	15410	10	5.65506293718365	5.59556210133887	1.01063357617469	22982800	87144.519862	0.00379172772081731	3.79172772081731
maize	[23]200-24-13413:GT	improved	-75445.268399	13335	10	5.65768791893513	5.59556210133887	1.01110269468395	22982800	75445.268399	0.00328268393750979	3.28268393750979
maize	[24]2005:GT	improved	-73162.463607	12905	10	5.66931139922511	5.59556210133887	1.01317996236135	22982800	73162.463607	0.00318335727618045	3.18335727618045
maize	[25]2005-4:GT	improved	-81812.658848	14472	10	5.65316879823107	5.59556210133887	1.01029506881505	22982800	81812.658848	0.00355973418591294	3.55973418591294
maize	[26]200B:GT	improved	-83206.244857	14677	10	5.66915887831301	5.59556210133887	1.01315270488313	22982800	83206.244857	0.00362037022716988	3.62037022716988
maize	[27]20564:GT	improved	-77378.544992	13702	10	5.64724456225369	5.59556210133887	1.00923633050243	22982800	77378.544992	0.00336680234749465	3.36680234749465
maize	[28]207:GT	improved	-76945.904273	13572	10	5.66945949550545	5.59556210133887	1.01320642910011	22982800	76945.904273	0.00334797780396644	3.34797780396644
maize	[29]20762:GT	improved	-77609.914175	13680	10	5.67323934027778	5.59556210133887	1.01388193670844	22982800	77609.914175	0.00337686940559897	3.37686940559897
maize	[30]20837:GT	improved	-79701.632771	14090	10	5.65660984889993	5.59556210133887	1.01091002949399	22982800	79701.632771	0.00346788175378979	3.46788175378979
maize	[31]2369:GT	improved	-22826.037834	4044	10	5.64442082937686	5.59556210133887	1.00873169257228	22982800	22826.037834	0.000993179152844736	0.993179152844736
maize	[32]282set_33-16:GT	improved	-76609.48246	13575	10	5.64342412228361	5.59556210133887	1.00855356800227	22982800	76609.48246	0.00333333982195381	3.33333982195381
maize	[33]282set_38-11Goodman-Buckler:GT	improved	-74621.447618	13163	10	5.66903043515916	5.59556210133887	1.01312975041466	22982800	74621.447618	0.00324683883678229	3.24683883678229
maize	[34]282set_4226:GT	improved	-78399.634023	13813	10	5.67578614515312	5.59556210133887	1.0143370839893	22982800	78399.634023	0.00341123074747202	3.41123074747202
maize	[35]282set_4722:GT	improved	-79466.966701	14040	10	5.66004036331909	5.59556210133887	1.01152310720755	22982800	79466.966701	0.00345767124549663	3.45767124549663
maize	[36]282set_A188:GT	improved	-76618.30511	13533	10	5.66159056454593	5.59556210133887	1.01180014840533	22982800	76618.30511	0.00333372370250796	3.33372370250796
maize	[37]282set_A214NGoodman-Buckler:GT	improved	-61117.938709	10859	10	5.62832108932683	5.59556210133887	1.00585445883625	22982800	61117.938709	0.00265929036971126	2.65929036971126
maize	[38]282set_A239:GT	improved	-79496.024975	13979	10	5.68681772480149	5.59556210133887	1.01630857129452	22982800	79496.024975	0.00345893559422699	3.45893559422699
maize	[39]282set_A441-5:GT	improved	-74932.983159	13277	10	5.64381887165775	5.59556210133887	1.00862411486906	22982800	74932.983159	0.00326039399720661	3.26039399720661
maize	[40]282set_A554:GT	improved	-74033.604816	13087	10	5.65703406556124	5.59556210133887	1.0109858425497	22982800	74033.604816	0.00322126132655725	3.22126132655725
maize	[41]282set_A556:GT	improved	-74687.683477	13182	10	5.66588404468214	5.59556210133887	1.01256744935892	22982800	74687.683477	0.00324972081195503	3.24972081195503
maize	[42]282set_A6:GT	improved	-76509.663948	13565	10	5.64022587158128	5.59556210133887	1.00798199884721	22982800	76509.663948	0.00332899663870373	3.32899663870373
maize	[43]282set_A619:GT	improved	-80650.665379	14220	10	5.67163610260197	5.59556210133887	1.01359541720481	22982800	80650.665379	0.00350917492120194	3.50917492120194
maize	[44]282set_A632:GT	improved	-61739.037779	10884	10	5.67245845084528	5.59556210133887	1.013742381572	22982800	61739.037779	0.00268631488674139	2.68631488674139
maize	[45]282set_A634:GT	improved	-61783.935982	10897	10	5.6698115061026	5.59556210133887	1.01326933798947	22982800	61783.935982	0.00268826844344466	2.68826844344466
maize	[46]282set_A635:GT	improved	-57958.745916	10238	10	5.66113947216253	5.59556210133887	1.01171953230721	22982800	57958.745916	0.00252183136589101	2.52183136589101
maize	[47]282set_A641:GT	improved	-68913.610531	12167	10	5.66397719495356	5.59556210133887	1.01222667041767	22982800	68913.610531	0.00299848628239379	2.99848628239379
maize	[48]282set_A654:GT	improved	-75114.124635	13326	10	5.6366595103557	5.59556210133887	1.00734464353581	22982800	75114.124635	0.00326827560762831	3.26827560762831
maize	[49]282set_A659:GT	improved	-75689.808099	13360	10	5.66540479782934	5.59556210133887	1.01248180168955	22982800	75689.808099	0.00329332405533703	3.29332405533703
maize	[50]282set_A661:GT	improved	-73561.198258	12995	10	5.66073091635244	5.59556210133887	1.01164651805008	22982800	73561.198258	0.00320070653958613	3.20070653958613
maize	[51]282set_A679:GT	improved	-18206.083969	3156	10	5.76872115621039	5.59556210133887	1.03094578377212	22982800	18206.083969	0.000792161267077989	0.792161267077989
maize	[52]282set_A680:GT	improved	-7678.376957	1342	10	5.72159236736215	5.59556210133887	1.02252325391816	22982800	7678.376957	0.000334092319343161	0.334092319343161
maize	[53]282set_A682:GT	improved	-80395.040593	14122	10	5.69289339987254	5.59556210133887	1.01739437375029	22982800	80395.040593	0.00349805248242164	3.49805248242164
maize	[54]282set_Ab28A:GT	improved	-74124.455567	13114	10	5.65231474508159	5.59556210133887	1.01014243836721	22982800	74124.455567	0.00322521431535757	3.22521431535757
maize	[55]282set_B10:GT	improved	-61760.974616	10888	10	5.67238929243204	5.59556210133887	1.01373002206066	22982800	61760.974616	0.00268726937605514	2.68726937605514
maize	[56]282set_B103:GT	improved	-76434.062824	13480	10	5.67018270207715	5.59556210133887	1.01333567555625	22982800	76434.062824	0.00332570717336443	3.32570717336443
maize	[57]282set_B104:GT	improved	-44484.108419	7854	10	5.66387935052203	5.59556210133887	1.01220918434036	22982800	44484.108419	0.00193553911703535	1.93553911703535
maize	[58]282set_B105:GT	improved	-60458.90935	10700	10	5.65036535981308	5.59556210133887	1.00979405776966	22982800	60458.90935	0.00263061547548602	2.63061547548602
maize	[59]282set_B109:GT	improved	-15355.624267	2699	10	5.68937542311967	5.59556210133887	1.01676566537584	22982800	15355.624267	0.000668135486842334	0.668135486842334
maize	[60]282set_B14A:GT	improved	-53311.129386	9401	10	5.67079346729071	5.59556210133887	1.01344482727371	22982800	53311.129386	0.00231960985545712	2.31960985545712
maize	[61]282set_B164:GT	improved	-71908.010018	12707	10	5.65892893822303	5.59556210133887	1.01132448103274	22982800	71908.010018	0.00312877499773744	3.12877499773744
maize	[62]282set_B2:GT	improved	-72859.62338	12852	10	5.66912724712107	5.59556210133887	1.01314705197617	22982800	72859.62338	0.00317018045581913	3.17018045581913
maize	[63]282set_B37:GT	improved	-65775.361911	11583	10	5.67861192359492	5.59556210133887	1.01484208748862	22982800	65775.361911	0.00286193857628313	2.86193857628313
maize	[64]282set_B46:GT	improved	-73414.702096	12913	10	5.68533277286455	5.59556210133887	1.0160431909967	22982800	73414.702096	0.00319433237447134	3.19433237447134
maize	[65]282set_B52:GT	improved	-73066.243501	12912	10	5.6587858969176	5.59556210133887	1.011298917684	22982800	73066.243501	0.00317917066245192	3.17917066245192
maize	[66]282set_B57:GT	improved	-76645.962285	13525	10	5.66698427245841	5.59556210133887	1.01276407442649	22982800	76645.962285	0.00333492708830082	3.33492708830082
maize	[67]282set_B64:GT	improved	-65048.926735	11495	10	5.65888879817312	5.59556210133887	1.01131730748178	22982800	65048.926735	0.00283033080107733	2.83033080107733
maize	[68]282set_B68:GT	improved	-61088.741441	10806	10	5.6532242680918	5.59556210133887	1.01030498200335	22982800	61088.741441	0.00265801997324086	2.65801997324086
maize	[69]282set_B73:GT	improved	-547.47461	98	10	5.5864756122449	5.59556210133887	0.99837612577085	22982800	547.47461	2.38210579215761e-05	0.0238210579215761
maize	[70]282set_B75:GT	improved	-74318.451631	13166	10	5.64472517324928	5.59556210133887	1.00878608279562	22982800	74318.451631	0.00323365523917886	3.23365523917886
maize	[71]282set_B76:GT	improved	-66650.222731	11751	10	5.67187666845375	5.59556210133887	1.01363840946321	22982800	66650.222731	0.00290000446990793	2.90000446990793
maize	[72]282set_B77:GT	improved	-78897.453976	13911	10	5.67158751894185	5.59556210133887	1.01358673467046	22982800	78897.453976	0.00343289129157457	3.43289129157457
maize	[73]282set_B79:GT	improved	-71159.849722	12588	10	5.65299092167143	5.59556210133887	1.01026327995159	22982800	71159.849722	0.0030962219451938	3.0962219451938
maize	[74]282set_B84:GT	improved	-44268.937794	7840	10	5.6465481880102	5.59556210133887	1.00911187933365	22982800	44268.937794	0.00192617687113842	1.92617687113842
maize	[75]282set_C103:GT	improved	-86027.278392	15151	10	5.67799342564847	5.59556210133887	1.01473155383083	22982800	86027.278392	0.00374311565135667	3.74311565135667
maize	[76]282set_C123:GT	improved	-82307.340861	14533	10	5.66347903812014	5.59556210133887	1.01213764328789	22982800	82307.340861	0.00358125819573768	3.58125819573768
maize	[77]282set_C49A:GT	improved	-75386.529195	13327	10	5.65667661101523	5.59556210133887	1.0109219607556	22982800	75386.529195	0.00328012814778878	3.28012814778878
maize	[78]282set_CH701-30:GT	improved	-73093.403298	12892	10	5.66967136968663	5.59556210133887	1.01324429378239	22982800	73093.403298	0.0031803524069304	3.1803524069304
maize	[79]282set_CH9:GT	improved	-76282.547664	13468	10	5.66398482803683	5.59556210133887	1.01222803454931	22982800	76282.547664	0.00331911462763458	3.31911462763458
maize	[80]282set_CI187-2:GT	improved	-73063.023036	12852	10	5.68495355088702	5.59556210133887	1.01597541907841	22982800	73063.023036	0.00317903053744539	3.17903053744539
maize	[81]282set_CI21E:GT	improved	-67249.287406	11872	10	5.66452892570755	5.59556210133887	1.01232527190649	22982800	67249.287406	0.00292607025279774	2.92607025279774
maize	[82]282set_CI28AGoodman-Buckler:GT	improved	-73975.749399	13069	10	5.66039860731502	5.59556210133887	1.01158713008665	22982800	73975.749399	0.00321874399111509	3.21874399111509
maize	[83]282set_CI31A:GT	improved	-76143.53891	13435	10	5.66755034685523	5.59556210133887	1.01286523931155	22982800	76143.53891	0.00331306624562717	3.31306624562717
maize	[84]282set_CI3A:GT	improved	-76920.130171	13598	10	5.65672379548463	5.59556210133887	1.0109303932363	22982800	76920.130171	0.00334685635218511	3.34685635218511
maize	[85]282set_CI64:GT	improved	-75194.311036	13368	10	5.62494846169958	5.59556210133887	1.00525172624814	22982800	75194.311036	0.00327176458203526	3.27176458203526
maize	[86]282set_CI66:GT	improved	-75760.131375	13359	10	5.67109299910173	5.59556210133887	1.01349835751886	22982800	75760.131375	0.00329638387729084	3.29638387729084
maize	[87]282set_Ci7Goodman-Buckler:GT	improved	-76228.002926	13482	10	5.65405747856401	5.59556210133887	1.01045388759266	22982800	76228.002926	0.0033167413424822	3.3167413424822
maize	[88]282set_Ci90CGoodman-Buckler:GT	improved	-74437.150272	13159	10	5.65674825381868	5.59556210133887	1.01093476425991	22982800	74437.150272	0.00323881991193414	3.23881991193414
maize	[89]282set_Ci91BGoodman-Buckler:GT	improved	-71964.749843	12692	10	5.67008744429562	5.59556210133887	1.01331865174705	22982800	71964.749843	0.00313124379287989	3.13124379287989
maize	[90]282set_CM105:GT	improved	-64382.817862	11365	10	5.6650081708755	5.59556210133887	1.01241091927476	22982800	64382.817862	0.00280134787153872	2.80134787153872
maize	[91]282set_CM37:GT	improved	-76603.097616	13482	10	5.68187936626613	5.59556210133887	1.01542602215184	22982800	76603.097616	0.00333306201228745	3.33306201228745
maize	[92]282set_CM7:GT	improved	-76553.135691	13470	10	5.68323204832962	5.59556210133887	1.01566776409644	22982800	76553.135691	0.00333088812899212	3.33088812899212
maize	[93]282set_CML10:GT	improved	-75935.421119	13469	10	5.6377920498181	5.59556210133887	1.00754704312354	22982800	75935.421119	0.00330401087417547	3.30401087417547
maize	[94]282set_CML108:GT	improved	-74764.227703	13235	10	5.64897829263317	5.59556210133887	1.00954617075584	22982800	74764.227703	0.00325305131241624	3.25305131241624
maize	[95]282set_CML11:GT	improved	-75526.435559	13399	10	5.6367218120009	5.59556210133887	1.00735577765318	22982800	75526.435559	0.00328621558552483	3.28621558552483
maize	[96]282set_CML14:GT	improved	-74318.911049	13173	10	5.64176049867152	5.59556210133887	1.00825625674346	22982800	74318.911049	0.00323367522882329	3.23367522882329
maize	[97]282set_CML154Q:GT	improved	-75891.816377	13474	10	5.63246373586166	5.59556210133887	1.00659480385607	22982800	75891.816377	0.00330211359699427	3.30211359699427
maize	[98]282set_CML157Q:GT	improved	-75736.5332	13382	10	5.65958251382454	5.59556210133887	1.01144128352545	22982800	75736.5332	0.00329535710183268	3.29535710183268
maize	[99]282set_CML158Q:GT	improved	-76564.700357	13542	10	5.65386946957613	5.59556210133887	1.01042028793199	22982800	76564.700357	0.00333139131685434	3.33139131685434
maize	[100]282set_CML218:GT	improved	-76119.054361	13512	10	5.63344096810243	5.59556210133887	1.00676944801569	22982800	76119.054361	0.00331200090332771	3.31200090332771
maize	[101]282set_CML220:GT	improved	-75856.888296	13464	10	5.63405290374332	5.59556210133887	1.0068788089038	22982800	75856.888296	0.00330059384826914	3.30059384826914
maize	[102]282set_CML228:GT	improved	-78208.744235	13845	10	5.64888004586493	5.59556210133887	1.0095286127757	22982800	78208.744235	0.00340292498020259	3.40292498020259
maize	[103]282set_CML238:GT	improved	-76120.642759	13511	10	5.63397548360595	5.59556210133887	1.0068649729145	22982800	76120.642759	0.00331207001579442	3.31207001579442
maize	[104]282set_CML247:GT	improved	-77950.459588	13831	10	5.63592361998409	5.59556210133887	1.00721313031904	22982800	77950.459588	0.00339168680874393	3.39168680874393
maize	[105]282set_CML254:GT	improved	-74922.075324	13339	10	5.61676852267786	5.59556210133887	1.00378986435231	22982800	74922.075324	0.00325991938858625	3.25991938858625
maize	[106]282set_CML258:GT	improved	-74458.52131	13280	10	5.60681636370482	5.59556210133887	1.00201128361407	22982800	74458.52131	0.00323974978288111	3.23974978288111
maize	[107]282set_CML261:GT	improved	-73672.990189	13078	10	5.63335297361982	5.59556210133887	1.00675372225284	22982800	73672.990189	0.00320557069586822	3.20557069586822
maize	[108]282set_CML264:GT	improved	-74001.349506	13159	10	5.62363017752109	5.59556210133887	1.00501613165467	22982800	74001.349506	0.00321985787223489	3.21985787223489
maize	[109]282set_CML277:GT	improved	-76386.561352	13589	10	5.62120548620208	5.59556210133887	1.00458280766057	22982800	76386.561352	0.00332364034634596	3.32364034634596
maize	[110]282set_CML281:GT	improved	-76211.020857	13510	10	5.64108222479645	5.59556210133887	1.00813504034683	22982800	76211.020857	0.00331600243908488	3.31600243908488
maize	[111]282set_CML287:GT	improved	-76310.221194	13533	10	5.63882518244292	5.59556210133887	1.00773167741159	22982800	76310.221194	0.00332031872504656	3.32031872504656
maize	[112]282set_CML311:GT	improved	-76886.621057	13627	10	5.64222653973729	5.59556210133887	1.00833954436628	22982800	76886.621057	0.00334539834384844	3.34539834384844
maize	[113]282set_CML314:GT	improved	-75039.509396	13313	10	5.63655895710959	5.59556210133887	1.00732667335797	22982800	75039.509396	0.00326502903893346	3.26502903893346
maize	[114]282set_CML321:GT	improved	-75131.375664	13298	10	5.64982521161077	5.59556210133887	1.00969752623403	22982800	75131.375664	0.00326902621369024	3.26902621369024
maize	[115]282set_CML322:GT	improved	-76195.385364	13488	10	5.64912406316726	5.59556210133887	1.00957222185338	22982800	76195.385364	0.00331532212628574	3.31532212628574
maize	[116]282set_CML323:GT	improved	-74721.612172	13247	10	5.64064408333962	5.59556210133887	1.00805673874837	22982800	74721.612172	0.00325119707659641	3.25119707659641
maize	[117]282set_CML328:GT	improved	-78682.710759	13940	10	5.64438384210904	5.59556210133887	1.00872508246464	22982800	78682.710759	0.00342354764254138	3.42354764254138
maize	[118]282set_CML331:GT	improved	-76168.338549	13499	10	5.64251711600859	5.59556210133887	1.00839147413957	22982800	76168.338549	0.0033141452977444	3.3141452977444
maize	[119]282set_CML332:GT	improved	-75928.097334	13436	10	5.65109387719559	5.59556210133887	1.00992425333702	22982800	75928.097334	0.00330369221043563	3.30369221043563
maize	[120]282set_CML333:GT	improved	-76266.193745	13518	10	5.64182525114662	5.59556210133887	1.00826782885614	22982800	76266.193745	0.00331840305554589	3.31840305554589
maize	[121]282set_CML341:GT	improved	-72865.404181	12929	10	5.63581129097378	5.59556210133887	1.00719305565839	22982800	72865.404181	0.0031704319830917	3.1704319830917
maize	[122]282set_CML38:GT	improved	-76582.549471	13605	10	5.62900032862918	5.59556210133887	1.00597584776734	22982800	76582.549471	0.00333216794607272	3.33216794607272
maize	[123]282set_CML45:GT	improved	-77944.122786	13820	10	5.6399509975398	5.59556210133887	1.0079328752674	22982800	77944.122786	0.0033914110894234	3.3914110894234
maize	[124]282set_CML5:GT	improved	-74827.472984	13283	10	5.63332628050892	5.59556210133887	1.00674895184543	22982800	74827.472984	0.00325580316514959	3.25580316514959
maize	[125]282set_CML52:GT	improved	-76805.955668	13618	10	5.64003199206932	5.59556210133887	1.00794735004725	22982800	76805.955668	0.00334188852829072	3.34188852829072
maize	[126]282set_CML61:GT	improved	-76538.294098	13584	10	5.63444450073616	5.59556210133887	1.00694879239889	22982800	76538.294098	0.00333024235941661	3.33024235941661
maize	[127]282set_CML69:GT	improved	-77259.66345	13682	10	5.64681065999123	5.59556210133887	1.00915878650334	22982800	77259.66345	0.00336162971657065	3.36162971657065
maize	[128]282set_CML77:GT	improved	-75873.124455	13449	10	5.64154394044167	5.59556210133887	1.00821755496053	22982800	75873.124455	0.0033013002965261	3.3013002965261
maize	[129]282set_CML91:GT	improved	-73795.507464	13067	10	5.64747129899748	5.59556210133887	1.00927685131869	22982800	73795.507464	0.00321090152044137	3.21090152044137
maize	[130]282set_CML92:GT	improved	-74490.015139	13185	10	5.649602968449	5.59556210133887	1.00965780847954	22982800	74490.015139	0.00324112010455645	3.24112010455645
maize	[131]282set_CMV3:GT	improved	-75827.622406	13436	10	5.6436158384936	5.59556210133887	1.00858783019194	22982800	75827.622406	0.00329932046600066	3.29932046600066
maize	[132]282set_CO106:GT	improved	-76130.823383	13468	10	5.65271928890704	5.59556210133887	1.01021473563031	22982800	76130.823383	0.00331251298288285	3.31251298288285
maize	[133]282set_CO125:GT	improved	-74512.39231	13191	10	5.64872961185657	5.59556210133887	1.00950172825443	22982800	74512.39231	0.00324209375315453	3.24209375315453
maize	[134]282set_CO255:GT	improved	-78985.033416	13944	10	5.66444588468158	5.59556210133887	1.01231043139102	22982800	78985.033416	0.00343670194301826	3.43670194301826
maize	[135]282set_D940Y:GT	improved	-77573.98033	13669	10	5.67517596971249	5.59556210133887	1.01422803767196	22982800	77573.98033	0.00337530589527821	3.37530589527821
maize	[136]282set_DE1:GT	improved	-77609.783333	13680	10	5.67322977580409	5.59556210133887	1.01388022741212	22982800	77609.783333	0.00337686371255896	3.37686371255896
maize	[137]282set_DE-2:GT	improved	-76585.93886	13487	10	5.67850069400163	5.59556210133887	1.01482220930814	22982800	76585.93886	0.00333231542109752	3.33231542109752
maize	[138]282set_DE811:GT	improved	-67641.135292	11955	10	5.65797869443748	5.59556210133887	1.01115466006242	22982800	67641.135292	0.00294311986755313	2.94311986755313
maize	[139]282set_E2558W:GT	improved	-74585.240412	13204	10	5.64868527809755	5.59556210133887	1.00949380523289	22982800	74585.240412	0.0032452634323059	3.2452634323059
maize	[140]282set_EP1:GT	improved	-79506.995865	14054	10	5.65725031058773	5.59556210133887	1.01102448835911	22982800	79506.995865	0.0034594129464208	3.4594129464208
maize	[141]282set_F2834T:GT	improved	-75830.153385	13430	10	5.64632564296351	5.59556210133887	1.00907210762838	22982800	75830.153385	0.00329943059092017	3.29943059092017
maize	[142]282set_F6:GT	improved	-77380.204486	13679	10	5.65686120959134	5.59556210133887	1.01095495093117	22982800	77380.204486	0.00336687455340516	3.36687455340516
maize	[143]282set_F7:GT	improved	-80964.811494	14360	10	5.63821807061281	5.59556210133887	1.00762317860144	22982800	80964.811494	0.00352284366978784	3.52284366978784
maize	[144]282set_GA209:GT	improved	-73321.554847	13008	10	5.63665089537208	5.59556210133887	1.00734310392577	22982800	73321.554847	0.00319027946320727	3.19027946320727
maize	[145]282set_GT112:GT	improved	-76522.465225	13550	10	5.64741440774908	5.59556210133887	1.00926668410986	22982800	76522.465225	0.00332955363249909	3.32955363249909
maize	[146]282set_H105W:GT	improved	-66379.256052	11715	10	5.66617635953905	5.59556210133887	1.01261968984015	22982800	66379.256052	0.00288821449309919	2.88821449309919
maize	[147]282set_H49:GT	improved	-76104.867494	13447	10	5.6596168285863	5.59556210133887	1.01144741602137	22982800	76104.867494	0.00331138362140383	3.31138362140383
maize	[148]282set_H84:GT	improved	-66767.011363	11770	10	5.67264327638063	5.59556210133887	1.01377541230814	22982800	66767.011363	0.0029050860366448	2.9050860366448
maize	[149]282set_H91:GT	improved	-56116.698726	9889	10	5.67465858286986	5.59556210133887	1.01413557388847	22982800	56116.698726	0.00244168242015768	2.44168242015768
maize	[150]282set_H95:GT	improved	-77589.69774	13735	10	5.64904970804514	5.59556210133887	1.00955893362232	22982800	77589.69774	0.0033759897723515	3.3759897723515
maize	[151]282set_H99:GT	improved	-76502.018855	13556	10	5.64340652515491	5.59556210133887	1.00855042316564	22982800	76502.018855	0.00332866399459596	3.32866399459596
maize	[152]282set_Hi27Goodman-Buckler:GT	improved	-71469.523569	12659	10	5.64574797132475	5.59556210133887	1.00896887016478	22982800	71469.523569	0.00310969610182397	3.10969610182397
maize	[153]282set_HP301:GT	improved	-77003.184064	13595	10	5.66408121103347	5.59556210133887	1.01224525944913	22982800	77003.184064	0.0033504700934612	3.3504700934612
maize	[154]282set_I137TN:GT	improved	-74797.147319	13262	10	5.6399598340371	5.59556210133887	1.00793445446484	22982800	74797.147319	0.0032544836712237	3.2544836712237
maize	[155]282set_i1677a:GT	improved	-78876.340986	13928	10	5.66314912306146	5.59556210133887	1.01207868315972	22982800	78876.340986	0.00343197264850236	3.43197264850236
maize	[156]282set_I205:GT	improved	-72263.27727	12766	10	5.66060451746828	5.59556210133887	1.01162392891928	22982800	72263.27727	0.00314423295986564	3.14423295986564
