species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild
sorghum	V5	improved	-126093.0725669	15749	10	8.00641771330878	7.95469518085749	1.0065021388344
sorghum	V6	improved	-136701.6848917	17052	10	8.01675374687427	7.95469518085749	1.00780150145365
sorghum	V7	improved	-144876.1823593	18148	10	7.98303848133679	7.95469518085749	1.00356309070742
sorghum	V8	improved	-157715.9404103	19677	10	8.01524319816537	7.95469518085749	1.007611607476
sorghum	V9	improved	-156570.8266479	19601	10	7.9878999361206	7.95469518085749	1.00417423351972
sorghum	V10	improved	-158428.6875482	19865	10	7.97526743257991	7.95469518085749	1.00258617725189
sorghum	V11	improved	-147441.529066	18425	10	8.00225395202171	7.95469518085749	1.00597870441078
sorghum	V12	improved	-133563.9482971	16717	10	7.98970797972722	7.95469518085749	1.004401526152
sorghum	V13	improved	-133860.0015908	16643	10	8.04302118553146	7.95469518085749	1.01110363158685
sorghum	V14	improved	-179065.0839901	22579	10	7.93060294920501	7.95469518085749	0.996971319314603
sorghum	V15	improved	-137718.8541114	17200	10	8.00691012275581	7.95469518085749	1.00656404057116
sorghum	V16	improved	-201487.8528863	25359	10	7.94541791420403	7.95469518085749	0.99883373700154
sorghum	V17	improved	-115412.367054	14435	10	7.99531465562868	7.95469518085749	1.00510635214143
sorghum	V18	improved	-201944.9258929	25383	10	7.95591245687665	7.95469518085749	1.0001530261049
sorghum	V19	improved	-167768.5269619	21049	10	7.97037992122666	7.95469518085749	1.00197175881823
sorghum	V20	improved	-172485.6353982	21691	10	7.95194483418008	7.95469518085749	0.999654248639969
sorghum	V21	improved	-208415.4019608	26286	10	7.92876063154531	7.95469518085749	0.996739718025325
sorghum	V22	improved	-168549.6972216	21135	10	7.97490878739532	7.95469518085749	1.00254109127732
sorghum	V23	improved	-170478.5529962	21367	10	7.97859095784153	7.95469518085749	1.00300398399194
sorghum	V24	improved	-213250.5090955	26730	10	7.97794646821923	7.95469518085749	1.00292296396444
sorghum	V25	improved	-150474.739166	18867	10	7.97555197784492	7.95469518085749	1.00262194798333
sorghum	V26	improved	-245323.5713835	30804	10	7.96401673105766	7.95469518085749	1.00117182996812
sorghum	V27	improved	-132627.1530254	16523	10	8.02682037314047	7.95469518085749	1.00906699636418
sorghum	V28	improved	-109223.4372596	13614	10	8.02287624941972	7.95469518085749	1.00857117300061
sorghum	V29	improved	-179683.4270146	22519	10	7.97919210509348	7.95469518085749	1.00307955536687
