sample	group	Abs_genetic_load	sample_ID
[391]A272:GT	improved	314915.7042	A272
[394]A632:GT	improved	241815.6601	A632
[61]282set_B164:GT	improved	282649.621	B164
[434]CAU478:GT	improved	239512.9649	CAU478
[435]CAU5003:GT	improved	309584.973	CAU5003
[436]CAUCHANG72:GT	improved	332292.6058	CAUCHANG72
[438]CAUZHENG58:GT	improved	276782.8419	CAUZHENG58
[579]german_CH10:GT	improved	318542.3935	CH10
[458]CML103-run248:GT	improved	304668.5593	CML103-RUN248
[125]282set_CML52:GT	improved	307733.6041	CML52
[480]CML69:GT	improved	308804.3124	CML69
[580]german_D06:GT	improved	283560.4102	D06
[581]german_D09:GT	improved	288181.0046	D09
[582]german_D152:GT	improved	311462.6898	D152
[583]german_DK105:GT	improved	319571.349	DK105
[584]german_EC169:GT	improved	204366.9193	EC169
[585]german_EC49A:GT	improved	301905.1767	EC49A
[140]282set_EP1:GT	improved	315744.4589	EP1
[589]german_F03802:GT	improved	307979.9274	F03802
[590]german_F2:GT	improved	315461.1484	F2
[591]german_F252:GT	improved	295250.359	F252
[595]german_F64:GT	improved	309046.7384	F64
[558]F7:GT	improved	322801.9966	F7
[597]german_F98902:GT	improved	186917.9428	F98902
[598]german_FF0721H-7:GT	improved	318638.7578	FF0721H-7
[172]282set_Ki2021:GT	improved	312012.1541	KI2021
[682]KI3:GT	improved	315594.0504	KI3
[599]german_Lo11:GT	improved	312378.1464	LO11
[183]282set_M37W:GT	improved	309697.0581	M37W
[185]282set_Mo17:GT	improved	317713.5028	MO17
[792]Ms71:GT	improved	282751.7711	MS71
[199]282set_N28Ht:GT	improved	255623.4649	N28HT
[798]N6:GT	improved	297564.4021	N6
[816]Oh43:GT	improved	306603.7516	OH43
[249]282set_Os420:GT	improved	285014.4876	OS420
[601]german_PH207:GT	improved	296348.6459	PH207
[964]Tx601:GT	improved	307853.9125	TX601
[602]german_UH006:GT	improved	320182.2949	UH006
[603]german_UH007:GT	improved	317420.0341	UH007
[604]german_UH009:GT	improved	319062.6733	UH009
[605]german_UH250:GT	improved	275480.2064	UH250
[606]german_UH304:GT	improved	290230.3342	UH304
[607]german_W117:GT	improved	300366.7366	W117
[979]W22:GT	improved	295464.1253	W22
[986]W64A:GT	improved	290685.02	W64A
[1038]ye8112:GT	improved	152740.3764	YE8112
