sample	group	Abs_genetic_load	canonical_line
[5]german_Teosinte:GT	wild	257781.066417	TEOSINTE
[6]TIL01:GT	wild	263088.109551	TIL01
[7]TIL01-JD:GT	wild	266096.931096	TIL01-JD
[8]TIL02:GT	wild	248872.147354	TIL02
[9]TIL03:GT	wild	267934.237346	TIL03
[10]TIL04-TIP285:GT	wild	251732.491406	TIL04-TIP285
[11]TIL04-TIP454:GT	wild	261440.968484	TIL04-TIP454
[12]TIL05:GT	wild	273056.76569	TIL05
[13]TIL06-TIP260:GT	wild	250674.228933	TIL06-TIP260
[14]TIL06-TIP496:GT	wild	248922.383981	TIL06-TIP496
[15]TIL07:GT	wild	268434.719116	TIL07
[16]TIL09:GT	wild	270860.776393	TIL09
[17]TIL10:GT	wild	261965.134728	TIL10
[18]TIL11:GT	wild	270722.364443	TIL11
[19]TIL12:GT	wild	243158.7404	TIL12
[20]TIL14-TIP498:GT	wild	266190.077265	TIL14-TIP498
[21]TIL15:GT	wild	251204.188421	TIL15
[22]TIL16:GT	wild	250947.163198	TIL16
[23]TIL17:GT	wild	264456.593597	TIL17
[24]TIL25-TIP489:GT	wild	248617.590993	TIL25-TIP489
[7]BKN009:GT	landrace	313837.357015	BKN009
[8]BKN010:GT	landrace	311947.307426	BKN010
[9]BKN011:GT	landrace	308869.443294	BKN011
[10]BKN014:GT	landrace	315520.379314	BKN014
[11]BKN015:GT	landrace	303794.376888	BKN015
[12]BKN016:GT	landrace	320942.326409	BKN016
[13]BKN017:GT	landrace	303314.170259	BKN017
[14]BKN018:GT	landrace	304314.586401	BKN018
[15]BKN019:GT	landrace	307154.36468	BKN019
[16]BKN020:GT	landrace	307203.75785	BKN020
[17]BKN022:GT	landrace	302777.12568	BKN022
[18]BKN023:GT	landrace	312683.526681	BKN023
[19]BKN025:GT	landrace	303731.86616	BKN025
[20]BKN026:GT	landrace	305428.061571	BKN026
[21]BKN027:GT	landrace	316494.55558	BKN027
[22]BKN029:GT	landrace	300405.801888	BKN029
[23]BKN030:GT	landrace	303672.894732	BKN030
[24]BKN031:GT	landrace	302697.75617	BKN031
[25]BKN032:GT	landrace	308409.290505	BKN032
[26]BKN033:GT	landrace	307303.011125	BKN033
[27]BKN034:GT	landrace	305042.129499	BKN034
[28]BKN035:GT	landrace	296691.950057	BKN035
[29]BKN040:GT	landrace	306724.46651	BKN040
[30]RIMMA0438.1:GT	landrace	305109.744196	RIMMA0438.1
[5]ZEAxppRCWDIAAPEI-3:GT	landrace	325873.075705	ZEAXPPRCWDIAAPEI-3
[6]ZEAxppRCXDIAAPEI-4:GT	landrace	323288.768214	ZEAXPPRCXDIAAPEI-4
[391]A272:GT	improved	314915.704227	A272
[394]A632:GT	improved	241815.660088	A632
[61]282set_B164:GT	improved	282649.62097	B164
[434]CAU478:GT	improved	239512.96485	CAU478
[435]CAU5003:GT	improved	309584.973043	CAU5003
[436]CAUCHANG72:GT	improved	332292.605823	CAUCHANG72
[438]CAUZHENG58:GT	improved	276782.841877	CAUZHENG58
[579]german_CH10:GT	improved	318542.393516	CH10
[458]CML103-run248:GT	improved	304668.559335	CML103-RUN248
[125]282set_CML52:GT	improved	307733.604132	CML52
[480]CML69:GT	improved	308804.312422	CML69
[580]german_D06:GT	improved	283560.410237	D06
[581]german_D09:GT	improved	288181.004555	D09
[582]german_D152:GT	improved	311462.689757	D152
[583]german_DK105:GT	improved	319571.349008	DK105
[584]german_EC169:GT	improved	204366.91933	EC169
[585]german_EC49A:GT	improved	301905.17665	EC49A
[140]282set_EP1:GT	improved	315744.458903	EP1
[589]german_F03802:GT	improved	307979.927447	F03802
[590]german_F2:GT	improved	315461.148436	F2
[591]german_F252:GT	improved	295250.359029	F252
[595]german_F64:GT	improved	309046.73844	F64
[558]F7:GT	improved	322801.996584	F7
[597]german_F98902:GT	improved	186917.942756	F98902
[598]german_FF0721H-7:GT	improved	318638.757779	FF0721H-7
[172]282set_Ki2021:GT	improved	312012.15412	KI2021
[682]KI3:GT	improved	315594.050381	KI3
[599]german_Lo11:GT	improved	312378.146357	LO11
[183]282set_M37W:GT	improved	309697.058108	M37W
[185]282set_Mo17:GT	improved	317713.502772	MO17
[792]Ms71:GT	improved	282751.771094	MS71
[199]282set_N28Ht:GT	improved	255623.464927	N28HT
[798]N6:GT	improved	297564.402087	N6
[816]Oh43:GT	improved	306603.751645	OH43
[249]282set_Os420:GT	improved	285014.487612	OS420
[601]german_PH207:GT	improved	296348.645881	PH207
[964]Tx601:GT	improved	307853.912454	TX601
[602]german_UH006:GT	improved	320182.294932	UH006
[603]german_UH007:GT	improved	317420.034097	UH007
[604]german_UH009:GT	improved	319062.673341	UH009
[605]german_UH250:GT	improved	275480.20639	UH250
[606]german_UH304:GT	improved	290230.334235	UH304
[607]german_W117:GT	improved	300366.736566	W117
[979]W22:GT	improved	295464.125345	W22
[986]W64A:GT	improved	290685.020025	W64A
[1038]ye8112:GT	improved	152740.376359	YE8112
