sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[5]030-1:GT	improved	10%	-473622.963875	10	473622.963875
[6]08-64:GT	improved	10%	-525999.499058	10	525999.499058
[7]1101:GT	improved	10%	-498688.216317	10	498688.216317
[8]1121:GT	improved	10%	-553536.802337	10	553536.802337
[9]1127:GT	improved	10%	-527209.624619	10	527209.624619
[10]11430:GT	improved	10%	-456253.170905	10	456253.170905
[11]1145:GT	improved	10%	-529008.253737	10	529008.253737
[12]1205A:GT	improved	10%	-380984.913092	10	380984.913092
[13]1313:GT	improved	10%	-509056.425598	10	509056.425598
[14]140:GT	improved	10%	-504856.457541	10	504856.457541
[15]150-4:GT	improved	10%	-533495.627175	10	533495.627175
[16]1538:GT	improved	10%	-480530.833531	10	480530.833531
[17]1610:GT	improved	10%	-349509.472237	10	349509.472237
[18]1614:GT	improved	10%	-362933.767069	10	362933.767069
[19]17564:GT	improved	10%	-534246.338897	10	534246.338897
[20]18:GT	improved	10%	-552758.060861	10	552758.060861
[21]18-599:GT	improved	10%	-554546.361626	10	554546.361626
[22]196:GT	improved	10%	-571656.785037	10	571656.785037
[23]200-24-13413:GT	improved	10%	-503197.930617	10	503197.930617
[24]2005:GT	improved	10%	-489309.573701	10	489309.573701
[25]2005-4:GT	improved	10%	-543689.282373	10	543689.282373
[26]200B:GT	improved	10%	-535391.741866	10	535391.741866
[27]20564:GT	improved	10%	-508479.442874	10	508479.442874
[28]207:GT	improved	10%	-497837.368189	10	497837.368189
[29]20762:GT	improved	10%	-511962.23063	10	511962.23063
[30]20837:GT	improved	10%	-516412.327471	10	516412.327471
[31]2369:GT	improved	10%	-143190.659655	10	143190.659655
[32]282set_33-16:GT	improved	10%	-504476.608148	10	504476.608148
[33]282set_38-11Goodman-Buckler:GT	improved	10%	-496911.025788	10	496911.025788
[34]282set_4226:GT	improved	10%	-510728.652614	10	510728.652614
[35]282set_4722:GT	improved	10%	-522483.861921	10	522483.861921
[36]282set_A188:GT	improved	10%	-514947.73858	10	514947.73858
[37]282set_A214NGoodman-Buckler:GT	improved	10%	-414772.849633	10	414772.849633
[38]282set_A239:GT	improved	10%	-501941.280151	10	501941.280151
[39]282set_A441-5:GT	improved	10%	-502399.99185	10	502399.99185
[40]282set_A554:GT	improved	10%	-496695.261611	10	496695.261611
[41]282set_A556:GT	improved	10%	-486685.730307	10	486685.730307
[42]282set_A6:GT	improved	10%	-517542.432645	10	517542.432645
[43]282set_A619:GT	improved	10%	-524306.523282	10	524306.523282
[44]282set_A632:GT	improved	10%	-404962.968892	10	404962.968892
[45]282set_A634:GT	improved	10%	-404909.353876	10	404909.353876
[46]282set_A635:GT	improved	10%	-380319.968265	10	380319.968265
[47]282set_A641:GT	improved	10%	-451334.980753	10	451334.980753
[48]282set_A654:GT	improved	10%	-506551.176159	10	506551.176159
[49]282set_A659:GT	improved	10%	-492356.540966	10	492356.540966
[50]282set_A661:GT	improved	10%	-494207.120997	10	494207.120997
[51]282set_A679:GT	improved	10%	-118942.263285	10	118942.263285
[52]282set_A680:GT	improved	10%	-53462.854444	10	53462.854444
[53]282set_A682:GT	improved	10%	-522489.223523	10	522489.223523
[54]282set_Ab28A:GT	improved	10%	-495426.703807	10	495426.703807
[55]282set_B10:GT	improved	10%	-412590.585664	10	412590.585664
[56]282set_B103:GT	improved	10%	-489023.415024	10	489023.415024
[57]282set_B104:GT	improved	10%	-300248.354964	10	300248.354964
[58]282set_B105:GT	improved	10%	-404863.809294	10	404863.809294
[59]282set_B109:GT	improved	10%	-96220.771639	10	96220.771639
[60]282set_B14A:GT	improved	10%	-348083.060483	10	348083.060483
[61]282set_B164:GT	improved	10%	-476310.721843	10	476310.721843
[62]282set_B2:GT	improved	10%	-479841.843418	10	479841.843418
[63]282set_B37:GT	improved	10%	-431902.652133	10	431902.652133
[64]282set_B46:GT	improved	10%	-477815.537403	10	477815.537403
[65]282set_B52:GT	improved	10%	-482718.111468	10	482718.111468
[66]282set_B57:GT	improved	10%	-504734.673109	10	504734.673109
[67]282set_B64:GT	improved	10%	-424342.927928	10	424342.927928
[68]282set_B68:GT	improved	10%	-404036.281554	10	404036.281554
[69]282set_B73:GT	improved	10%	-2977.351933	10	2977.351933
[70]282set_B75:GT	improved	10%	-483154.848948	10	483154.848948
[71]282set_B76:GT	improved	10%	-438228.183452	10	438228.183452
[72]282set_B77:GT	improved	10%	-518680.139747	10	518680.139747
[73]282set_B79:GT	improved	10%	-472515.810195	10	472515.810195
[74]282set_B84:GT	improved	10%	-291632.200372	10	291632.200372
[75]282set_C103:GT	improved	10%	-548784.04455	10	548784.04455
[76]282set_C123:GT	improved	10%	-535084.231655	10	535084.231655
[77]282set_C49A:GT	improved	10%	-506974.560888	10	506974.560888
[78]282set_CH701-30:GT	improved	10%	-485754.816114	10	485754.816114
[79]282set_CH9:GT	improved	10%	-499380.810211	10	499380.810211
[80]282set_CI187-2:GT	improved	10%	-466506.560162	10	466506.560162
[81]282set_CI21E:GT	improved	10%	-448359.546775	10	448359.546775
[82]282set_CI28AGoodman-Buckler:GT	improved	10%	-494414.746624	10	494414.746624
[83]282set_CI31A:GT	improved	10%	-497159.740411	10	497159.740411
[84]282set_CI3A:GT	improved	10%	-506153.41401	10	506153.41401
[85]282set_CI64:GT	improved	10%	-508692.880404	10	508692.880404
[86]282set_CI66:GT	improved	10%	-507030.606535	10	507030.606535
[87]282set_Ci7Goodman-Buckler:GT	improved	10%	-491864.728283	10	491864.728283
[88]282set_Ci90CGoodman-Buckler:GT	improved	10%	-495283.457686	10	495283.457686
[89]282set_Ci91BGoodman-Buckler:GT	improved	10%	-462238.246987	10	462238.246987
[90]282set_CM105:GT	improved	10%	-426699.341079	10	426699.341079
