sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V5	improved	1%	-126093.0725669	10	126093.0725669
V6	improved	1%	-136701.6848917	10	136701.6848917
V7	improved	1%	-144876.1823593	10	144876.1823593
V8	improved	1%	-157715.9404103	10	157715.9404103
V9	improved	1%	-156570.8266479	10	156570.8266479
V10	improved	1%	-158428.6875482	10	158428.6875482
V11	improved	1%	-147441.529066	10	147441.529066
V12	improved	1%	-133563.9482971	10	133563.9482971
V13	improved	1%	-133860.0015908	10	133860.0015908
V14	improved	1%	-179065.0839901	10	179065.0839901
V15	improved	1%	-137718.8541114	10	137718.8541114
V16	improved	1%	-201487.8528863	10	201487.8528863
V17	improved	1%	-115412.367054	10	115412.367054
V18	improved	1%	-201944.9258929	10	201944.9258929
V19	improved	1%	-167768.5269619	10	167768.5269619
V20	improved	1%	-172485.6353982	10	172485.6353982
V21	improved	1%	-208415.4019608	10	208415.4019608
V22	improved	1%	-168549.6972216	10	168549.6972216
V23	improved	1%	-170478.5529962	10	170478.5529962
V24	improved	1%	-213250.5090955	10	213250.5090955
V25	improved	1%	-150474.739166	10	150474.739166
V26	improved	1%	-245323.5713835	10	245323.5713835
V27	improved	1%	-132627.1530254	10	132627.1530254
V28	improved	1%	-109223.4372596	10	109223.4372596
V29	improved	1%	-179683.4270146	10	179683.4270146
V30	improved	1%	-174686.991175	10	174686.991175
V31	improved	1%	-178430.137036	10	178430.137036
V32	improved	1%	-190340.5992019	10	190340.5992019
V33	improved	1%	-176760.4545786	10	176760.4545786
V34	improved	1%	-191066.1462656	10	191066.1462656
V35	improved	1%	-184604.8517872	10	184604.8517872
V36	improved	1%	-210733.1294811	10	210733.1294811
V37	improved	1%	-198514.5881447	10	198514.5881447
V38	improved	1%	-155347.9389421	10	155347.9389421
V39	improved	1%	-159072.2119857	10	159072.2119857
V40	improved	1%	-239387.0065147	10	239387.0065147
V41	improved	1%	-210250.1458457	10	210250.1458457
V42	improved	1%	-159281.872392	10	159281.872392
V43	improved	1%	-160177.7253972	10	160177.7253972
V44	improved	1%	-155645.1569214	10	155645.1569214
V45	improved	1%	-175397.184581	10	175397.184581
V46	improved	1%	-182500.1793296	10	182500.1793296
V47	improved	1%	-170618.6130141	10	170618.6130141
V48	improved	1%	-170157.4042152	10	170157.4042152
V49	improved	1%	-182139.3178373	10	182139.3178373
V50	improved	1%	-158566.1249149	10	158566.1249149
V51	improved	1%	-188294.5560832	10	188294.5560832
V52	improved	1%	-164465.4334415	10	164465.4334415
V53	improved	1%	-202646.7572097	10	202646.7572097
V54	improved	1%	-136822.1682025	10	136822.1682025
V55	improved	1%	-181902.5654849	10	181902.5654849
V56	improved	1%	-142517.5340246	10	142517.5340246
