sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V5	landrace	10%	-338448.6630777	17	338448.6630777
V6	landrace	10%	-284662.6319303	17	284662.6319303
V7	landrace	10%	-470225.7347648	17	470225.7347648
V8	landrace	10%	-273892.0423437	17	273892.0423437
V9	landrace	10%	-669822.4375625	17	669822.4375625
V10	landrace	10%	-252652.1533003	17	252652.1533003
V11	landrace	10%	-293076.7263738	17	293076.7263738
V12	landrace	10%	-227769.3490194	17	227769.3490194
V13	landrace	10%	-58544.6528193	17	58544.6528193
V14	landrace	10%	-51065.7203704	17	51065.7203704
V15	landrace	10%	-238888.8650654	17	238888.8650654
V16	landrace	10%	-168008.0918459	17	168008.0918459
V17	landrace	10%	-159847.0192731	17	159847.0192731
V18	landrace	10%	-125719.5894732	17	125719.5894732
V19	landrace	10%	-371439.9346111	17	371439.9346111
V20	landrace	10%	-355631.7649246	17	355631.7649246
V21	landrace	10%	-240947.8585311	17	240947.8585311
V22	landrace	10%	-382129.5513136	17	382129.5513136
V5	landrace	5%	-199723.7953745	17	199723.7953745
V6	landrace	5%	-165381.4884011	17	165381.4884011
V7	landrace	5%	-270299.9635581	17	270299.9635581
V8	landrace	5%	-160863.1496068	17	160863.1496068
V9	landrace	5%	-397435.5946615	17	397435.5946615
V10	landrace	5%	-150182.3197813	17	150182.3197813
V11	landrace	5%	-174061.390683	17	174061.390683
V12	landrace	5%	-138640.8699143	17	138640.8699143
V13	landrace	5%	-36259.4209661	17	36259.4209661
V14	landrace	5%	-31586.4413086	17	31586.4413086
V15	landrace	5%	-143939.9887677	17	143939.9887677
V16	landrace	5%	-100977.311275	17	100977.311275
V17	landrace	5%	-97956.7498902	17	97956.7498902
V18	landrace	5%	-76687.9182071	17	76687.9182071
V19	landrace	5%	-220280.611832	17	220280.611832
V20	landrace	5%	-206091.7641592	17	206091.7641592
V21	landrace	5%	-143836.5155394	17	143836.5155394
V22	landrace	5%	-228213.2194049	17	228213.2194049
V5	landrace	1%	-52686.2373455	17	52686.2373455
V6	landrace	1%	-41243.0350141	17	41243.0350141
V7	landrace	1%	-68189.7515754	17	68189.7515754
V8	landrace	1%	-42328.2169079	17	42328.2169079
V9	landrace	1%	-104917.340179	17	104917.340179
V10	landrace	1%	-39815.6733466	17	39815.6733466
V11	landrace	1%	-45612.2667391	17	45612.2667391
V12	landrace	1%	-37558.0464952	17	37558.0464952
V13	landrace	1%	-9723.4213222	17	9723.4213222
V14	landrace	1%	-8190.6346458	17	8190.6346458
V15	landrace	1%	-38320.9600378	17	38320.9600378
V16	landrace	1%	-26733.2880436	17	26733.2880436
V17	landrace	1%	-26590.2013179	17	26590.2013179
V18	landrace	1%	-20601.6842943	17	20601.6842943
V19	landrace	1%	-57334.100651	17	57334.100651
V20	landrace	1%	-52545.9126298	17	52545.9126298
V21	landrace	1%	-36886.1956471	17	36886.1956471
V22	landrace	1%	-61236.700548	17	61236.700548
V5	improved	10%	-815477.6706093	17	815477.6706093
V6	improved	10%	-733439.7781755	17	733439.7781755
V7	improved	10%	-505677.5222809	17	505677.5222809
V8	improved	10%	-590867.2523284	17	590867.2523284
V9	improved	10%	-882301.4750298	17	882301.4750298
V10	improved	10%	-526017.3180126	17	526017.3180126
V11	improved	10%	-490115.4946846	17	490115.4946846
V12	improved	10%	-891742.3258755	17	891742.3258755
V13	improved	10%	-461984.1489725	17	461984.1489725
V14	improved	10%	-717487.3103943	17	717487.3103943
V15	improved	10%	-792062.3341037	17	792062.3341037
V16	improved	10%	-685132.5949972	17	685132.5949972
V17	improved	10%	-411522.2590958	17	411522.2590958
V18	improved	10%	-730954.785136	17	730954.785136
V19	improved	10%	-766030.2595419	17	766030.2595419
V20	improved	10%	-642380.5131406	17	642380.5131406
V21	improved	10%	-539260.4375127	17	539260.4375127
V22	improved	10%	-642657.2550134	17	642657.2550134
V23	improved	10%	-459065.2778809	17	459065.2778809
V24	improved	10%	-444195.9404478	17	444195.9404478
V25	improved	10%	-420945.2526095	17	420945.2526095
V26	improved	10%	-672910.0090369	17	672910.0090369
V27	improved	10%	-510965.6584334	17	510965.6584334
V28	improved	10%	-662636.759315	17	662636.759315
V29	improved	10%	-716423.7758557	17	716423.7758557
V30	improved	10%	-706289.3454771	17	706289.3454771
V31	improved	10%	-752014.7361584	17	752014.7361584
V32	improved	10%	-741277.8759664	17	741277.8759664
V33	improved	10%	-936152.3107784	17	936152.3107784
V34	improved	10%	-588090.754138	17	588090.754138
V35	improved	10%	-682018.3424671	17	682018.3424671
V36	improved	10%	-468492.5480103	17	468492.5480103
V37	improved	10%	-518691.8567744	17	518691.8567744
V38	improved	10%	-730996.6089499	17	730996.6089499
V39	improved	10%	-595276.9519477	17	595276.9519477
V40	improved	10%	-711393.0562664	17	711393.0562664
V41	improved	10%	-735917.5559875	17	735917.5559875
V42	improved	10%	-686486.6659145	17	686486.6659145
V43	improved	10%	-547244.561652	17	547244.561652
V44	improved	10%	-237457.5617313	17	237457.5617313
V45	improved	10%	-744940.67602	17	744940.67602
V46	improved	10%	-521973.8536116	17	521973.8536116
V47	improved	10%	-483207.6842061	17	483207.6842061
