sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	group	Abs_genetic_load
V5	improved	-126093.0725669	15749	10	improved	126093.0725669
V6	improved	-136701.6848917	17052	10	improved	136701.6848917
V7	improved	-144876.1823593	18148	10	improved	144876.1823593
V8	improved	-157715.9404103	19677	10	improved	157715.9404103
V9	improved	-156570.8266479	19601	10	improved	156570.8266479
V10	improved	-158428.6875482	19865	10	improved	158428.6875482
V11	improved	-147441.529066	18425	10	improved	147441.529066
V12	improved	-133563.9482971	16717	10	improved	133563.9482971
V13	improved	-133860.0015908	16643	10	improved	133860.0015908
V14	improved	-179065.0839901	22579	10	improved	179065.0839901
V15	improved	-137718.8541114	17200	10	improved	137718.8541114
V16	improved	-201487.8528863	25359	10	improved	201487.8528863
V17	improved	-115412.367054	14435	10	improved	115412.367054
V18	improved	-201944.9258929	25383	10	improved	201944.9258929
V19	improved	-167768.5269619	21049	10	improved	167768.5269619
V20	improved	-172485.6353982	21691	10	improved	172485.6353982
V21	improved	-208415.4019608	26286	10	improved	208415.4019608
V22	improved	-168549.6972216	21135	10	improved	168549.6972216
V23	improved	-170478.5529962	21367	10	improved	170478.5529962
V24	improved	-213250.5090955	26730	10	improved	213250.5090955
V25	improved	-150474.739166	18867	10	improved	150474.739166
V26	improved	-245323.5713835	30804	10	improved	245323.5713835
V27	improved	-132627.1530254	16523	10	improved	132627.1530254
V28	improved	-109223.4372596	13614	10	improved	109223.4372596
V29	improved	-179683.4270146	22519	10	improved	179683.4270146
V30	improved	-174686.991175	21994	10	improved	174686.991175
V31	improved	-178430.137036	22450	10	improved	178430.137036
V32	improved	-190340.5992019	23915	10	improved	190340.5992019
V33	improved	-176760.4545786	22230	10	improved	176760.4545786
V34	improved	-191066.1462656	24040	10	improved	191066.1462656
V35	improved	-184604.8517872	23352	10	improved	184604.8517872
V36	improved	-210733.1294811	26604	10	improved	210733.1294811
V37	improved	-198514.5881447	25067	10	improved	198514.5881447
V38	improved	-155347.9389421	19507	10	improved	155347.9389421
V39	improved	-159072.2119857	19919	10	improved	159072.2119857
V40	improved	-239387.0065147	30089	10	improved	239387.0065147
V41	improved	-210250.1458457	26403	10	improved	210250.1458457
V42	improved	-159281.872392	19878	10	improved	159281.872392
V43	improved	-160177.7253972	20016	10	improved	160177.7253972
V44	improved	-155645.1569214	19351	10	improved	155645.1569214
V45	improved	-175397.184581	21966	10	improved	175397.184581
V46	improved	-182500.1793296	22852	10	improved	182500.1793296
V47	improved	-170618.6130141	21466	10	improved	170618.6130141
V48	improved	-170157.4042152	21387	10	improved	170157.4042152
V49	improved	-182139.3178373	22883	10	improved	182139.3178373
V50	improved	-158566.1249149	19764	10	improved	158566.1249149
V51	improved	-188294.5560832	23832	10	improved	188294.5560832
V52	improved	-164465.4334415	20718	10	improved	164465.4334415
V53	improved	-202646.7572097	25623	10	improved	202646.7572097
V54	improved	-136822.1682025	17074	10	improved	136822.1682025
V55	improved	-181902.5654849	22785	10	improved	181902.5654849
V56	improved	-142517.5340246	17834	10	improved	142517.5340246
V57	improved	-170169.7801149	21408	10	improved	170169.7801149
V58	improved	-127962.0905438	15976	10	improved	127962.0905438
V59	improved	-191521.9313219	24017	10	improved	191521.9313219
V60	improved	-158654.1106947	19805	10	improved	158654.1106947
V61	improved	-210045.9630264	26441	10	improved	210045.9630264
V62	improved	-169978.5176844	21384	10	improved	169978.5176844
V63	improved	-135797.7039412	17036	10	improved	135797.7039412
V64	improved	-129231.6607984	16166	10	improved	129231.6607984
V65	improved	-140069.0246565	17466	10	improved	140069.0246565
V66	improved	-178597.1484767	22392	10	improved	178597.1484767
V67	improved	-163789.5389349	20540	10	improved	163789.5389349
V68	improved	-173652.2244051	21803	10	improved	173652.2244051
V69	improved	-222628.7603422	27996	10	improved	222628.7603422
V70	improved	-178730.0611393	22383	10	improved	178730.0611393
V71	improved	-109430.7538483	13708	10	improved	109430.7538483
V72	improved	-186657.5001232	23453	10	improved	186657.5001232
V73	improved	-226548.6668721	28458	10	improved	226548.6668721
V74	improved	-173374.1316518	21700	10	improved	173374.1316518
V75	improved	-164964.9246642	20564	10	improved	164964.9246642
V76	improved	-160865.3801684	20196	10	improved	160865.3801684
V77	improved	-240709.09215	30270	10	improved	240709.09215
V78	improved	-158592.3010266	19862	10	improved	158592.3010266
V79	improved	-196110.3449551	24619	10	improved	196110.3449551
