sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	group	Abs_genetic_load
V5	landrace	-52686.2373455	10760	17	landrace	52686.2373455
V6	landrace	-41243.0350141	8426	17	landrace	41243.0350141
V7	landrace	-68189.7515754	13973	17	landrace	68189.7515754
V8	landrace	-42328.2169079	8616	17	landrace	42328.2169079
V9	landrace	-104917.340179	21404	17	landrace	104917.340179
V10	landrace	-39815.6733466	8101	17	landrace	39815.6733466
V11	landrace	-45612.2667391	9299	17	landrace	45612.2667391
V12	landrace	-37558.0464952	7623	17	landrace	37558.0464952
V13	landrace	-9723.4213222	1975	17	landrace	9723.4213222
V14	landrace	-8190.6346458	1673	17	landrace	8190.6346458
V15	landrace	-38320.9600378	7831	17	landrace	38320.9600378
V16	landrace	-26733.2880436	5458	17	landrace	26733.2880436
V17	landrace	-26590.2013179	5422	17	landrace	26590.2013179
V18	landrace	-20601.6842943	4196	17	landrace	20601.6842943
V19	landrace	-57334.100651	11711	17	landrace	57334.100651
V20	landrace	-52545.9126298	10757	17	landrace	52545.9126298
V21	landrace	-36886.1956471	7533	17	landrace	36886.1956471
V22	landrace	-61236.700548	12466	17	landrace	61236.700548
V5	improved	-136066.108329	27795	17	improved	136066.108329
V6	improved	-121940.5579771	24993	17	improved	121940.5579771
V7	improved	-81329.4250217	16674	17	improved	81329.4250217
V8	improved	-99401.6323355	20309	17	improved	99401.6323355
V9	improved	-150167.4955385	30745	17	improved	150167.4955385
V10	improved	-88390.5553782	18141	17	improved	88390.5553782
V11	improved	-82524.8967352	16961	17	improved	82524.8967352
V12	improved	-151769.6879303	31126	17	improved	151769.6879303
V13	improved	-76610.3029693	15680	17	improved	76610.3029693
V14	improved	-118762.69111	24392	17	improved	118762.69111
V15	improved	-134543.4789783	27493	17	improved	134543.4789783
V16	improved	-115952.429606	23767	17	improved	115952.429606
V17	improved	-68807.6281383	14066	17	improved	68807.6281383
V18	improved	-121650.0343843	24854	17	improved	121650.0343843
V19	improved	-129638.313426	26482	17	improved	129638.313426
V20	improved	-107058.3164934	21848	17	improved	107058.3164934
V21	improved	-88637.7836594	18143	17	improved	88637.7836594
V22	improved	-105649.8481026	21601	17	improved	105649.8481026
V23	improved	-73728.7225578	15130	17	improved	73728.7225578
V24	improved	-73938.1696473	15129	17	improved	73938.1696473
V25	improved	-69680.3189489	14223	17	improved	69680.3189489
V26	improved	-115440.08811	23630	17	improved	115440.08811
V27	improved	-85680.434162	17507	17	improved	85680.434162
V28	improved	-120165.099249	24528	17	improved	120165.099249
V29	improved	-119905.3741588	24521	17	improved	119905.3741588
V30	improved	-119937.1582324	24571	17	improved	119937.1582324
V31	improved	-129376.4852784	26489	17	improved	129376.4852784
V32	improved	-125429.7645337	25695	17	improved	125429.7645337
V33	improved	-161855.7056794	33192	17	improved	161855.7056794
V34	improved	-97912.1424377	20033	17	improved	97912.1424377
V35	improved	-113756.2605504	23347	17	improved	113756.2605504
V36	improved	-75730.7526324	15522	17	improved	75730.7526324
V37	improved	-86385.7247357	17683	17	improved	86385.7247357
V38	improved	-121398.0150292	24874	17	improved	121398.0150292
V39	improved	-101713.0728887	20744	17	improved	101713.0728887
V40	improved	-117348.672116	23990	17	improved	117348.672116
V41	improved	-126399.3354869	25774	17	improved	126399.3354869
V42	improved	-115325.934218	23624	17	improved	115325.934218
V43	improved	-92335.7587871	18891	17	improved	92335.7587871
V44	improved	-37357.5598025	7643	17	improved	37357.5598025
V45	improved	-127148.8622169	26062	17	improved	127148.8622169
V46	improved	-86222.837091	17661	17	improved	86222.837091
V47	improved	-79498.3736978	16311	17	improved	79498.3736978
V48	improved	-100779.571884	20621	17	improved	100779.571884
V49	improved	-56370.2843595	11572	17	improved	56370.2843595
V50	improved	-72149.9808037	14769	17	improved	72149.9808037
V51	improved	-75280.9637308	15416	17	improved	75280.9637308
V52	improved	-108397.5831407	22213	17	improved	108397.5831407
V53	improved	-67399.040461	13802	17	improved	67399.040461
V54	improved	-85276.4068575	17504	17	improved	85276.4068575
V55	improved	-74678.2083672	15295	17	improved	74678.2083672
V56	improved	-89839.6337562	18365	17	improved	89839.6337562
V57	improved	-76113.9711264	15553	17	improved	76113.9711264
V58	improved	-90075.9678854	18429	17	improved	90075.9678854
V59	improved	-101826.0121495	20782	17	improved	101826.0121495
V60	improved	-140724.8986943	28764	17	improved	140724.8986943
V61	improved	-97834.8113979	20011	17	improved	97834.8113979
V62	improved	-108066.201909	22101	17	improved	108066.201909
V63	improved	-110462.7711546	22630	17	improved	110462.7711546
V64	improved	-87314.78448	17891	17	improved	87314.78448
V65	improved	-129499.9931894	26442	17	improved	129499.9931894
V66	improved	-93476.4146956	19177	17	improved	93476.4146956
V67	improved	-105016.0202688	21485	17	improved	105016.0202688
V68	improved	-119093.8184938	24384	17	improved	119093.8184938
V69	improved	-93811.9354557	19239	17	improved	93811.9354557
V70	improved	-125295.9946662	25632	17	improved	125295.9946662
V71	improved	-117694.2143966	24049	17	improved	117694.2143966
V72	improved	-93628.1825741	19151	17	improved	93628.1825741
V73	improved	-131526.8320703	26939	17	improved	131526.8320703
V74	improved	-107932.9018162	22067	17	improved	107932.9018162
V75	improved	-148443.1722297	30387	17	improved	148443.1722297
V76	improved	-122913.4788232	25099	17	improved	122913.4788232
V77	improved	-127838.8036996	26163	17	improved	127838.8036996
V78	improved	-73925.1461551	15142	17	improved	73925.1461551
V79	improved	-123565.5100711	25342	17	improved	123565.5100711
V80	improved	-86761.5955506	17743	17	improved	86761.5955506
V81	improved	-110002.8013008	22532	17	improved	110002.8013008
V82	improved	-87056.5287669	17769	17	improved	87056.5287669
V83	improved	-153940.1350793	31573	17	improved	153940.1350793
V84	improved	-116944.7235746	23953	17	improved	116944.7235746
V85	improved	-98212.206356	20130	17	improved	98212.206356
V86	improved	-109470.2952924	22401	17	improved	109470.2952924
V87	improved	-141164.2089459	28964	17	improved	141164.2089459
V88	improved	-130517.8912341	26860	17	improved	130517.8912341
V89	improved	-95851.9280518	19619	17	improved	95851.9280518
V90	improved	-106807.790591	21859	17	improved	106807.790591
V91	improved	-77759.9445916	15906	17	improved	77759.9445916
V92	improved	-107644.1796547	22008	17	improved	107644.1796547
V93	improved	-66013.5073784	13491	17	improved	66013.5073784
V94	improved	-75576.0440026	15531	17	improved	75576.0440026
V95	improved	-142870.1221218	29267	17	improved	142870.1221218
V96	improved	-124213.7921546	25444	17	improved	124213.7921546
V97	improved	-157718.6319356	32313	17	improved	157718.6319356
V98	improved	-164235.654367	33595	17	improved	164235.654367
V99	improved	-87436.263852	17901	17	improved	87436.263852
V100	improved	-138528.2715342	28325	17	improved	138528.2715342
V101	improved	-143242.6668386	29358	17	improved	143242.6668386
V102	improved	-115533.3144048	23695	17	improved	115533.3144048
V103	improved	-124565.4497921	25489	17	improved	124565.4497921
V104	improved	-84081.4981127	17262	17	improved	84081.4981127
V105	improved	-145190.63295	29765	17	improved	145190.63295
V106	improved	-127671.9398752	26132	17	improved	127671.9398752
V107	improved	-73593.3756952	15106	17	improved	73593.3756952
V108	improved	-77960.3431231	15925	17	improved	77960.3431231
V109	improved	-125712.4527967	25735	17	improved	125712.4527967
V110	improved	-147021.3706193	30096	17	improved	147021.3706193
V111	improved	-133191.6628094	27217	17	improved	133191.6628094
V112	improved	-99760.049743	20460	17	improved	99760.049743
V113	improved	-117156.2105791	24018	17	improved	117156.2105791
V114	improved	-85549.9690987	17514	17	improved	85549.9690987
V115	improved	-148980.7574297	30584	17	improved	148980.7574297
V116	improved	-110235.563316	22583	17	improved	110235.563316
V117	improved	-145645.4646164	29869	17	improved	145645.4646164
V118	improved	-92777.3523256	19021	17	improved	92777.3523256
V119	improved	-86419.6336316	17636	17	improved	86419.6336316
V120	improved	-107985.5528317	22123	17	improved	107985.5528317
V121	improved	-141775.4432386	29028	17	improved	141775.4432386
V122	improved	-148067.058079	30305	17	improved	148067.058079
V123	improved	-136481.1797518	27943	17	improved	136481.1797518
V124	improved	-113552.8178724	23199	17	improved	113552.8178724
V125	improved	-74115.9603955	15147	17	improved	74115.9603955
V126	improved	-79564.9936687	16287	17	improved	79564.9936687
V127	improved	-76409.8249865	15635	17	improved	76409.8249865
V128	improved	-91454.120556	18691	17	improved	91454.120556
V129	improved	-92069.5535462	18851	17	improved	92069.5535462
V130	improved	-86202.6893541	17627	17	improved	86202.6893541
V131	improved	-106112.1819376	21711	17	improved	106112.1819376
V132	improved	-73897.9248786	15137	17	improved	73897.9248786
V133	improved	-114051.8890103	23409	17	improved	114051.8890103
V134	improved	-99565.3739424	20361	17	improved	99565.3739424
V135	improved	-122308.0228569	25108	17	improved	122308.0228569
V136	improved	-110425.8368944	22651	17	improved	110425.8368944
V137	improved	-99033.7656244	20298	17	improved	99033.7656244
V138	improved	-138847.4274748	28447	17	improved	138847.4274748
V139	improved	-48499.0641091	9927	17	improved	48499.0641091
V140	improved	-136066.108329	27795	17	improved	136066.108329
V141	improved	-61847.0037559	12660	17	improved	61847.0037559
V142	improved	-100042.6327091	20479	17	improved	100042.6327091
V143	improved	-91778.7742626	18790	17	improved	91778.7742626
V144	improved	-75303.6045937	15414	17	improved	75303.6045937
V145	improved	-47892.4822112	9788	17	improved	47892.4822112
V146	improved	-107229.6380679	21964	17	improved	107229.6380679
V147	improved	-89954.8938926	18397	17	improved	89954.8938926
V148	improved	-120993.0008985	24812	17	improved	120993.0008985
V149	improved	-74474.2048809	15276	17	improved	74474.2048809
V150	improved	-104698.5671285	21417	17	improved	104698.5671285
V151	improved	-140779.6379847	28872	17	improved	140779.6379847
V152	improved	-37770.8315394	7726	17	improved	37770.8315394
V153	improved	-84545.8911228	17317	17	improved	84545.8911228
V154	improved	-66286.5466649	13578	17	improved	66286.5466649
V155	improved	-54238.8046904	11127	17	improved	54238.8046904
V156	improved	-66163.0505036	13532	17	improved	66163.0505036
V157	improved	-101271.3483583	20766	17	improved	101271.3483583
V158	improved	-107146.4578867	21875	17	improved	107146.4578867
V159	improved	-73712.3700238	15136	17	improved	73712.3700238
V160	improved	-90189.9232411	18496	17	improved	90189.9232411
V161	improved	-97280.7150974	19906	17	improved	97280.7150974
V162	improved	-82818.3457134	16942	17	improved	82818.3457134
V163	improved	-83184.5161441	17005	17	improved	83184.5161441
V164	improved	-74283.5439467	15230	17	improved	74283.5439467
V165	improved	-114939.9734336	23543	17	improved	114939.9734336
V166	improved	-107981.3800234	22077	17	improved	107981.3800234
V167	improved	-138824.8096348	28394	17	improved	138824.8096348
V168	improved	-120145.8525666	24555	17	improved	120145.8525666
V169	improved	-135667.3897213	27737	17	improved	135667.3897213
V170	improved	-122156.6720919	25048	17	improved	122156.6720919
V171	improved	-148648.3140621	30413	17	improved	148648.3140621
V172	improved	-102915.5060123	21067	17	improved	102915.5060123
V173	improved	-80873.0374959	16558	17	improved	80873.0374959
V174	improved	-151083.0236675	31010	17	improved	151083.0236675
V175	improved	-158624.1919175	32508	17	improved	158624.1919175
V176	improved	-112879.9584544	23113	17	improved	112879.9584544
V177	improved	-60608.3953438	12394	17	improved	60608.3953438
V178	improved	-47786.6082184	9766	17	improved	47786.6082184
V179	improved	-134776.7421151	27494	17	improved	134776.7421151
V180	improved	-130592.5536639	26775	17	improved	130592.5536639
V181	improved	-119296.0212035	24427	17	improved	119296.0212035
V182	improved	-80221.6302024	16408	17	improved	80221.6302024
V183	improved	-131904.5895523	27004	17	improved	131904.5895523
V184	improved	-113168.2461083	23131	17	improved	113168.2461083
V185	improved	-91989.0088582	18873	17	improved	91989.0088582
V186	improved	-135654.6419326	27784	17	improved	135654.6419326
V187	improved	-131992.1970782	27025	17	improved	131992.1970782
V188	improved	-168431.5421195	34490	17	improved	168431.5421195
V189	improved	-104365.5202824	21353	17	improved	104365.5202824
V190	improved	-85398.2292587	17459	17	improved	85398.2292587
V191	improved	-151452.4172486	31045	17	improved	151452.4172486
