sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[5]030-1:GT	improved	-71540.482722	10	improved	71540.482722
[6]08-64:GT	improved	-81108.744848	10	improved	81108.744848
[7]1101:GT	improved	-77017.951726	10	improved	77017.951726
[8]1121:GT	improved	-85663.266695	10	improved	85663.266695
[9]1127:GT	improved	-81629.646347	10	improved	81629.646347
[10]11430:GT	improved	-67840.80227	10	improved	67840.80227
[11]1145:GT	improved	-80802.400528	10	improved	80802.400528
[12]1205A:GT	improved	-60600.757819	10	improved	60600.757819
[13]1313:GT	improved	-77776.260079	10	improved	77776.260079
[14]140:GT	improved	-73805.685543	10	improved	73805.685543
[15]150-4:GT	improved	-82693.99621	10	improved	82693.99621
[16]1538:GT	improved	-73502.920527	10	improved	73502.920527
[17]1610:GT	improved	-54602.734389	10	improved	54602.734389
[18]1614:GT	improved	-56840.379886	10	improved	56840.379886
[19]17564:GT	improved	-81087.825185	10	improved	81087.825185
[20]18:GT	improved	-85450.70905	10	improved	85450.70905
[21]18-599:GT	improved	-86078.492251	10	improved	86078.492251
[22]196:GT	improved	-87144.519862	10	improved	87144.519862
[23]200-24-13413:GT	improved	-75445.268399	10	improved	75445.268399
[24]2005:GT	improved	-73162.463607	10	improved	73162.463607
[25]2005-4:GT	improved	-81812.658848	10	improved	81812.658848
[26]200B:GT	improved	-83206.244857	10	improved	83206.244857
[27]20564:GT	improved	-77378.544992	10	improved	77378.544992
[28]207:GT	improved	-76945.904273	10	improved	76945.904273
[29]20762:GT	improved	-77609.914175	10	improved	77609.914175
[30]20837:GT	improved	-79701.632771	10	improved	79701.632771
[31]2369:GT	improved	-22826.037834	10	improved	22826.037834
[32]282set_33-16:GT	improved	-76609.48246	10	improved	76609.48246
[33]282set_38-11Goodman-Buckler:GT	improved	-74621.447618	10	improved	74621.447618
[34]282set_4226:GT	improved	-78399.634023	10	improved	78399.634023
[35]282set_4722:GT	improved	-79466.966701	10	improved	79466.966701
[36]282set_A188:GT	improved	-76618.30511	10	improved	76618.30511
[37]282set_A214NGoodman-Buckler:GT	improved	-61117.938709	10	improved	61117.938709
[38]282set_A239:GT	improved	-79496.024975	10	improved	79496.024975
[39]282set_A441-5:GT	improved	-74932.983159	10	improved	74932.983159
[40]282set_A554:GT	improved	-74033.604816	10	improved	74033.604816
[41]282set_A556:GT	improved	-74687.683477	10	improved	74687.683477
[42]282set_A6:GT	improved	-76509.663948	10	improved	76509.663948
