sample	PI	Race	Abs_genetic_load
PI152651_PI152651	PI152651	Kafir	84143.9246381
PI17548_PI17548	PI17548	Durra	82460.0831324
PI24969_PI24969	PI24969	Bicolor	110774.2986716
PI276837_PI276837	PI276837	Milo/Durra-Bicolor	100185.7737841
PI329435_PI329435	PI329435	Milo/Durra-Bicolor	70090.9504211
PI329440_PI329440	PI329440	Durra	94366.8134532
PI34911_PI34911	PI34911	Guinea	87464.0572343
PI35038_PI35038	PI35038	Durra	75086.0566155
PI48770_PI48770	PI48770	Durra	74631.3073508
PI533750_PI533750	PI533750	Bicolor	82540.4007326
PI533752_PI533752	PI533752	Guinea	81613.5674771
PI533754_PI533754	PI533754	Bicolor	76624.3259056
PI533755_PI533755	PI533755	Kafir	87637.3892435
PI533757_PI533757	PI533757	Guinea	68511.9026406
PI533758_PI533758	PI533758	Guinea	66231.0411178
PI533759_PI533759	PI533759	Guinea	70678.683458
PI533760_PI533760	PI533760	Guinea	78667.1651423
PI533761_PI533761	PI533761	Guinea	65911.6616124
PI533762_PI533762	PI533762	Guinea	77658.2201555
PI533766_PI533766	PI533766	Caudatum	68592.3172114
PI533769_PI533769	PI533769	Guinea	58251.4267517
PI533776_PI533776	PI533776	Caudatum	76649.3112625
PI533785_PI533785	PI533785	Caudatum	72217.9018367
PI533788_PI533788	PI533788	Bicolor	95661.2631664
PI533789_PI533789	PI533789	Guinea	70598.0207877
PI533792_PI533792	PI533792	Caudatum	91373.874861
PI533794_PI533794	PI533794	Milo/Durra-Bicolor	81287.7298246
PI533799_PI533799	PI533799	Milo/Durra-Bicolor	81342.7921005
PI533800_PI533800	PI533800	Milo/Durra-Bicolor	79527.9454073
PI533807_PI533807	PI533807	Guinea	67657.8180689
PI533810_PI533810	PI533810	Bicolor	87362.0559964
PI533814_PI533814	PI533814	Bicolor	89403.7003479
PI533821_PI533821	PI533821	Guinea	60073.8825592
PI533822_PI533822	PI533822	Guinea	75715.5572368
PI533824_PI533824	PI533824	Bicolor	67864.6575713
PI533830_PI533830	PI533830	Bicolor	84456.4668324
PI533831_PI533831	PI533831	Guinea	73605.4017454
PI533833_PI533833	PI533833	Guinea	56737.0036914
PI533838_PI533838	PI533838	Guinea	70553.1634491
PI533839_PI533839	PI533839	Caudatum	31957.842621
PI533841_PI533841	PI533841	Caudatum	83214.3355862
PI533842_PI533842	PI533842	Bicolor	76851.3283074
PI533843_PI533843	PI533843	Bicolor	75499.4199536
PI533845_PI533845	PI533845	Caudatum	83485.8960091
PI533852_PI533852	PI533852	Bicolor	76166.8356171
PI533855_PI533855	PI533855	Caudatum	69852.7215403
PI533856_PI533856	PI533856	Bicolor	92014.2628862
PI533863_PI533863	PI533863	Guinea	73399.8946583
PI533866_PI533866	PI533866	Caudatum	79265.058923
PI533869_PI533869	PI533869	Durra	69605.5241801
PI533871_PI533871	PI533871	Caudatum	68984.8272688
PI533876_PI533876	PI533876	Guinea	70983.6802251
PI533877_PI533877	PI533877	Caudatum	71364.4565232
PI533878_PI533878	PI533878	Caudatum	75001.0356764
PI533882_PI533882	PI533882	Caudatum	67555.5302822
PI533901_PI533901	PI533901	Guinea	77942.2902996
PI533902_PI533902	PI533902	Durra	80100.184529
PI533903_PI533903	PI533903	Caudatum	56013.4872798
PI533910_PI533910	PI533910	Guinea	67354.6008195
PI533911_PI533911	PI533911	Guinea	92635.6848886
PI533912_PI533912	PI533912	Guinea	62211.8635199
PI533913_PI533913	PI533913	Guinea	68228.4500706
PI533915_PI533915	PI533915	Kafir	81533.1117818
PI533919_PI533919	PI533919	Bicolor	70887.0382852
PI533921_PI533921	PI533921	Bicolor	107580.7951299
PI533924_PI533924	PI533924	Caudatum	72215.6915987
PI533927_PI533927	PI533927	Caudatum	75081.4194124
PI533936_PI533936	PI533936	Durra	74460.0312241
PI533937_PI533937	PI533937	Durra	75999.700892
PI533938_PI533938	PI533938	Durra	72067.2157441
PI533939_PI533939	PI533939	Guinea	76598.5010128
PI533940_PI533940	PI533940	Durra	78879.966677
PI533943_PI533943	PI533943	Bicolor	88493.6255352
PI533948_PI533948	PI533948	Durra	77017.3123671
PI533949_PI533949	PI533949	Guinea	68280.7720929
PI533954_PI533954	PI533954	Durra	88391.9475131
PI533955_PI533955	PI533955	Durra	76848.2746462
PI533956_PI533956	PI533956	Durra	70634.0512299
PI533957_PI533957	PI533957	Caudatum	82920.1411824
PI533961_PI533961	PI533961	Guinea	79628.424641
PI533962_PI533962	PI533962	Guinea	65915.7816036
PI533964_PI533964	PI533964	Guinea	78180.8135831
PI533965_PI533965	PI533965	Guinea	87536.4986591
PI533967_PI533967	PI533967	Guinea	81600.033377
