group1	group2	p_value	p_adj_bh
Bicolor	Guinea	1.36865191395226e-16	2.0529778709284e-15
Durra	Guinea	9.28287306993707e-09	6.9621548024528e-08
Milo/Durra-Bicolor	Guinea	2.70875369314428e-08	1.35437684657214e-07
Kafir	Guinea	6.25989960029171e-07	2.34746235010939e-06
Bicolor	Caudatum	3.77151734128143e-06	1.13145520238443e-05
Durra	Bicolor	0.000178358846753146	0.000445897116882865
Kafir	Caudatum	0.00227990831865378	0.00488551782568668
Kafir	Durra	0.00465270721087775	0.00872382602039578
Guinea	Caudatum	0.0102117859366186	0.0170196432276976
Milo/Durra-Bicolor	Caudatum	0.0198526528699363	0.0297789793049045
Bicolor	Milo/Durra-Bicolor	0.0323176791517967	0.0440695624797228
Durra	Caudatum	0.0736564367690893	0.0920705459613616
Kafir	Milo/Durra-Bicolor	0.165317766786545	0.183603744783016
Durra	Milo/Durra-Bicolor	0.171363495130815	0.183603744783016
Kafir	Bicolor	0.712584766088385	0.712584766088385
