sample	PI	Race	cutoff	miss	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
PI24969_PI24969	PI24969	Bicolor	1%	miss50	-110774.2986716	7364	10	110774.2986716	15.0426804279739
PI533750_PI533750	PI533750	Bicolor	1%	miss50	-82540.4007326	5438	10	82540.4007326	15.178448093527
PI533754_PI533754	PI533754	Bicolor	1%	miss50	-76624.3259056	5278	10	76624.3259056	14.5176820586586
PI533788_PI533788	PI533788	Bicolor	1%	miss50	-95661.2631664	6375	10	95661.2631664	15.0056883398275
PI533810_PI533810	PI533810	Bicolor	1%	miss50	-87362.0559964	5806	10	87362.0559964	15.0468577327592
PI533814_PI533814	PI533814	Bicolor	1%	miss50	-89403.7003479	5959	10	89403.7003479	15.0031381688035
PI533824_PI533824	PI533824	Bicolor	1%	miss50	-67864.6575713	4489	10	67864.6575713	15.1179901027623
PI533830_PI533830	PI533830	Bicolor	1%	miss50	-84456.4668324	7996	10	84456.4668324	10.5623395238119
PI533842_PI533842	PI533842	Bicolor	1%	miss50	-76851.3283074	5106	10	76851.3283074	15.0511806320799
PI533843_PI533843	PI533843	Bicolor	1%	miss50	-75499.4199536	4968	10	75499.4199536	15.1971457233494
PI533852_PI533852	PI533852	Bicolor	1%	miss50	-76166.8356171	5246	10	76166.8356171	14.519030807682
PI533856_PI533856	PI533856	Bicolor	1%	miss50	-92014.2628862	6618	10	92014.2628862	13.9036359755515
PI533919_PI533919	PI533919	Bicolor	1%	miss50	-70887.0382852	4793	10	70887.0382852	14.7897012904653
PI533921_PI533921	PI533921	Bicolor	1%	miss50	-107580.7951299	7236	10	107580.7951299	14.8674399018657
PI533943_PI533943	PI533943	Bicolor	1%	miss50	-88493.6255352	5878	10	88493.6255352	15.0550570832256
PI534009_PI534009	PI534009	Bicolor	1%	miss50	-84707.4024602	5635	10	84707.4024602	15.0323695581544
PI534021_PI534021	PI534021	Bicolor	1%	miss50	-76936.0432813	5106	10	76936.0432813	15.0677718921465
PI534028_PI534028	PI534028	Bicolor	1%	miss50	-87114.3472698	5770	10	87114.3472698	15.0978071524783
PI534123_PI534123	PI534123	Bicolor	1%	miss50	-71716.3207461	4742	10	71716.3207461	15.1236441893927
PI534127_PI534127	PI534127	Bicolor	1%	miss50	-97154.6889044	6993	10	97154.6889044	13.8931344064636
PI534128_PI534128	PI534128	Bicolor	1%	miss50	-98236.654189	6596	10	98236.654189	14.8933678273196
PI534132_PI534132	PI534132	Bicolor	1%	miss50	-86420.2752998	6905	10	86420.2752998	12.5156082983056
PI534133_PI534133	PI534133	Bicolor	1%	miss50	-94983.1708547	6322	10	94983.1708547	15.0242282275704
PI534135_PI534135	PI534135	Bicolor	1%	miss50	-86388.7127293	5682	10	86388.7127293	15.2039269146955
PI534137_PI534137	PI534137	Bicolor	1%	miss50	-88600.9866572	5843	10	88600.9866572	15.1636122979976
PI534148_PI534148	PI534148	Bicolor	1%	miss50	-81263.5107126	5370	10	81263.5107126	15.1328697788827
PI534155_PI534155	PI534155	Bicolor	1%	miss50	-70699.9291608	4818	10	70699.9291608	14.6741239437111
PI534167_PI534167	PI534167	Bicolor	1%	miss50	-84012.9215838	5610	10	84012.9215838	14.9755653447059
PI542718_PI542718	PI542718	Bicolor	1%	miss50	-98288.8350287	6411	10	98288.8350287	15.3312798360162
PI562730_PI562730	PI562730	Bicolor	1%	miss50	-67340.5927477	4464	10	67340.5927477	15.0852582320116
PI564164_PI564164	PI564164	Bicolor	1%	miss50	-95214.4287557	6869	10	95214.4287557	13.8614687371815
PI576347_PI576347	PI576347	Bicolor	1%	miss50	-71827.5248281	5914	10	71827.5248281	12.1453373060703
PI576348_PI576348	PI576348	Bicolor	1%	miss50	-44963.7334765	3464	10	44963.7334765	12.9802925740473
PI576349_PI576349	PI576349	Bicolor	1%	miss50	-52397.1819703	3528	10	52397.1819703	14.8518089484977
PI576359_PI576359	PI576359	Bicolor	1%	miss50	-81659.8696818	5341	10	81659.8696818	15.2892472723834
PI576375_PI576375	PI576375	Bicolor	1%	miss50	-86179.0463521	5678	10	86179.0463521	15.1777115801515
PI576376_PI576376	PI576376	Bicolor	1%	miss50	-85597.5168246	7359	10	85597.5168246	11.6316777856502
PI576381_PI576381	PI576381	Bicolor	1%	miss50	-91630.7723388	6064	10	91630.7723388	15.1106154912269
PI576390_PI576390	PI576390	Bicolor	1%	miss50	-93456.6237758	6114	10	93456.6237758	15.2856761164213
PI576391_PI576391	PI576391	Bicolor	1%	miss50	-92908.9708054	6169	10	92908.9708054	15.0606209767223
PI576401_PI576401	PI576401	Bicolor	1%	miss50	-98435.2731192	6472	10	98435.2731192	15.2094056117429
PI576425_PI576425	PI576425	Bicolor	1%	miss50	-84794.4674413001	8016	10	84794.4674413001	10.5781521259107
PI576426_PI576426	PI576426	Bicolor	1%	miss50	-68754.7221227	4559	10	68754.7221227	15.0810971973459
PI595699_PI595699	PI595699	Bicolor	1%	miss50	-74412.646535	4835	10	74412.646535	15.3904129338159
PI595720_PI595720	PI595720	Bicolor	1%	miss50	-82538.2230887	5452	10	82538.2230887	15.1390724667462
PI597945_PI597945	PI597945	Bicolor	1%	miss50	-88242.1509454	5868	10	88242.1509454	15.0378580343217
PI597952_PI597952	PI597952	Bicolor	1%	miss50	-87773.6132535	10104	10	87773.6132535	8.68701635525535
PI597957_PI597957	PI597957	Bicolor	1%	miss50	-78281.0319421	7262	10	78281.0319421	10.77954171607
PI597972_PI597972	PI597972	Bicolor	1%	miss50	-66951.188443	4467	10	66951.188443	14.9879535354824
PI597973_PI597973	PI597973	Bicolor	1%	miss50	-65227.7785168	4292	10	65227.7785168	15.1975252835042
PI598069_PI598069	PI598069	Bicolor	1%	miss50	-85979.0016724	5679	10	85979.0016724	15.1398136419088
PI598070_PI598070	PI598070	Bicolor	1%	miss50	-84014.2545978	5843	10	84014.2545978	14.3786162241657
PI613536_PI613536	PI613536	Bicolor	1%	miss50	-68522.0559682	4482	10	68522.0559682	15.2882766551093
PI629040_PI629040	PI629040	Bicolor	1%	miss50	-111540.7802647	7388	10	111540.7802647	15.0975609454115
PI641874_PI641874	PI641874	Bicolor	1%	miss50	-125222.5401183	8252	10	125222.5401183	15.1748109692559
PI642998_PI642998	PI642998	Bicolor	1%	miss50	-70133.480268	4666	10	70133.480268	15.0307501645949
PI655971_PI655971	PI655971	Bicolor	1%	miss50	-114585.5023413	7566	10	114585.5023413	15.1447928021808
PI655980_PI655980	PI655980	Bicolor	1%	miss50	-69758.2702901	4591	10	69758.2702901	15.1945698736876
PI655986_PI655986	PI655986	Bicolor	1%	miss50	-89754.0457544	5769	10	89754.0457544	15.5579902503727
PI655990_PI655990	PI655990	Bicolor	1%	miss50	-114784.9656295	7521	10	114784.9656295	15.2619286836192
PI655995_PI655995	PI655995	Bicolor	1%	miss50	-74687.3149763	4943	10	74687.3149763	15.1097137318025
PI655997_PI655997	PI655997	Bicolor	1%	miss50	-109873.5548082	7195	10	109873.5548082	15.2708206821682
PI655999_PI655999	PI655999	Bicolor	1%	miss50	-63866.4092524	4375	10	63866.4092524	14.5980364005486
PI656012_PI656012	PI656012	Bicolor	1%	miss50	-108448.2911401	7246	10	108448.2911401	14.9666424427408
PI656013_PI656013	PI656013	Bicolor	1%	miss50	-90820.5026511	8257	10	90820.5026511	10.9992131102216
PI656017_PI656017	PI656017	Bicolor	1%	miss50	-113781.1413154	7507	10	113781.1413154	15.15667261428
PI656021_PI656021	PI656021	Bicolor	1%	miss50	-110958.6327004	8040	10	110958.6327004	13.8008249627363
