cutoff	Race	rows	uniq_samples	median_abs
1%	Bicolor	940	94	8867.02879835
1%	Milo/Durra-Bicolor	450	45	8605.40661615
1%	Kafir	180	18	8479.68785525
1%	Durra	780	78	8388.7223473
1%	Guinea	1060	106	7364.89330825
1%	Caudatum	590	59	6979.5683509
5%	Bicolor	940	94	39468.3143312
5%	Milo/Durra-Bicolor	450	45	38783.6469662499
5%	Kafir	180	18	38749.81430635
5%	Durra	780	78	37664.84613535
5%	Guinea	1060	106	31922.38140675
5%	Caudatum	590	59	31186.84404615
10%	Bicolor	940	94	72944.07190605
10%	Milo/Durra-Bicolor	450	45	72359.9879504499
10%	Kafir	180	18	72128.4804459501
10%	Durra	780	78	69800.88637555
10%	Guinea	1060	106	58692.4785064499
10%	Caudatum	590	59	57664.20659335
25%	Bicolor	940	94	152839.2291379
25%	Kafir	180	18	150529.23035505
25%	Milo/Durra-Bicolor	450	45	150084.12747035
25%	Durra	780	78	144581.13112475
25%	Guinea	1060	106	124170.6529177
25%	Caudatum	590	59	121945.9404683
