cutoff	Race	samples	median_abs	median_abs_per_ndel
1%	Bicolor	94	86283.8795407	15.0274891960827
1%	Kafir	18	86073.306959	15.2389282646779
1%	Milo/Durra-Bicolor	45	81056.6463448	15.2721608803082
1%	Durra	78	76069.8781465	15.3063280754965
1%	Caudatum	59	74209.0542987	15.0528890931854
1%	Guinea	106	69380.02032	15.1633140390811
5%	Bicolor	94	379128.064901	12.9827780105782
5%	Kafir	18	373218.723969	13.1538957424567
5%	Milo/Durra-Bicolor	45	348622.4054476	13.1739646500352
5%	Durra	78	336458.5592593	13.1990708648275
5%	Caudatum	59	330034.1188231	12.9606113140233
5%	Guinea	106	302986.1430022	13.0927704784321
10%	Bicolor	94	697597.1015473	11.8856170339315
10%	Kafir	18	690255.6829726	12.0615532247902
10%	Milo/Durra-Bicolor	45	644806.7905483	12.0757784666937
10%	Durra	78	619321.8720024	12.1000320753665
10%	Caudatum	59	605904.563776	11.8776729070827
10%	Guinea	106	559143.89499335	11.9891456255536
25%	Bicolor	94	1448645.5485287	9.80489696785986
25%	Kafir	18	1444278.4709231	9.99261629282972
25%	Milo/Durra-Bicolor	45	1350092.7318611	9.99819684571353
25%	Durra	78	1302007.5015758	10.0078748754449
25%	Caudatum	59	1270864.6707882	9.76213336406728
25%	Guinea	106	1183036.93676135	9.90159091069672
