sample	cutoff	miss	Genetic_load	N_del	cutoff_chr	cutoff_num	Abs_genetic_load	Abs_per_Ndel
PI152651_PI152651	1%	miss50	-84143.9246381	5612	1%	0.01	84143.9246381	14.9935717459195
PI17548_PI17548	1%	miss50	-82460.0831324	5464	1%	0.01	82460.0831324	15.0915232672767
PI24969_PI24969	1%	miss50	-110774.2986716	7364	1%	0.01	110774.2986716	15.0426804279739
PI276837_PI276837	1%	miss50	-100185.7737841	6664	1%	0.01	100185.7737841	15.0338796194628
PI329435_PI329435	1%	miss50	-70090.9504211	4738	1%	0.01	70090.9504211	14.7933622670114
PI329440_PI329440	1%	miss50	-94366.8134532	6167	1%	0.01	94366.8134532	15.3018993762283
PI34911_PI34911	1%	miss50	-87464.0572343	5730	1%	0.01	87464.0572343	15.2642333742234
PI35038_PI35038	1%	miss50	-75086.0566155	4909	1%	0.01	75086.0566155	15.29559108077
PI48770_PI48770	1%	miss50	-74631.3073508	6085	1%	0.01	74631.3073508	12.2647998933114
PI533750_PI533750	1%	miss50	-82540.4007326	5438	1%	0.01	82540.4007326	15.178448093527
PI533752_PI533752	1%	miss50	-81613.5674771	5321	1%	0.01	81613.5674771	15.3380130571509
PI533754_PI533754	1%	miss50	-76624.3259056	5278	1%	0.01	76624.3259056	14.5176820586586
PI533755_PI533755	1%	miss50	-87637.3892435	6060	1%	0.01	87637.3892435	14.4616153867162
PI533757_PI533757	1%	miss50	-68511.9026406	4470	1%	0.01	68511.9026406	15.327047570604
PI533758_PI533758	1%	miss50	-66231.0411178	4306	1%	0.01	66231.0411178	15.381105693869
PI533759_PI533759	1%	miss50	-70678.683458	4574	1%	0.01	70678.683458	15.4522701045037
PI533760_PI533760	1%	miss50	-78667.1651423	5153	1%	0.01	78667.1651423	15.2662847161459
PI533761_PI533761	1%	miss50	-65911.6616124	4262	1%	0.01	65911.6616124	15.4649604909432
PI533762_PI533762	1%	miss50	-77658.2201555	6862	1%	0.01	77658.2201555	11.3171407979452
