sample	group	dataset	Abs_genetic_load	Abs_per_Ndel
PI152651_PI152651	SAP_all	SAP	84143.9246381	14.9935717459195
PI17548_PI17548	SAP_all	SAP	82460.0831324	15.0915232672767
PI24969_PI24969	SAP_all	SAP	110774.2986716	15.0426804279739
PI276837_PI276837	SAP_all	SAP	100185.7737841	15.0338796194628
PI329435_PI329435	SAP_all	SAP	70090.9504211	14.7933622670114
PI329440_PI329440	SAP_all	SAP	94366.8134532	15.3018993762283
PI34911_PI34911	SAP_all	SAP	87464.0572343	15.2642333742234
PI35038_PI35038	SAP_all	SAP	75086.0566155	15.29559108077
PI48770_PI48770	SAP_all	SAP	74631.3073508	12.2647998933114
PI533750_PI533750	SAP_all	SAP	82540.4007326	15.178448093527
PI533752_PI533752	SAP_all	SAP	81613.5674771	15.3380130571509
PI533754_PI533754	SAP_all	SAP	76624.3259056	14.5176820586586
PI533755_PI533755	SAP_all	SAP	87637.3892435	14.4616153867162
PI533757_PI533757	SAP_all	SAP	68511.9026406	15.327047570604
PI533758_PI533758	SAP_all	SAP	66231.0411178	15.381105693869
PI533759_PI533759	SAP_all	SAP	70678.683458	15.4522701045037
PI533760_PI533760	SAP_all	SAP	78667.1651423	15.2662847161459
PI533761_PI533761	SAP_all	SAP	65911.6616124	15.4649604909432
PI533762_PI533762	SAP_all	SAP	77658.2201555	11.3171407979452
PI533766_PI533766	SAP_all	SAP	68592.3172114	15.1853702039849
PI533769_PI533769	SAP_all	SAP	58251.4267517	15.2650489391247
PI533776_PI533776	SAP_all	SAP	76649.3112625	15.0528890931854
PI533785_PI533785	SAP_all	SAP	72217.9018367	14.8657681837587
PI533788_PI533788	SAP_all	SAP	95661.2631664	15.0056883398275
PI533789_PI533789	SAP_all	SAP	70598.0207877	15.2908860272255
PI533792_PI533792	SAP_all	SAP	91373.874861	15.2442233668669
PI533794_PI533794	SAP_all	SAP	81287.7298246	15.3692058658726
PI533799_PI533799	SAP_all	SAP	81342.7921005	15.3419072237835
PI533800_PI533800	SAP_all	SAP	79527.9454073	15.1107629502755
PI533807_PI533807	SAP_all	SAP	67657.8180689	15.1631147621918
PI533810_PI533810	SAP_all	SAP	87362.0559964	15.0468577327592
PI533814_PI533814	SAP_all	SAP	89403.7003479	15.0031381688035
PI533821_PI533821	SAP_all	SAP	60073.8825592	15.4829594224742
PI533822_PI533822	SAP_all	SAP	75715.5572368	15.1795423489976
PI533824_PI533824	SAP_all	SAP	67864.6575713	15.1179901027623
PI533830_PI533830	SAP_all	SAP	84456.4668324	10.5623395238119
PI533831_PI533831	SAP_all	SAP	73605.4017454	15.0645521378224
PI533833_PI533833	SAP_all	SAP	56737.0036914	15.375881759187
PI533838_PI533838	SAP_all	SAP	70553.1634491	14.9858036213042
PI533839_PI533839	SAP_all	SAP	31957.842621	14.7679494551756
PI533841_PI533841	SAP_all	SAP	83214.3355862	15.2045195662708
PI533842_PI533842	SAP_all	SAP	76851.3283074	15.0511806320799
PI533843_PI533843	SAP_all	SAP	75499.4199536	15.1971457233494
PI533845_PI533845	SAP_all	SAP	83485.8960091	15.0425037854234
PI533852_PI533852	SAP_all	SAP	76166.8356171	14.519030807682
PI533855_PI533855	SAP_all	SAP	69852.7215403	11.2177166436968
PI533856_PI533856	SAP_all	SAP	92014.2628862	13.9036359755515
PI533863_PI533863	SAP_all	SAP	73399.8946583	14.1507412103914
PI533866_PI533866	SAP_all	SAP	79265.058923	15.2344914324428
PI533869_PI533869	SAP_all	SAP	69605.5241801	15.2443110337495
PI533871_PI533871	SAP_all	SAP	68984.8272688	15.3197484496558
PI533876_PI533876	SAP_all	SAP	70983.6802251	9.68267360866185
PI533877_PI533877	SAP_all	SAP	71364.4565232	12.5752346296388
PI533878_PI533878	SAP_all	SAP	75001.0356764	14.7234070821358
PI533882_PI533882	SAP_all	SAP	67555.5302822	15.0995820925793
PI533901_PI533901	SAP_all	SAP	77942.2902996	15.2648433802585
PI533902_PI533902	SAP_all	SAP	80100.184529	13.3123125359814
PI533903_PI533903	SAP_all	SAP	56013.4872798	14.9969176117269
PI533910_PI533910	SAP_all	SAP	67354.6008195	14.9943456855521
PI533911_PI533911	SAP_all	SAP	92635.6848886	14.8931969274277
PI533912_PI533912	SAP_all	SAP	62211.8635199	15.1367064525304
PI533913_PI533913	SAP_all	SAP	68228.4500706	15.1585092358587
PI533915_PI533915	SAP_all	SAP	81533.1117818	15.3401903634619
PI533919_PI533919	SAP_all	SAP	70887.0382852	14.7897012904653
PI533921_PI533921	SAP_all	SAP	107580.7951299	14.8674399018657
PI533924_PI533924	SAP_all	SAP	72215.6915987	15.0574836527731
PI533927_PI533927	SAP_all	SAP	75081.4194124	15.1648999015148
PI533936_PI533936	SAP_all	SAP	74460.0312241	15.3906637503307
PI533937_PI533937	SAP_all	SAP	75999.700892	15.3565772665185
PI533938_PI533938	SAP_all	SAP	72067.2157441	15.0642173378135
PI533939_PI533939	SAP_all	SAP	76598.5010128	13.4406915270749
PI533940_PI533940	SAP_all	SAP	78879.966677	15.4122639071903
PI533943_PI533943	SAP_all	SAP	88493.6255352	15.0550570832256
PI533948_PI533948	SAP_all	SAP	77017.3123671	15.5527690563611
PI533949_PI533949	SAP_all	SAP	68280.7720929	15.3785522731757
PI533954_PI533954	SAP_all	SAP	88391.9475131	15.2795069166984
PI533955_PI533955	SAP_all	SAP	76848.2746462	15.4717686020133
PI533956_PI533956	SAP_all	SAP	70634.0512299	15.3252443545021
PI533957_PI533957	SAP_all	SAP	82920.1411824	15.2230844836424
PI533961_PI533961	SAP_all	SAP	79628.424641	15.3219981991534
PI533962_PI533962	SAP_all	SAP	65915.7816036	15.1949704019364
PI533964_PI533964	SAP_all	SAP	78180.8135831	15.3959853452343
PI533965_PI533965	SAP_all	SAP	87536.4986591	15.2210917508433
PI533967_PI533967	SAP_all	SAP	81600.033377	15.111117292037
PI533970_PI533970	SAP_all	SAP	80907.3370065	15.1853109997185
PI533972_PI533972	SAP_all	SAP	63772.2772147	15.2967803345407
PI533976_PI533976	SAP_all	SAP	73127.040881	15.090185901981
PI533979_PI533979	SAP_all	SAP	88797.6882173	15.4592075587221
PI533980_PI533980	SAP_all	SAP	74578.6156134	15.3611978606385
PI533985_PI533985	SAP_all	SAP	66674.802385	15.2573918501144
PI533986_PI533986	SAP_all	SAP	70050.544044	15.392341033619
PI533987_PI533987	SAP_all	SAP	66291.0207399	15.3415923952557
PI533989_PI533989	SAP_all	SAP	73443.9909707	14.4546331373155
PI533991_PI533991	SAP_all	SAP	69697.9080553	15.3384480755502
PI533996_PI533996	SAP_all	SAP	65852.5039626	15.1524399361712
PI533997_PI533997	SAP_all	SAP	62380.9694417	14.8455424658972
PI534009_PI534009	SAP_all	SAP	84707.4024602	15.0323695581544
PI534021_PI534021	SAP_all	SAP	76936.0432813	15.0677718921465
PI534028_PI534028	SAP_all	SAP	87114.3472698	15.0978071524783
PI534037_PI534037	SAP_all	SAP	75569.1857785	15.2173148969996
PI534046_PI534046	SAP_all	SAP	70490.5755455	15.2346175806138
PI534047_PI534047	SAP_all	SAP	71719.3102682	15.0797540513457
PI534053_PI534053	SAP_all	SAP	78432.8229324	15.3219032882204
PI534054_PI534054	SAP_all	SAP	64562.6756665	15.4789440581395
PI534063_PI534063	SAP_all	SAP	74209.0542987	15.2662115405678
PI534070_PI534070	SAP_all	SAP	75217.6567305	15.3223990080464
PI534075_PI534075	SAP_all	SAP	66639.5930653	14.9048519492955
PI534079_PI534079	SAP_all	SAP	66229.1743518	15.0966889336221
PI534088_PI534088	SAP_all	SAP	70101.8816325	15.2927315952225
PI534092_PI534092	SAP_all	SAP	80227.6963225	14.0528457387458
PI534096_PI534096	SAP_all	SAP	23430.4843749	14.773319277995
PI534097_PI534097	SAP_all	SAP	95886.117534	15.2393702374444
PI534099_PI534099	SAP_all	SAP	74612.0313544	15.0518521997983
PI534101_PI534101	SAP_all	SAP	69082.8564447	11.8252065122732
PI534105_PI534105	SAP_all	SAP	70018.1087487	15.4838807493808
PI534108_PI534108	SAP_all	SAP	66280.3394348	15.2019127144037
PI534112_PI534112	SAP_all	SAP	67317.6353826	10.5019711985335
PI534114_PI534114	SAP_all	SAP	76197.306252	15.2914521878387
PI534115_PI534115	SAP_all	SAP	76667.5187353	15.2329661703358
PI534116_PI534116	SAP_all	SAP	58138.3573703	14.9494361970429
PI534117_PI534117	SAP_all	SAP	63468.7245756	15.2203176440288
PI534123_PI534123	SAP_all	SAP	71716.3207461	15.1236441893927
PI534124_PI534124	SAP_all	SAP	62531.8512632	14.8602308134981
PI534127_PI534127	SAP_all	SAP	97154.6889044	13.8931344064636
PI534128_PI534128	SAP_all	SAP	98236.654189	14.8933678273196
PI534132_PI534132	SAP_all	SAP	86420.2752998	12.5156082983056
PI534133_PI534133	SAP_all	SAP	94983.1708547	15.0242282275704
PI534135_PI534135	SAP_all	SAP	86388.7127293	15.2039269146955
PI534137_PI534137	SAP_all	SAP	88600.9866572	15.1636122979976
PI534138_PI534138	SAP_all	SAP	55738.4179126	15.2457379410832
PI534139_PI534139	SAP_all	SAP	95170.5005865001	15.2982640389809
PI534144_PI534144	SAP_all	SAP	79953.8455329	13.9365252802684
PI534145_PI534145	SAP_all	SAP	63927.1363452	15.1665803903203
PI534148_PI534148	SAP_all	SAP	81263.5107126	15.1328697788827
PI534155_PI534155	SAP_all	SAP	70699.9291608	14.6741239437111
PI534157_PI534157	SAP_all	SAP	83553.6083358	11.6224243059953
PI534163_PI534163	SAP_all	SAP	76980.6724179	15.0001310245323
