sample	sub	chrs_n	Genetic_load_sum	N_del_sum	Abs_genetic_load	Abs_per_Ndel
V5	improved	8	-104795.5244565	13110	104795.5244565	7.99355640400458
V6	improved	8	-108405.9671454	13563	108405.9671454	7.99277203755806
V7	improved	8	-115454.3259073	14469	115454.3259073	7.97942676807658
V8	improved	8	-128669.8825393	16073	128669.8825393	8.00534327999129
V9	improved	8	-130967.4676248	16446	130967.4676248	7.96348459350602
V10	improved	8	-127676.4290682	16058	127676.4290682	7.95095460631461
V11	improved	8	-119010.7864047	14930	119010.7864047	7.97125160111856
V12	improved	8	-109460.0654731	13743	109460.0654731	7.96478683497781
V13	improved	8	-106594.0767519	13287	106594.0767519	8.02243371354708
V14	improved	8	-145688.8998573	18435	145688.8998573	7.90284241157038
V15	improved	8	-113146.619855	14169	113146.619855	7.98550496541746
V16	improved	8	-162201.2625507	20476	162201.2625507	7.92153069694765
V17	improved	8	-93830.3376512	11768	93830.3376512	7.97334616342624
V18	improved	8	-164720.6920287	20741	164720.6920287	7.94179123613616
V19	improved	8	-133125.3862948	16757	133125.3862948	7.94446418182252
V20	improved	8	-138852.4971054	17513	138852.4971054	7.92853863446583
V21	improved	8	-159639.5889744	20155	159639.5889744	7.92059483871992
V22	improved	8	-143569.1810066	18058	143569.1810066	7.95044750285746
V23	improved	8	-144691.2421609	18192	144691.2421609	7.95356432282872
V24	improved	8	-163901.2778977	20603	163901.2778977	7.95521418714265
V25	improved	8	-120497.5581511	15125	120497.5581511	7.96678070420496
V26	improved	8	-188126.674697	23661	188126.674697	7.95091816478593
V27	improved	8	-104579.9528231	13056	104579.9528231	8.01010668069087
V28	improved	8	-94989.6244013	11876	94989.6244013	7.99845271146009
V29	improved	8	-146987.6402802	18476	146987.6402802	7.95559862958433
V30	improved	8	-141081.6742876	17807	141081.6742876	7.92282104159039
V31	improved	8	-143520.4018804	18107	143520.4018804	7.92623857515878
V32	improved	8	-151924.3103912	19156	151924.3103912	7.93089947751096
V33	improved	8	-140698.1707767	17757	140698.1707767	7.92353273507349
V34	improved	8	-154028.8051439	19437	154028.8051439	7.92451536471163
V35	improved	8	-146267.723973	18550	146267.723973	7.88505250528302
V36	improved	8	-166078.7913502	21023	166078.7913502	7.89986164439899
V37	improved	8	-156931.4603361	19864	156931.4603361	7.90029502296114
V38	improved	8	-123886.5392841	15598	123886.5392841	7.94246309040262
V39	improved	8	-126373.6601076	15865	126373.6601076	7.96556319619288
V40	improved	8	-185559.9544263	23385	185559.9544263	7.93499912021809
V41	improved	8	-171930.0669889	21625	171930.0669889	7.95052332896648
V42	improved	8	-125059.7263876	15631	125059.7263876	8.00075020072932
V43	improved	8	-130781.7422331	16388	130781.7422331	7.98033574768733
V44	improved	8	-122219.1350122	15223	122219.1350122	8.0285840512514
V45	improved	8	-141477.0854468	17757	141477.0854468	7.96739795273977
V46	improved	8	-146329.5044467	18368	146329.5044467	7.96654532048672
V47	improved	8	-142826.4971923	18024	142826.4971923	7.92423974657679
V48	improved	8	-137162.49626	17291	137162.49626	7.93259477531664
V49	improved	8	-153776.3869316	19402	153776.3869316	7.9258007902072
V50	improved	8	-131046.1300265	16383	131046.1300265	7.99890923680034
V51	improved	8	-147140.4231802	18643	147140.4231802	7.89252926997801
V52	improved	8	-137362.216636	17361	137362.216636	7.91211431576522
