sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
V5	improved	-126093.0725669	15749	10	126093.0725669	8.00641771330878
V6	improved	-136701.6848917	17052	10	136701.6848917	8.01675374687427
V7	improved	-144876.1823593	18148	10	144876.1823593	7.98303848133679
V8	improved	-157715.9404103	19677	10	157715.9404103	8.01524319816537
V9	improved	-156570.8266479	19601	10	156570.8266479	7.9878999361206
V10	improved	-158428.6875482	19865	10	158428.6875482	7.97526743257991
V11	improved	-147441.529066	18425	10	147441.529066	8.00225395202171
V12	improved	-133563.9482971	16717	10	133563.9482971	7.98970797972722
V13	improved	-133860.0015908	16643	10	133860.0015908	8.04302118553146
V14	improved	-179065.0839901	22579	10	179065.0839901	7.93060294920501
V15	improved	-137718.8541114	17200	10	137718.8541114	8.00691012275581
V16	improved	-201487.8528863	25359	10	201487.8528863	7.94541791420403
V17	improved	-115412.367054	14435	10	115412.367054	7.99531465562868
V18	improved	-201944.9258929	25383	10	201944.9258929	7.95591245687665
V19	improved	-167768.5269619	21049	10	167768.5269619	7.97037992122666
V20	improved	-172485.6353982	21691	10	172485.6353982	7.95194483418008
V21	improved	-208415.4019608	26286	10	208415.4019608	7.92876063154531
V22	improved	-168549.6972216	21135	10	168549.6972216	7.97490878739532
V23	improved	-170478.5529962	21367	10	170478.5529962	7.97859095784153
V24	improved	-213250.5090955	26730	10	213250.5090955	7.97794646821923
V25	improved	-150474.739166	18867	10	150474.739166	7.97555197784492
V26	improved	-245323.5713835	30804	10	245323.5713835	7.96401673105766
V27	improved	-132627.1530254	16523	10	132627.1530254	8.02682037314047
V28	improved	-109223.4372596	13614	10	109223.4372596	8.02287624941972
V29	improved	-179683.4270146	22519	10	179683.4270146	7.97919210509348
V30	improved	-174686.991175	21994	10	174686.991175	7.942483912658
V31	improved	-178430.137036	22450	10	178430.137036	7.94789029113586
V32	improved	-190340.5992019	23915	10	190340.5992019	7.95904659008572
V33	improved	-176760.4545786	22230	10	176760.4545786	7.95143745292848
V34	improved	-191066.1462656	24040	10	191066.1462656	7.94784302269551
V35	improved	-184604.8517872	23352	10	184604.8517872	7.90531225536143
V36	improved	-210733.1294811	26604	10	210733.1294811	7.92110695688994
V37	improved	-198514.5881447	25067	10	198514.5881447	7.91935964194758
V38	improved	-155347.9389421	19507	10	155347.9389421	7.96370220649511
V39	improved	-159072.2119857	19919	10	159072.2119857	7.98595371181786
V40	improved	-239387.0065147	30089	10	239387.0065147	7.95596419005949
V41	improved	-210250.1458457	26403	10	210250.1458457	7.96311577645343
V42	improved	-159281.872392	19878	10	159281.872392	8.01297275339571
V43	improved	-160177.7253972	20016	10	160177.7253972	8.00248428243405
V44	improved	-155645.1569214	19351	10	155645.1569214	8.04326168784042
V45	improved	-175397.184581	21966	10	175397.184581	7.98493966042976
V46	improved	-182500.1793296	22852	10	182500.1793296	7.98617973611062
V47	improved	-170618.6130141	21466	10	170618.6130141	7.94831887701947
V48	improved	-170157.4042152	21387	10	170157.4042152	7.95611372400056
V49	improved	-182139.3178373	22883	10	182139.3178373	7.95959086821221
V50	improved	-158566.1249149	19764	10	158566.1249149	8.02297737881502
V51	improved	-188294.5560832	23832	10	188294.5560832	7.90091289372273
V52	improved	-164465.4334415	20718	10	164465.4334415	7.93828716292596
V53	improved	-202646.7572097	25623	10	202646.7572097	7.90878340591266
V54	improved	-136822.1682025	17074	10	136822.1682025	8.0134806256589
V55	improved	-181902.5654849	22785	10	181902.5654849	7.98343495654598
V56	improved	-142517.5340246	17834	10	142517.5340246	7.99133868030728
V57	improved	-170169.7801149	21408	10	170169.7801149	7.94888733720572
V58	improved	-127962.0905438	15976	10	127962.0905438	8.00964512667752
V59	improved	-191521.9313219	24017	10	191521.9313219	7.97443191580547
