group	canonical_line	Abs_genetic_load	n_alias_rows	alias_samples
improved	030-1	280495.332278	1	[5]030-1:GT
improved	08-64	314101.625242	1	[6]08-64:GT
improved	1101	298054.753391	1	[7]1101:GT
improved	1121	330642.783877	1	[8]1121:GT
improved	1127	315843.806546	1	[9]1127:GT
improved	11430	268874.38024	1	[10]11430:GT
improved	1145	315211.15277	1	[11]1145:GT
improved	1205A	228063.336679	1	[12]1205A:GT
improved	1313	303495.29161	1	[13]1313:GT
improved	140	296509.805882	1	[14]140:GT
improved	150-4	317610.926574	1	[15]150-4:GT
improved	1538	285865.195007	1	[16]1538:GT
improved	1610	208730.328576	1	[17]1610:GT
improved	1614	216354.08865	1	[18]1614:GT
improved	17564	317709.46671	1	[19]17564:GT
improved	18	330039.517028	1	[20]18:GT
improved	18-599	331203.987204	1	[21]18-599:GT
improved	196	340605.898129	1	[22]196:GT
improved	200-24-13413	297333.370092	1	[23]200-24-13413:GT
improved	2005	289174.695781	1	[24]2005:GT
improved	2005-4	323582.162843	1	[25]2005-4:GT
improved	200B	319926.745256	1	[26]200B:GT
improved	20564	302174.030666	1	[27]20564:GT
improved	207	296764.433203	1	[28]207:GT
improved	20762	305165.653844	1	[29]20762:GT
improved	20837	307141.095702	1	[30]20837:GT
improved	2369	85979.917213	1	[31]2369:GT
improved	33-16	298836.4259	1	[32]282set_33-16:GT
improved	38-11GOODMAN-BUCKLER	295952.516138	1	[33]282set_38-11Goodman-Buckler:GT
improved	4226	303905.827845	1	[34]282set_4226:GT
improved	4722	308248.690221	2	[35]282set_4722:GT | [312]4722:GT
improved	A188	304703.891868	1	[36]282set_A188:GT
improved	A214NGOODMAN-BUCKLER	244436.311486	1	[37]282set_A214NGoodman-Buckler:GT
improved	A239	301297.855581	1	[38]282set_A239:GT
improved	A441-5	297455.72893	1	[39]282set_A441-5:GT
improved	A554	294896.82106	2	[40]282set_A554:GT | [392]A554:GT
improved	A556	288687.805411	1	[41]282set_A556:GT
improved	A6	304938.363256	1	[42]282set_A6:GT
improved	A619	291905.304923	2	[43]282set_A619:GT | [393]A619:GT
improved	A632	241481.02429	2	[44]282set_A632:GT | [394]A632:GT
improved	A634	240830.564347	1	[45]282set_A634:GT
improved	A635	226584.468079	1	[46]282set_A635:GT
improved	A641	268621.698716	1	[47]282set_A641:GT
improved	A654	299576.786973	1	[48]282set_A654:GT
improved	A659	294744.442894	1	[49]282set_A659:GT
improved	A661	292268.010293	1	[50]282set_A661:GT
improved	A679	69083.715519	2	[51]282set_A679:GT | [395]A679:GT
improved	A680	31111.926846	1	[52]282set_A680:GT
improved	A682	310483.829895	1	[53]282set_A682:GT
improved	AB28A	294059.782339	1	[54]282set_Ab28A:GT
improved	B10	246577.988928	1	[55]282set_B10:GT
improved	B103	291759.102973	1	[56]282set_B103:GT
improved	B104	177673.19414	1	[57]282set_B104:GT
improved	B105	240028.895033	1	[58]282set_B105:GT
improved	B109	57050.378292	1	[59]282set_B109:GT
improved	B14A	207200.018101	1	[60]282set_B14A:GT
improved	B164	282649.62097	1	[61]282set_B164:GT
improved	B2	284668.630661	1	[62]282set_B2:GT
improved	B37	258118.4928685	2	[63]282set_B37:GT | [404]B37:GT
improved	B46	285912.150638	1	[64]282set_B46:GT
improved	B52	286941.470843	1	[65]282set_B52:GT
improved	B57	299830.532187	1	[66]282set_B57:GT
improved	B64	252114.718534	1	[67]282set_B64:GT
improved	B68	239709.4692675	2	[68]282set_B68:GT | [408]B68:GT
improved	B73	7257.836949	3	[69]282set_B73:GT | [410]B73:GT | [578]german_B73:GT
improved	B75	287077.003332	1	[70]282set_B75:GT
improved	B76	261896.617045	2	[71]282set_B76:GT | [411]B76:GT
improved	B77	309572.154316	1	[72]282set_B77:GT
improved	B79	282259.493454	1	[73]282set_B79:GT
improved	B84	172737.379626	1	[74]282set_B84:GT
improved	C103	318318.2125925	2	[75]282set_C103:GT | [427]C103:GT
improved	C123	317467.730246	1	[76]282set_C123:GT
improved	C49A	300307.722187	1	[77]282set_C49A:GT
improved	CH701-30	287918.102141	1	[78]282set_CH701-30:GT
improved	CH9	295955.834617	1	[79]282set_CH9:GT
