sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load
[5]030-1:GT	improved	-280495.332278	71801	10	280495.332278
[6]08-64:GT	improved	-314101.625242	80313	10	314101.625242
[7]1101:GT	improved	-298054.753391	76184	10	298054.753391
[8]1121:GT	improved	-330642.783877	84465	10	330642.783877
[9]1127:GT	improved	-315843.806546	80713	10	315843.806546
[10]11430:GT	improved	-268874.38024	68951	10	268874.38024
[11]1145:GT	improved	-315211.15277	80568	10	315211.15277
[12]1205A:GT	improved	-228063.336679	57956	10	228063.336679
[13]1313:GT	improved	-303495.29161	77660	10	303495.29161
[14]140:GT	improved	-296509.805882	76242	10	296509.805882
[15]150-4:GT	improved	-317610.926574	81084	10	317610.926574
[16]1538:GT	improved	-285865.195007	73165	10	285865.195007
[17]1610:GT	improved	-208730.328576	53326	10	208730.328576
[18]1614:GT	improved	-216354.08865	55145	10	216354.08865
[19]17564:GT	improved	-317709.46671	81344	10	317709.46671
[20]18:GT	improved	-330039.517028	84244	10	330039.517028
[21]18-599:GT	improved	-331203.987204	84512	10	331203.987204
[22]196:GT	improved	-340605.898129	87215	10	340605.898129
[23]200-24-13413:GT	improved	-297333.370092	76287	10	297333.370092
[24]2005:GT	improved	-289174.695781	74071	10	289174.695781
[25]2005-4:GT	improved	-323582.162843	82901	10	323582.162843
[26]200B:GT	improved	-319926.745256	81737	10	319926.745256
[27]20564:GT	improved	-302174.030666	77369	10	302174.030666
[28]207:GT	improved	-296764.433203	75828	10	296764.433203
[29]20762:GT	improved	-305165.653844	78072	10	305165.653844
[30]20837:GT	improved	-307141.095702	78498	10	307141.095702
[31]2369:GT	improved	-85979.917213	21929	10	85979.917213
[32]282set_33-16:GT	improved	-298836.4259	76540	10	298836.4259
[33]282set_38-11Goodman-Buckler:GT	improved	-295952.516138	75762	10	295952.516138
[34]282set_4226:GT	improved	-303905.827845	77657	10	303905.827845
[35]282set_4722:GT	improved	-309021.104458	79157	10	309021.104458
[36]282set_A188:GT	improved	-304703.891868	78159	10	304703.891868
[37]282set_A214NGoodman-Buckler:GT	improved	-244436.311486	62872	10	244436.311486
[38]282set_A239:GT	improved	-301297.855581	76749	10	301297.855581
[39]282set_A441-5:GT	improved	-297455.72893	76343	10	297455.72893
[40]282set_A554:GT	improved	-292873.386385	75066	10	292873.386385
[41]282set_A556:GT	improved	-288687.805411	73820	10	288687.805411
[42]282set_A6:GT	improved	-304938.363256	78323	10	304938.363256
[43]282set_A619:GT	improved	-312660.744911	79997	10	312660.744911
[44]282set_A632:GT	improved	-241146.388492	61753	10	241146.388492
[45]282set_A634:GT	improved	-240830.564347	61760	10	240830.564347
[46]282set_A635:GT	improved	-226584.468079	58174	10	226584.468079
[47]282set_A641:GT	improved	-268621.698716	68765	10	268621.698716
[48]282set_A654:GT	improved	-299576.786973	76919	10	299576.786973
[49]282set_A659:GT	improved	-294744.442894	75374	10	294744.442894
[50]282set_A661:GT	improved	-292268.010293	75001	10	292268.010293
[51]282set_A679:GT	improved	-70463.280629	17878	10	70463.280629
[52]282set_A680:GT	improved	-31111.926846	8003	10	31111.926846
[53]282set_A682:GT	improved	-310483.829895	79316	10	310483.829895
[54]282set_Ab28A:GT	improved	-294059.782339	75383	10	294059.782339
[55]282set_B10:GT	improved	-246577.988928	63164	10	246577.988928
[56]282set_B103:GT	improved	-291759.102973	74507	10	291759.102973
[57]282set_B104:GT	improved	-177673.19414	45588	10	177673.19414
[58]282set_B105:GT	improved	-240028.895033	61535	10	240028.895033
[59]282set_B109:GT	improved	-57050.378292	14546	10	57050.378292
[60]282set_B14A:GT	improved	-207200.018101	53112	10	207200.018101
[61]282set_B164:GT	improved	-282649.62097	72380	10	282649.62097
[62]282set_B2:GT	improved	-284668.630661	72858	10	284668.630661
[63]282set_B37:GT	improved	-257890.127367	65941	10	257890.127367
[64]282set_B46:GT	improved	-285912.150638	73022	10	285912.150638
[65]282set_B52:GT	improved	-286941.470843	73460	10	286941.470843
[66]282set_B57:GT	improved	-299830.532187	76794	10	299830.532187
[67]282set_B64:GT	improved	-252114.718534	64509	10	252114.718534
