sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[32]282set_33-16:GT	improved	5%	-298836.4259	10	298836.4259
[33]282set_38-11Goodman-Buckler:GT	improved	5%	-295952.516138	10	295952.516138
[34]282set_4226:GT	improved	5%	-303905.827845	10	303905.827845
[35]282set_4722:GT	improved	5%	-309021.104458	10	309021.104458
[36]282set_A188:GT	improved	5%	-304703.891868	10	304703.891868
[37]282set_A214NGoodman-Buckler:GT	improved	5%	-244436.311486	10	244436.311486
[38]282set_A239:GT	improved	5%	-301297.855581	10	301297.855581
[39]282set_A441-5:GT	improved	5%	-297455.72893	10	297455.72893
[40]282set_A554:GT	improved	5%	-292873.386385	10	292873.386385
[41]282set_A556:GT	improved	5%	-288687.805411	10	288687.805411
[42]282set_A6:GT	improved	5%	-304938.363256	10	304938.363256
[43]282set_A619:GT	improved	5%	-312660.744911	10	312660.744911
[44]282set_A632:GT	improved	5%	-241146.388492	10	241146.388492
[45]282set_A634:GT	improved	5%	-240830.564347	10	240830.564347
[46]282set_A635:GT	improved	5%	-226584.468079	10	226584.468079
[47]282set_A641:GT	improved	5%	-268621.698716	10	268621.698716
[48]282set_A654:GT	improved	5%	-299576.786973	10	299576.786973
[49]282set_A659:GT	improved	5%	-294744.442894	10	294744.442894
[50]282set_A661:GT	improved	5%	-292268.010293	10	292268.010293
[51]282set_A679:GT	improved	5%	-70463.280629	10	70463.280629
[52]282set_A680:GT	improved	5%	-31111.926846	10	31111.926846
[53]282set_A682:GT	improved	5%	-310483.829895	10	310483.829895
[54]282set_Ab28A:GT	improved	5%	-294059.782339	10	294059.782339
[55]282set_B10:GT	improved	5%	-246577.988928	10	246577.988928
[56]282set_B103:GT	improved	5%	-291759.102973	10	291759.102973
[57]282set_B104:GT	improved	5%	-177673.19414	10	177673.19414
[58]282set_B105:GT	improved	5%	-240028.895033	10	240028.895033
[59]282set_B109:GT	improved	5%	-57050.378292	10	57050.378292
[60]282set_B14A:GT	improved	5%	-207200.018101	10	207200.018101
[61]282set_B164:GT	improved	5%	-282649.62097	10	282649.62097
[62]282set_B2:GT	improved	5%	-284668.630661	10	284668.630661
[63]282set_B37:GT	improved	5%	-257890.127367	10	257890.127367
[64]282set_B46:GT	improved	5%	-285912.150638	10	285912.150638
[65]282set_B52:GT	improved	5%	-286941.470843	10	286941.470843
[66]282set_B57:GT	improved	5%	-299830.532187	10	299830.532187
[67]282set_B64:GT	improved	5%	-252114.718534	10	252114.718534
[68]282set_B68:GT	improved	5%	-239358.29505	10	239358.29505
[69]282set_B73:GT	improved	5%	-1743.753186	10	1743.753186
[70]282set_B75:GT	improved	5%	-287077.003332	10	287077.003332
[71]282set_B76:GT	improved	5%	-261249.131742	10	261249.131742
[72]282set_B77:GT	improved	5%	-309572.154316	10	309572.154316
[73]282set_B79:GT	improved	5%	-282259.493454	10	282259.493454
[74]282set_B84:GT	improved	5%	-172737.379626	10	172737.379626
[75]282set_C103:GT	improved	5%	-327203.218852	10	327203.218852
[76]282set_C123:GT	improved	5%	-317467.730246	10	317467.730246
[77]282set_C49A:GT	improved	5%	-300307.722187	10	300307.722187
[78]282set_CH701-30:GT	improved	5%	-287918.102141	10	287918.102141
[79]282set_CH9:GT	improved	5%	-295955.834617	10	295955.834617
[80]282set_CI187-2:GT	improved	5%	-278181.10041	10	278181.10041
[81]282set_CI21E:GT	improved	5%	-265847.336008	10	265847.336008
[82]282set_CI28AGoodman-Buckler:GT	improved	5%	-293167.901195	10	293167.901195
[83]282set_CI31A:GT	improved	5%	-295544.874592	10	295544.874592
[84]282set_CI3A:GT	improved	5%	-301904.156236	10	301904.156236
[85]282set_CI64:GT	improved	5%	-301367.412955	10	301367.412955
[86]282set_CI66:GT	improved	5%	-300971.592516	10	300971.592516
[87]282set_Ci7Goodman-Buckler:GT	improved	5%	-293093.311036	10	293093.311036
