group	sample	Abs_genetic_load
landrace	[5]ZEAxppRCWDIAAPEI-3:GT	325873.075705
landrace	[6]ZEAxppRCXDIAAPEI-4:GT	323288.768214
landrace	[7]BKN009:GT	313837.357015
landrace	[8]BKN010:GT	311947.307426
landrace	[9]BKN011:GT	308869.443294
landrace	[10]BKN014:GT	315520.379314
landrace	[11]BKN015:GT	303794.376888
landrace	[12]BKN016:GT	320942.326409
landrace	[13]BKN017:GT	303314.170259
landrace	[14]BKN018:GT	304314.586401
landrace	[15]BKN019:GT	307154.36468
landrace	[16]BKN020:GT	307203.75785
landrace	[17]BKN022:GT	302777.12568
landrace	[18]BKN023:GT	312683.526681
landrace	[19]BKN025:GT	303731.86616
landrace	[20]BKN026:GT	305428.061571
landrace	[21]BKN027:GT	316494.55558
landrace	[22]BKN029:GT	300405.801888
landrace	[23]BKN030:GT	303672.894732
landrace	[24]BKN031:GT	302697.75617
landrace	[25]BKN032:GT	308409.290505
landrace	[26]BKN033:GT	307303.011125
landrace	[27]BKN034:GT	305042.129499
landrace	[28]BKN035:GT	296691.950057
landrace	[29]BKN040:GT	306724.46651
landrace	[30]RIMMA0438.1:GT	305109.744196
wild	[5]german_Teosinte:GT	257781.066417
wild	[6]TIL01:GT	263088.109551
wild	[7]TIL01-JD:GT	266096.931096
wild	[8]TIL02:GT	248872.147354
wild	[9]TIL03:GT	267934.237346
wild	[10]TIL04-TIP285:GT	251732.491406
wild	[11]TIL04-TIP454:GT	261440.968484
wild	[12]TIL05:GT	273056.76569
wild	[13]TIL06-TIP260:GT	250674.228933
wild	[14]TIL06-TIP496:GT	248922.383981
wild	[15]TIL07:GT	268434.719116
wild	[16]TIL09:GT	270860.776393
wild	[17]TIL10:GT	261965.134728
wild	[18]TIL11:GT	270722.364443
wild	[19]TIL12:GT	243158.7404
wild	[20]TIL14-TIP498:GT	266190.077265
wild	[21]TIL15:GT	251204.188421
wild	[22]TIL16:GT	250947.163198
wild	[23]TIL17:GT	264456.593597
wild	[24]TIL25-TIP489:GT	248617.590993
improved	[391]A272:GT	314915.704227
improved	[394]A632:GT	241815.660088
improved	[61]282set_B164:GT	282649.62097
improved	[434]CAU478:GT	239512.96485
improved	[435]CAU5003:GT	309584.973043
improved	[436]CAUCHANG72:GT	332292.605823
improved	[438]CAUZHENG58:GT	276782.841877
improved	[579]german_CH10:GT	318542.393516
improved	[458]CML103-run248:GT	304668.559335
improved	[125]282set_CML52:GT	307733.604132
improved	[480]CML69:GT	308804.312422
improved	[580]german_D06:GT	283560.410237
improved	[581]german_D09:GT	288181.004555
improved	[582]german_D152:GT	311462.689757
improved	[583]german_DK105:GT	319571.349008
improved	[584]german_EC169:GT	204366.91933
improved	[585]german_EC49A:GT	301905.17665
improved	[140]282set_EP1:GT	315744.458903
improved	[589]german_F03802:GT	307979.927447
improved	[590]german_F2:GT	315461.148436
improved	[591]german_F252:GT	295250.359029
improved	[595]german_F64:GT	309046.73844
improved	[558]F7:GT	322801.996584
improved	[597]german_F98902:GT	186917.942756
improved	[598]german_FF0721H-7:GT	318638.757779
improved	[172]282set_Ki2021:GT	312012.15412
improved	[682]KI3:GT	315594.050381
improved	[599]german_Lo11:GT	312378.146357
improved	[183]282set_M37W:GT	309697.058108
improved	[185]282set_Mo17:GT	317713.502772
improved	[792]Ms71:GT	282751.771094
improved	[199]282set_N28Ht:GT	255623.464927
improved	[798]N6:GT	297564.402087
improved	[816]Oh43:GT	306603.751645
improved	[249]282set_Os420:GT	285014.487612
improved	[601]german_PH207:GT	296348.645881
improved	[964]Tx601:GT	307853.912454
improved	[602]german_UH006:GT	320182.294932
improved	[603]german_UH007:GT	317420.034097
improved	[604]german_UH009:GT	319062.673341
improved	[605]german_UH250:GT	275480.20639
improved	[606]german_UH304:GT	290230.334235
improved	[607]german_W117:GT	300366.736566
improved	[979]W22:GT	295464.125345
improved	[986]W64A:GT	290685.020025
improved	[1038]ye8112:GT	152740.376359
