group	canon	Abs_genetic_load	n_alias	sample_aliases
improved	A272	314915.704227	1	[391]A272:GT
improved	A632	241481.02429	2	[44]282set_A632:GT | [394]A632:GT
improved	B164	282649.62097	1	[61]282set_B164:GT
improved	B73	7257.836949	3	[69]282set_B73:GT | [410]B73:GT | [578]german_B73:GT
improved	CAU478	239512.96485	1	[434]CAU478:GT
improved	CAU5003	309584.973043	1	[435]CAU5003:GT
improved	CAUCHANG72	332292.605823	1	[436]CAUCHANG72:GT
improved	CAUZHENG58	276782.841877	1	[438]CAUZHENG58:GT
improved	CH10	318542.393516	1	[579]german_CH10:GT
improved	CML103-RUN248	304668.559335	1	[458]CML103-run248:GT
improved	CML52	306887.473662	2	[125]282set_CML52:GT | [478]CML52:GT
improved	CML69	307609.103183	2	[127]282set_CML69:GT | [480]CML69:GT
improved	D06	283560.410237	1	[580]german_D06:GT
improved	D09	288181.004555	1	[581]german_D09:GT
improved	D152	311462.689757	1	[582]german_D152:GT
improved	DK105	319571.349008	1	[583]german_DK105:GT
improved	EC169	204366.91933	1	[584]german_EC169:GT
improved	EC49A	301905.17665	1	[585]german_EC49A:GT
improved	EP1	315480.2505235	2	[140]282set_EP1:GT | [586]german_EP1:GT
improved	F03802	307979.927447	1	[589]german_F03802:GT
improved	F2	315461.148436	1	[590]german_F2:GT
improved	F252	295250.359029	1	[591]german_F252:GT
improved	F64	309046.73844	1	[595]german_F64:GT
improved	F7	320268.940942	3	[143]282set_F7:GT | [558]F7:GT | [596]german_F7:GT
improved	F98902	186917.942756	1	[597]german_F98902:GT
improved	FF0721H-7	318638.757779	1	[598]german_FF0721H-7:GT
improved	KI2021	312012.15412	1	[172]282set_Ki2021:GT
improved	KI3	315594.050381	1	[682]KI3:GT
improved	LO11	312378.146357	1	[599]german_Lo11:GT
improved	M37W	309666.1914485	2	[183]282set_M37W:GT | [772]M37W:GT
improved	MO17	316085.869033	3	[185]282set_Mo17:GT | [600]german_Mo17:GT | [787]Mo17:GT
improved	MS71	282751.771094	1	[792]Ms71:GT
improved	N28HT	255623.464927	1	[199]282set_N28Ht:GT
improved	N6	297564.402087	1	[798]N6:GT
improved	OH43	306603.751645	1	[816]Oh43:GT
improved	OS420	285014.487612	1	[249]282set_Os420:GT
improved	PH207	296005.137252	2	[601]german_PH207:GT | [830]PH207:GT
improved	TX601	306330.4622835	2	[271]282set_Tx601:GT | [964]Tx601:GT
improved	UH006	320182.294932	1	[602]german_UH006:GT
improved	UH007	317420.034097	1	[603]german_UH007:GT
improved	UH009	319062.673341	1	[604]german_UH009:GT
improved	UH250	275480.20639	1	[605]german_UH250:GT
improved	UH304	290230.334235	1	[606]german_UH304:GT
improved	W117	193018.069342	2	[607]german_W117:GT | [975]W117:GT
improved	W22	295464.125345	1	[979]W22:GT
improved	W64A	290685.020025	1	[986]W64A:GT
improved	YE8112	152740.376359	1	[1038]ye8112:GT
