sample	group	N_del_sum	n_chr_rows
[5]030-1:GT	improved	71801	10
[6]08-64:GT	improved	80313	10
[7]1101:GT	improved	76184	10
[8]1121:GT	improved	84465	10
[9]1127:GT	improved	80713	10
[10]11430:GT	improved	68951	10
[11]1145:GT	improved	80568	10
[12]1205A:GT	improved	57956	10
[13]1313:GT	improved	77660	10
[14]140:GT	improved	76242	10
[15]150-4:GT	improved	81084	10
[16]1538:GT	improved	73165	10
[17]1610:GT	improved	53326	10
[18]1614:GT	improved	55145	10
[19]17564:GT	improved	81344	10
[20]18:GT	improved	84244	10
[21]18-599:GT	improved	84512	10
[22]196:GT	improved	87215	10
[23]200-24-13413:GT	improved	76287	10
[24]2005:GT	improved	74071	10
[25]2005-4:GT	improved	82901	10
[26]200B:GT	improved	81737	10
[27]20564:GT	improved	77369	10
[28]207:GT	improved	75828	10
[29]20762:GT	improved	78072	10
[30]20837:GT	improved	78498	10
[31]2369:GT	improved	21929	10
[32]282set_33-16:GT	improved	76540	10
[33]282set_38-11Goodman-Buckler:GT	improved	75762	10
[34]282set_4226:GT	improved	77657	10
[35]282set_4722:GT	improved	79157	10
[36]282set_A188:GT	improved	78159	10
[37]282set_A214NGoodman-Buckler:GT	improved	62872	10
[38]282set_A239:GT	improved	76749	10
[39]282set_A441-5:GT	improved	76343	10
[40]282set_A554:GT	improved	75066	10
[41]282set_A556:GT	improved	73820	10
[42]282set_A6:GT	improved	78323	10
[43]282set_A619:GT	improved	79997	10
[44]282set_A632:GT	improved	61753	10
[45]282set_A634:GT	improved	61760	10
[46]282set_A635:GT	improved	58174	10
[47]282set_A641:GT	improved	68765	10
[48]282set_A654:GT	improved	76919	10
[49]282set_A659:GT	improved	75374	10
[50]282set_A661:GT	improved	75001	10
[51]282set_A679:GT	improved	17878	10
[52]282set_A680:GT	improved	8003	10
[53]282set_A682:GT	improved	79316	10
[54]282set_Ab28A:GT	improved	75383	10
[55]282set_B10:GT	improved	63164	10
[56]282set_B103:GT	improved	74507	10
[57]282set_B104:GT	improved	45588	10
[58]282set_B105:GT	improved	61535	10
[59]282set_B109:GT	improved	14546	10
[60]282set_B14A:GT	improved	53112	10
[61]282set_B164:GT	improved	72380	10
[62]282set_B2:GT	improved	72858	10
[63]282set_B37:GT	improved	65941	10
[64]282set_B46:GT	improved	73022	10
[65]282set_B52:GT	improved	73460	10
[66]282set_B57:GT	improved	76794	10
[67]282set_B64:GT	improved	64509	10
[68]282set_B68:GT	improved	61413	10
[69]282set_B73:GT	improved	432	10
[70]282set_B75:GT	improved	73464	10
[71]282set_B76:GT	improved	66821	10
[72]282set_B77:GT	improved	79312	10
[73]282set_B79:GT	improved	72349	10
[74]282set_B84:GT	improved	44173	10
[75]282set_C103:GT	improved	83439	10
[76]282set_C123:GT	improved	81179	10
[77]282set_C49A:GT	improved	77091	10
[78]282set_CH701-30:GT	improved	73774	10
[79]282set_CH9:GT	improved	75672	10
[80]282set_CI187-2:GT	improved	70999	10
[81]282set_CI21E:GT	improved	68179	10
[82]282set_CI28AGoodman-Buckler:GT	improved	75149	10
[83]282set_CI31A:GT	improved	75587	10
[84]282set_CI3A:GT	improved	77348	10
[85]282set_CI64:GT	improved	77436	10
[86]282set_CI66:GT	improved	77178	10
[87]282set_Ci7Goodman-Buckler:GT	improved	74916	10
[88]282set_Ci90CGoodman-Buckler:GT	improved	75170	10
[89]282set_Ci91BGoodman-Buckler:GT	improved	70370	10
[90]282set_CM105:GT	improved	64929	10
[91]282set_CM37:GT	improved	76391	10
[92]282set_CM7:GT	improved	76292	10
[93]282set_CML10:GT	improved	78545	10
[94]282set_CML108:GT	improved	77262	10
[95]282set_CML11:GT	improved	78226	10
[96]282set_CML14:GT	improved	77364	10
[97]282set_CML154Q:GT	improved	78785	10
[98]282set_CML157Q:GT	improved	78057	10
[99]282set_CML158Q:GT	improved	77999	10
[100]282set_CML218:GT	improved	79406	10
[101]282set_CML220:GT	improved	77755	10
[102]282set_CML228:GT	improved	80191	10
[103]282set_CML238:GT	improved	78202	10
[104]282set_CML247:GT	improved	79234	10
[105]282set_CML254:GT	improved	77410	10
[106]282set_CML258:GT	improved	77351	10
[107]282set_CML261:GT	improved	76142	10
[108]282set_CML264:GT	improved	77831	10
[109]282set_CML277:GT	improved	78690	10
[110]282set_CML281:GT	improved	78089	10
[111]282set_CML287:GT	improved	78230	10
[112]282set_CML311:GT	improved	78621	10
[113]282set_CML314:GT	improved	77173	10
[114]282set_CML321:GT	improved	77881	10
[115]282set_CML322:GT	improved	78174	10
[116]282set_CML323:GT	improved	77393	10
[117]282set_CML328:GT	improved	79861	10
[118]282set_CML331:GT	improved	78223	10
[119]282set_CML332:GT	improved	77942	10
[120]282set_CML333:GT	improved	78515	10
[121]282set_CML341:GT	improved	77687	10
[122]282set_CML38:GT	improved	78800	10
[123]282set_CML45:GT	improved	80154	10
[124]282set_CML5:GT	improved	78103	10
[125]282set_CML52:GT	improved	79030	10
[126]282set_CML61:GT	improved	78013	10
[127]282set_CML69:GT	improved	78660	10
[128]282set_CML77:GT	improved	77660	10
[129]282set_CML91:GT	improved	77210	10
[130]282set_CML92:GT	improved	76783	10
[131]282set_CMV3:GT	improved	78220	10
[132]282set_CO106:GT	improved	77166	10
[133]282set_CO125:GT	improved	75823	10
[134]282set_CO255:GT	improved	79869	10
[135]282set_D940Y:GT	improved	78696	10
[136]282set_DE1:GT	improved	77552	10
[137]282set_DE-2:GT	improved	76263	10
[138]282set_DE811:GT	improved	67735	10
[139]282set_E2558W:GT	improved	76020	10
[140]282set_EP1:GT	improved	80997	10
[141]282set_F2834T:GT	improved	77320	10
[142]282set_F6:GT	improved	78012	10
[143]282set_F7:GT	improved	82232	10
[144]282set_GA209:GT	improved	76081	10
[145]282set_GT112:GT	improved	78114	10
[146]282set_H105W:GT	improved	66757	10
[147]282set_H49:GT	improved	75640	10
[148]282set_H84:GT	improved	67358	10
[149]282set_H91:GT	improved	56075	10
[150]282set_H95:GT	improved	77911	10
[151]282set_H99:GT	improved	77051	10
[152]282set_Hi27Goodman-Buckler:GT	improved	73317	10
[153]282set_HP301:GT	improved	77334	10
[154]282set_I137TN:GT	improved	77543	10
[155]282set_i1677a:GT	improved	79490	10
