sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[5]030-1:GT	improved	5%	-280495.332278	10	280495.332278
[6]08-64:GT	improved	5%	-314101.625242	10	314101.625242
[7]1101:GT	improved	5%	-298054.753391	10	298054.753391
[8]1121:GT	improved	5%	-330642.783877	10	330642.783877
[9]1127:GT	improved	5%	-315843.806546	10	315843.806546
[10]11430:GT	improved	5%	-268874.38024	10	268874.38024
[11]1145:GT	improved	5%	-315211.15277	10	315211.15277
[12]1205A:GT	improved	5%	-228063.336679	10	228063.336679
[13]1313:GT	improved	5%	-303495.29161	10	303495.29161
[14]140:GT	improved	5%	-296509.805882	10	296509.805882
[15]150-4:GT	improved	5%	-317610.926574	10	317610.926574
[16]1538:GT	improved	5%	-285865.195007	10	285865.195007
[17]1610:GT	improved	5%	-208730.328576	10	208730.328576
[18]1614:GT	improved	5%	-216354.08865	10	216354.08865
[19]17564:GT	improved	5%	-317709.46671	10	317709.46671
[20]18:GT	improved	5%	-330039.517028	10	330039.517028
[21]18-599:GT	improved	5%	-331203.987204	10	331203.987204
[22]196:GT	improved	5%	-340605.898129	10	340605.898129
[23]200-24-13413:GT	improved	5%	-297333.370092	10	297333.370092
[24]2005:GT	improved	5%	-289174.695781	10	289174.695781
[25]2005-4:GT	improved	5%	-323582.162843	10	323582.162843
[26]200B:GT	improved	5%	-319926.745256	10	319926.745256
[27]20564:GT	improved	5%	-302174.030666	10	302174.030666
[28]207:GT	improved	5%	-296764.433203	10	296764.433203
[29]20762:GT	improved	5%	-305165.653844	10	305165.653844
[30]20837:GT	improved	5%	-307141.095702	10	307141.095702
[31]2369:GT	improved	5%	-85979.917213	10	85979.917213
[295]29MIBZ2:GT	improved	5%	-302270.409774	10	302270.409774
[296]2FACC:GT	improved	5%	-147680.576645	10	147680.576645
[297]2MA22:GT	improved	5%	-269111.922195	10	269111.922195
[298]3189:GT	improved	5%	-246559.973387	10	246559.973387
[299]32:GT	improved	5%	-169137.177098	10	169137.177098
[300]3335:GT	improved	5%	-249699.00017	10	249699.00017
[301]3489a:GT	improved	5%	-278859.29507	10	278859.29507
[302]3514:GT	improved	5%	-295727.624526	10	295727.624526
[303]3H2:GT	improved	5%	-315601.595302	10	315601.595302
[304]3IBZ2:GT	improved	5%	-294023.623696	10	294023.623696
[305]4003:GT	improved	5%	-320704.507467	10	320704.507467
[306]411:GT	improved	5%	-313518.789361	10	313518.789361
[307]433-7:GT	improved	5%	-282039.179184	10	282039.179184
[308]441950:GT	improved	5%	-282350.754902	10	282350.754902
[309]444:GT	improved	5%	-319354.429422	10	319354.429422
[310]4676A:GT	improved	5%	-259617.447395	10	259617.447395
[311]468-3:GT	improved	5%	-182954.77453	10	182954.77453
[312]4722:GT	improved	5%	-307476.275984	10	307476.275984
[313]4936:GT	improved	5%	-313261.027825	10	313261.027825
