sample	group	Abs_genetic_load	canon
[5]030-1:GT	improved	280495.332278	030-1
[6]08-64:GT	improved	314101.625242	08-64
[7]1101:GT	improved	298054.753391	1101
[8]1121:GT	improved	330642.783877	1121
[9]1127:GT	improved	315843.806546	1127
[10]11430:GT	improved	268874.38024	11430
[11]1145:GT	improved	315211.15277	1145
[12]1205A:GT	improved	228063.336679	1205A
[13]1313:GT	improved	303495.29161	1313
[14]140:GT	improved	296509.805882	140
[15]150-4:GT	improved	317610.926574	150-4
[16]1538:GT	improved	285865.195007	1538
[17]1610:GT	improved	208730.328576	1610
[18]1614:GT	improved	216354.08865	1614
[19]17564:GT	improved	317709.46671	17564
[20]18:GT	improved	330039.517028	18
[21]18-599:GT	improved	331203.987204	18-599
[22]196:GT	improved	340605.898129	196
[23]200-24-13413:GT	improved	297333.370092	200-24-13413
[24]2005:GT	improved	289174.695781	2005
[25]2005-4:GT	improved	323582.162843	2005-4
[26]200B:GT	improved	319926.745256	200B
[27]20564:GT	improved	302174.030666	20564
[28]207:GT	improved	296764.433203	207
[29]20762:GT	improved	305165.653844	20762
[30]20837:GT	improved	307141.095702	20837
[31]2369:GT	improved	85979.917213	2369
[32]282set_33-16:GT	improved	298836.4259	33-16
[33]282set_38-11Goodman-Buckler:GT	improved	295952.516138	38-11GOODMAN-BUCKLER
[34]282set_4226:GT	improved	303905.827845	4226
[35]282set_4722:GT	improved	309021.104458	4722
[36]282set_A188:GT	improved	304703.891868	A188
[37]282set_A214NGoodman-Buckler:GT	improved	244436.311486	A214NGOODMAN-BUCKLER
[38]282set_A239:GT	improved	301297.855581	A239
[39]282set_A441-5:GT	improved	297455.72893	A441-5
[40]282set_A554:GT	improved	292873.386385	A554
[41]282set_A556:GT	improved	288687.805411	A556
[42]282set_A6:GT	improved	304938.363256	A6
[43]282set_A619:GT	improved	312660.744911	A619
[44]282set_A632:GT	improved	241146.388492	A632
[45]282set_A634:GT	improved	240830.564347	A634
[46]282set_A635:GT	improved	226584.468079	A635
[47]282set_A641:GT	improved	268621.698716	A641
[48]282set_A654:GT	improved	299576.786973	A654
[49]282set_A659:GT	improved	294744.442894	A659
[50]282set_A661:GT	improved	292268.010293	A661
[51]282set_A679:GT	improved	70463.280629	A679
[52]282set_A680:GT	improved	31111.926846	A680
[53]282set_A682:GT	improved	310483.829895	A682
[54]282set_Ab28A:GT	improved	294059.782339	AB28A
[55]282set_B10:GT	improved	246577.988928	B10
[56]282set_B103:GT	improved	291759.102973	B103
[57]282set_B104:GT	improved	177673.19414	B104
[58]282set_B105:GT	improved	240028.895033	B105
[59]282set_B109:GT	improved	57050.378292	B109
[60]282set_B14A:GT	improved	207200.018101	B14A
[61]282set_B164:GT	improved	282649.62097	B164
[62]282set_B2:GT	improved	284668.630661	B2
[63]282set_B37:GT	improved	257890.127367	B37
[64]282set_B46:GT	improved	285912.150638	B46
[65]282set_B52:GT	improved	286941.470843	B52
[66]282set_B57:GT	improved	299830.532187	B57
[67]282set_B64:GT	improved	252114.718534	B64
[68]282set_B68:GT	improved	239358.29505	B68
[70]282set_B75:GT	improved	287077.003332	B75
[71]282set_B76:GT	improved	261249.131742	B76
[72]282set_B77:GT	improved	309572.154316	B77
[73]282set_B79:GT	improved	282259.493454	B79
[74]282set_B84:GT	improved	172737.379626	B84
[75]282set_C103:GT	improved	327203.218852	C103
[76]282set_C123:GT	improved	317467.730246	C123
[77]282set_C49A:GT	improved	300307.722187	C49A
[78]282set_CH701-30:GT	improved	287918.102141	CH701-30
[79]282set_CH9:GT	improved	295955.834617	CH9
[80]282set_CI187-2:GT	improved	278181.10041	CI187-2
[81]282set_CI21E:GT	improved	265847.336008	CI21E
[82]282set_CI28AGoodman-Buckler:GT	improved	293167.901195	CI28AGOODMAN-BUCKLER
[83]282set_CI31A:GT	improved	295544.874592	CI31A
[84]282set_CI3A:GT	improved	301904.156236	CI3A
[85]282set_CI64:GT	improved	301367.412955	CI64
[86]282set_CI66:GT	improved	300971.592516	CI66
[87]282set_Ci7Goodman-Buckler:GT	improved	293093.311036	CI7GOODMAN-BUCKLER
[88]282set_Ci90CGoodman-Buckler:GT	improved	293477.715602	CI90CGOODMAN-BUCKLER
[89]282set_Ci91BGoodman-Buckler:GT	improved	275280.134885	CI91BGOODMAN-BUCKLER
[90]282set_CM105:GT	improved	253244.303101	CM105
[91]282set_CM37:GT	improved	298697.180963	CM37
[92]282set_CM7:GT	improved	298256.180191	CM7
[93]282set_CML10:GT	improved	305346.810037	CML10
[94]282set_CML108:GT	improved	300583.663791	CML108
[95]282set_CML11:GT	improved	304086.389072	CML11
[96]282set_CML14:GT	improved	300978.220861	CML14
[97]282set_CML154Q:GT	improved	306482.089761	CML154Q
[98]282set_CML157Q:GT	improved	304026.139823	CML157Q
[99]282set_CML158Q:GT	improved	303863.757058	CML158Q
[100]282set_CML218:GT	improved	308511.840978	CML218
[101]282set_CML220:GT	improved	302667.498698	CML220
[102]282set_CML228:GT	improved	312426.531684	CML228
[103]282set_CML238:GT	improved	304289.263981	CML238
[104]282set_CML247:GT	improved	308671.403888	CML247
[105]282set_CML254:GT	improved	301208.498663	CML254
[106]282set_CML258:GT	improved	300681.873188	CML258
[107]282set_CML261:GT	improved	296171.796491	CML261
[108]282set_CML264:GT	improved	302187.973823	CML264
[109]282set_CML277:GT	improved	305932.987734	CML277
[110]282set_CML281:GT	improved	303805.39703	CML281
[111]282set_CML287:GT	improved	304609.672628	CML287
[112]282set_CML311:GT	improved	305985.133185	CML311
[113]282set_CML314:GT	improved	300369.435343	CML314
[114]282set_CML321:GT	improved	302830.073269	CML321
[115]282set_CML322:GT	improved	304525.57383	CML322
[116]282set_CML323:GT	improved	301029.347526	CML323
[117]282set_CML328:GT	improved	311055.146768	CML328
[118]282set_CML331:GT	improved	304666.465862	CML331
[119]282set_CML332:GT	improved	303672.877771	CML332
[120]282set_CML333:GT	improved	305605.959131	CML333
[121]282set_CML341:GT	improved	301353.452404	CML341
[122]282set_CML38:GT	improved	306565.271697	CML38
[123]282set_CML45:GT	improved	312168.541325	CML45
[124]282set_CML5:GT	improved	303629.311706	CML5
[125]282set_CML52:GT	improved	307733.604132	CML52
[126]282set_CML61:GT	improved	303836.809784	CML61
[127]282set_CML69:GT	improved	306413.893944	CML69
[128]282set_CML77:GT	improved	302588.109047	CML77
[129]282set_CML91:GT	improved	299943.740109	CML91
[130]282set_CML92:GT	improved	298941.644536	CML92
[131]282set_CMV3:GT	improved	304259.417085	CMV3
[132]282set_CO106:GT	improved	300776.045862	CO106
[133]282set_CO125:GT	improved	295566.809301	CO125
[134]282set_CO255:GT	improved	311741.77043	CO255
[135]282set_D940Y:GT	improved	307068.268854	D940Y
[136]282set_DE1:GT	improved	303056.911927	DE1
[137]282set_DE-2:GT	improved	298162.768256	DE-2
[138]282set_DE811:GT	improved	264445.267206	DE811
[139]282set_E2558W:GT	improved	296541.145349	E2558W
[140]282set_EP1:GT	improved	315744.458903	EP1
[141]282set_F2834T:GT	improved	301468.097345	F2834T
[142]282set_F6:GT	improved	304240.128198	F6
[143]282set_F7:GT	improved	320268.940942	F7
[144]282set_GA209:GT	improved	295958.954621	GA209
[145]282set_GT112:GT	improved	304680.131124	GT112
[146]282set_H105W:GT	improved	260706.085903	H105W
[147]282set_H49:GT	improved	295783.332425	H49
[148]282set_H84:GT	improved	263084.978757	H84
[149]282set_H91:GT	improved	218815.612887	H91
[150]282set_H95:GT	improved	303882.39818	H95
[151]282set_H99:GT	improved	300620.758574	H99
[152]282set_Hi27Goodman-Buckler:GT	improved	285522.537354	HI27GOODMAN-BUCKLER
[153]282set_HP301:GT	improved	301867.231124	HP301
[154]282set_I137TN:GT	improved	301764.059866	I137TN
[155]282set_i1677a:GT	improved	310288.267333	I1677A
[156]282set_I205:GT	improved	284056.872495	I205
[157]282set_I29:GT	improved	296149.526267	I29
[158]282set_IA2132Goodman-Buckler:GT	improved	301411.520508	IA2132GOODMAN-BUCKLER
[159]282set_Ia5125:GT	improved	305403.028658	IA5125
[160]282set_IDS28:GT	improved	303626.087687	IDS28
[161]282set_IDS69:GT	improved	305329.025423	IDS69
[162]282set_IDS91:GT	improved	304095.033834	IDS91
[163]282set_Il101:GT	improved	317314.162673	IL101
[164]282set_Il14H:GT	improved	314750.176178	IL14H
[165]282set_ILLHy:GT	improved	262761.182041	ILLHY
[166]282set_K148:GT	improved	300724.017905	K148
[167]282set_K4:GT	improved	296346.513663	K4
[168]282set_K55:GT	improved	296363.543376	K55
[169]282set_K64:GT	improved	295574.642623	K64
[170]282set_Ki11:GT	improved	314372.135471	KI11
[171]282set_Ki14:GT	improved	313110.290585	KI14
[172]282set_Ki2021:GT	improved	312012.15412	KI2021
[173]282set_Ki21:GT	improved	315553.587433	KI21
[174]282set_Ki43:GT	improved	313943.79142	KI43
[175]282set_Ki44:GT	improved	305415.786534	KI44
[176]282set_Ky21:GT	improved	292964.208844	KY21
[177]282set_KY226:GT	improved	284564.866529	KY226
[178]282set_KY228:GT	improved	301734.292687	KY228
[179]282set_L317:GT	improved	315709.394646	L317
[180]282set_L578:GT	improved	300231.914946	L578
[181]282set_M14:GT	improved	286135.027219	M14
[182]282set_M162W:GT	improved	307018.225306	M162W
[183]282set_M37W:GT	improved	309697.058108	M37W
[184]282set_MEF156-55-2:GT	improved	308677.439596	MEF156-55-2
[185]282set_Mo17:GT	improved	317713.502772	MO17
[186]282set_Mo18W:GT	improved	304358.98156	MO18W
[187]282set_MO1W:GT	improved	297973.855965	MO1W
[188]282set_Mo24W:GT	improved	300745.805861	MO24W
[189]282set_Mo44:GT	improved	290043.551535	MO44
[190]282set_Mo45:GT	improved	303574.122971	MO45
[191]282set_Mo46:GT	improved	299225.785496	MO46
[192]282set_Mo47:GT	improved	284629.247966	MO47
[193]282set_MoG:GT	improved	304618.539707	MOG
[194]282set_Mp339:GT	improved	298103.948641	MP339
[195]282set_MS1334:GT	improved	301423.844901	MS1334
[196]282set_MS153:GT	improved	297849.786554	MS153
[197]282set_Mt42:GT	improved	305627.949355	MT42
[198]282set_N192:GT	improved	85452.232701	N192
[199]282set_N28Ht:GT	improved	255623.464927	N28HT
[200]282set_NC222:GT	improved	299447.793182	NC222
[201]282set_NC230:GT	improved	296930.001852	NC230
[202]282set_NC232:GT	improved	298331.267911	NC232
[203]282set_NC236:GT	improved	292373.677867	NC236
[204]282set_NC238:GT	improved	300018.867488	NC238
[205]282set_NC250:GT	improved	274532.817299	NC250
[206]282set_NC258:GT	improved	315594.607791	NC258
