query	found
MS71	TRUE
CML52	TRUE
A272	TRUE
KI2021	TRUE
F03802	TRUE
TX601	TRUE
A632	TRUE
UH009	TRUE
F64	TRUE
OS420	TRUE
F535	FALSE
UH304	TRUE
B73	TRUE
F98902	TRUE
LO11	TRUE
YE8112	TRUE
N6	TRUE
FF0721H-7	TRUE
UH250	TRUE
D152	TRUE
D06	TRUE
UH007	TRUE
W117	TRUE
D09	TRUE
EC49A	TRUE
MO17	TRUE
UH006	TRUE
F252	TRUE
CH10	TRUE
EC169	TRUE
F2	TRUE
W22	TRUE
CML103-RUN248	TRUE
W64A	TRUE
OH43	TRUE
KI3	TRUE
M37W	TRUE
CAU478	TRUE
CAU5003	TRUE
MM1-A	FALSE
CAUZHENG58	TRUE
CAUCHANG72	TRUE
B164	TRUE
N28HT	TRUE
CML69	TRUE
F7	TRUE
EP1	TRUE
PH207	TRUE
DK105	TRUE
