sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load
V5	improved	-463511.3456018	72553	10	463511.3456018
V6	improved	-498540.393068	77967	10	498540.393068
V7	improved	-553085.0062606	86920	10	553085.0062606
V8	improved	-584421.6426236	91519	10	584421.6426236
V9	improved	-591448.8224501	92838	10	591448.8224501
V10	improved	-597817.6912065	93870	10	597817.6912065
V11	improved	-548693.5241492	85986	10	548693.5241492
V12	improved	-505238.9714492	79349	10	505238.9714492
V13	improved	-482184.1710756	75275	10	482184.1710756
V14	improved	-709921.274336	112013	10	709921.274336
V15	improved	-504524.6824733	78969	10	504524.6824733
V16	improved	-782354.7289847	123175	10	782354.7289847
V17	improved	-437846.8712607	68760	10	437846.8712607
V18	improved	-781684.9036994	123032	10	781684.9036994
V19	improved	-642982.0971837	101138	10	642982.0971837
V20	improved	-661551.8640105	103987	10	661551.8640105
V21	improved	-827490.7025448	130494	10	827490.7025448
V22	improved	-638337.8670265	100295	10	638337.8670265
V23	improved	-652345.7104731	102544	10	652345.7104731
V24	improved	-811523.4751829	127452	10	811523.4751829
V25	improved	-582300.2485213	91591	10	582300.2485213
V26	improved	-947207.5757012	148951	10	947207.5757012
V27	improved	-482811.52677	75515	10	482811.52677
V28	improved	-398775.4810284	62367	10	398775.4810284
V29	improved	-680799.8769941	106853	10	680799.8769941
V30	improved	-680143.3681766	107081	10	680143.3681766
V31	improved	-694833.1519068	109386	10	694833.1519068
V32	improved	-737383.1538659	116031	10	737383.1538659
V33	improved	-685814.7105802	107916	10	685814.7105802
V34	improved	-735504.6533548	115648	10	735504.6533548
V35	improved	-745152.4515786	117797	10	745152.4515786
V36	improved	-831881.970552	131167	10	831881.970552
V37	improved	-786189.5135305	124022	10	786189.5135305
V38	improved	-601649.3464257	94650	10	601649.3464257
V39	improved	-596180.5341511	93490	10	596180.5341511
V40	improved	-920073.6535606	144677	10	920073.6535606
V41	improved	-816951.4656914	128543	10	816951.4656914
V42	improved	-588559.875757	92139	10	588559.875757
V43	improved	-592417.42516	92800	10	592417.42516
V44	improved	-560904.9021417	87602	10	560904.9021417
V45	improved	-656855.4857333	103047	10	656855.4857333
V46	improved	-683900.9004944	107275	10	683900.9004944
V47	improved	-652448.5429359	102603	10	652448.5429359
V48	improved	-657979.210004	103513	10	657979.210004
V49	improved	-697061.4316005	109560	10	697061.4316005
V50	improved	-575728.2359041	89971	10	575728.2359041
V51	improved	-752153.8505997	118753	10	752153.8505997
V52	improved	-634227.9258453	99813	10	634227.9258453
V53	improved	-805765.0037061	127202	10	805765.0037061
V54	improved	-500808.4105104	78369	10	500808.4105104
V55	improved	-690468.0131335	108477	10	690468.0131335
V56	improved	-528370.338112	82822	10	528370.338112
V57	improved	-663470.6293708	104471	10	663470.6293708
V58	improved	-472467.826143	74007	10	472467.826143
V59	improved	-742166.6821368	116716	10	742166.6821368
V60	improved	-585752.6774728	91743	10	585752.6774728
V61	improved	-817546.9109066	128775	10	817546.9109066
V62	improved	-661575.1511667	104209	10	661575.1511667
V63	improved	-517674.3192542	81360	10	517674.3192542
V64	improved	-482541.8771418	75665	10	482541.8771418
V65	improved	-516770.9410045	80894	10	516770.9410045
V66	improved	-684279.7043982	107561	10	684279.7043982
V67	improved	-628003.3343535	98746	10	628003.3343535
V68	improved	-666118.875603	104755	10	666118.875603
V69	improved	-877090.1374661	138223	10	877090.1374661
V70	improved	-674622.4168841	105907	10	674622.4168841
V71	improved	-415901.5934202	65348	10	415901.5934202
V72	improved	-719319.9418834	113112	10	719319.9418834
V73	improved	-877714.2762605	138088	10	877714.2762605
V74	improved	-657731.7639034	103250	10	657731.7639034
V75	improved	-605696.9417392	94754	10	605696.9417392
V76	improved	-615659.5581131	96767	10	615659.5581131
V77	improved	-936749.0862621	147442	10	936749.0862621
V78	improved	-610912.1202577	96052	10	610912.1202577
V79	improved	-758808.2026375	119379	10	758808.2026375
V80	improved	-828395.1687139	130233	10	828395.1687139
V81	improved	-778563.8501374	122167	10	778563.8501374
V82	improved	-995084.7345369	156383	10	995084.7345369
V83	improved	-893710.7727814	140234	10	893710.7727814
V84	improved	-944953.6487281	148717	10	944953.6487281
V85	improved	-719787.5426363	113027	10	719787.5426363
V86	improved	-519926.6490413	81430	10	519926.6490413
V87	improved	-543359.5231816	85046	10	543359.5231816
V88	improved	-882853.6069371	138715	10	882853.6069371
V89	improved	-500398.113905	78253	10	500398.113905
V90	improved	-897671.3117118	140879	10	897671.3117118
V91	improved	-638416.1066266	100156	10	638416.1066266
V92	improved	-876157.2318052	137891	10	876157.2318052
V93	improved	-754068.6325535	118610	10	754068.6325535
V94	improved	-829903.1722168	130535	10	829903.1722168
V95	improved	-849297.1263225	133426	10	849297.1263225
V96	improved	-768375.490006	121042	10	768375.490006
V97	improved	-619528.862197	97169	10	619528.862197
V98	improved	-594099.6063445	93177	10	594099.6063445
V99	improved	-575274.9038399	90065	10	575274.9038399
V100	improved	-717101.1238895	112748	10	717101.1238895
V101	improved	-510580.5023785	79954	10	510580.5023785
V102	improved	-633125.0925905	99328	10	633125.0925905
V103	improved	-667698.8637387	104802	10	667698.8637387
V104	improved	-628868.2885523	98806	10	628868.2885523
V105	improved	-615848.7184005	96856	10	615848.7184005
V106	improved	-493544.8326147	77638	10	493544.8326147
V107	improved	-599310.8950286	94104	10	599310.8950286
V108	improved	-924553.8118679	145397	10	924553.8118679
V109	improved	-475052.8858123	74477	10	475052.8858123
V110	improved	-426153.9750587	66659	10	426153.9750587
V111	improved	-508560.1723273	79944	10	508560.1723273
V112	improved	-641505.4491172	100956	10	641505.4491172
V113	improved	-564408.871853	88740	10	564408.871853
V114	improved	-800580.3802245	125633	10	800580.3802245
V115	improved	-707777.1928141	111520	10	707777.1928141
V116	improved	-573662.7836527	89882	10	573662.7836527
V117	improved	-587600.8063016	92207	10	587600.8063016
V118	improved	-502037.878035	78544	10	502037.878035
V119	improved	-827821.6468578	130277	10	827821.6468578
V120	improved	-435233.659784	68018	10	435233.659784
V121	improved	-658743.2232672	103115	10	658743.2232672
V122	improved	-798386.0216877	125409	10	798386.0216877
V123	improved	-482193.0470211	75388	10	482193.0470211
V124	improved	-652009.2204407	102365	10	652009.2204407
V125	improved	-721499.3990065	113262	10	721499.3990065
V126	improved	-661815.2192739	103961	10	661815.2192739
V127	improved	-549194.9258265	85998	10	549194.9258265
V128	improved	-587688.0114787	92209	10	587688.0114787
V129	improved	-879654.0380707	138332	10	879654.0380707
V130	improved	-928243.3440995	145941	10	928243.3440995
V131	improved	-501435.8116495	78989	10	501435.8116495
V132	improved	-750873.3495697	118283	10	750873.3495697
V5	landrace	-718590.3706954	112910	10	718590.3706954
V6	landrace	-740765.8666755	116458	10	740765.8666755
V7	landrace	-642865.1827538	101068	10	642865.1827538
V8	landrace	-773723.9615239	121641	10	773723.9615239
V9	landrace	-914183.7212334	143999	10	914183.7212334
V10	landrace	-821128.7389794	128951	10	821128.7389794
V11	landrace	-883664.7979707	138970	10	883664.7979707
V12	landrace	-910855.8733424	143042	10	910855.8733424
V13	landrace	-610263.2527834	96142	10	610263.2527834
V14	landrace	-870264.6654288	137173	10	870264.6654288
V15	landrace	-576973.9962628	90714	10	576973.9962628
