sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load
V5	landrace	-199723.7953745	60562	17	199723.7953745
V6	landrace	-165381.4884011	50660	17	165381.4884011
V7	landrace	-270299.9635581	82665	17	270299.9635581
V8	landrace	-160863.1496068	48764	17	160863.1496068
V9	landrace	-397435.5946615	120570	17	397435.5946615
V10	landrace	-150182.3197813	45498	17	150182.3197813
V11	landrace	-174061.390683	52728	17	174061.390683
V12	landrace	-138640.8699143	41794	17	138640.8699143
V13	landrace	-36259.4209661	10964	17	36259.4209661
V14	landrace	-31586.4413086	9591	17	31586.4413086
V15	landrace	-143939.9887677	43645	17	143939.9887677
V16	landrace	-100977.311275	30689	17	100977.311275
V17	landrace	-97956.7498902	29542	17	97956.7498902
V18	landrace	-76687.9182071	23215	17	76687.9182071
V19	landrace	-220280.611832	66844	17	220280.611832
V20	landrace	-206091.7641592	62865	17	206091.7641592
V21	landrace	-143836.5155394	43837	17	143836.5155394
V22	landrace	-228213.2194049	68952	17	228213.2194049
V5	improved	-496552.1598099	149344	17	496552.1598099
V6	improved	-445714.9747621	134350	17	445714.9747621
V7	improved	-304960.3487371	92215	17	304960.3487371
V8	improved	-358925.5411852	107979	17	358925.5411852
V9	improved	-539957.2903452	162339	17	539957.2903452
V10	improved	-319524.1569878	96123	17	319524.1569878
V11	improved	-298361.5366739	89781	17	298361.5366739
V12	improved	-545659.2443136	164054	17	545659.2443136
V13	improved	-278792.303741	83987	17	278792.303741
V14	improved	-436014.3717132	131495	17	436014.3717132
V15	improved	-483749.8383721	145187	17	483749.8383721
V16	improved	-418932.1279581	125909	17	418932.1279581
V17	improved	-250277.1997593	75218	17	250277.1997593
V18	improved	-443280.798679	133405	17	443280.798679
V19	improved	-468556.6319258	140493	17	468556.6319258
V20	improved	-389950.7675529	117054	17	389950.7675529
V21	improved	-326434.1354363	98338	17	326434.1354363
V22	improved	-389445.4289026	117459	17	389445.4289026
V23	improved	-275320.3921573	83207	17	275320.3921573
V24	improved	-269067.0254581	80891	17	269067.0254581
V25	improved	-253533.2231209	76287	17	253533.2231209
V26	improved	-410410.0766283	123311	17	410410.0766283
V27	improved	-311397.7875365	93354	17	311397.7875365
V28	improved	-414311.7326543	123450	17	414311.7326543
V29	improved	-435110.6371857	130993	17	435110.6371857
V30	improved	-430508.0990579	129193	17	430508.0990579
V31	improved	-461012.5892076	138195	17	461012.5892076
V32	improved	-451988.7873171	135903	17	451988.7873171
V33	improved	-574590.6080004	172300	17	574590.6080004
V34	improved	-355913.8884233	107047	17	355913.8884233
V35	improved	-414450.3639906	124775	17	414450.3639906
V36	improved	-281675.4565845	85065	17	281675.4565845
V37	improved	-314381.405767	94486	17	314381.405767
V38	improved	-443367.8856544	133476	17	443367.8856544
V39	improved	-363408.4746408	108774	17	363408.4746408
V40	improved	-429359.5782844	128968	17	429359.5782844
V41	improved	-450628.1461468	135030	17	450628.1461468
V42	improved	-418120.9168382	125817	17	418120.9168382
V43	improved	-332545.9770368	99943	17	332545.9770368
V44	improved	-140183.7202501	42439	17	140183.7202501
V45	improved	-455122.5465644	136634	17	455122.5465644
V46	improved	-316551.5065901	95352	17	316551.5065901
V47	improved	-293258.5198464	88568	17	293258.5198464
V48	improved	-353652.7293156	105741	17	353652.7293156
V49	improved	-215551.6018124	65502	17	215551.6018124
V50	improved	-264591.1202294	79772	17	264591.1202294
V51	improved	-276783.8489347	83412	17	276783.8489347
V52	improved	-396425.8950994	119370	17	396425.8950994
V53	improved	-249354.3555818	75263	17	249354.3555818
V54	improved	-313291.300987	94550	17	313291.300987
V55	improved	-273738.1715129	82539	17	273738.1715129
V56	improved	-330845.4945851	99471	17	330845.4945851
V57	improved	-279939.2520698	84350	17	279939.2520698
V58	improved	-325805.0891687	97846	17	325805.0891687
V59	improved	-367382.7183002	110457	17	367382.7183002
V60	improved	-501878.917051	150430	17	501878.917051
V61	improved	-360408.530241	108462	17	360408.530241
V62	improved	-378343.7180235	113001	17	378343.7180235
V63	improved	-403403.8713167	121465	17	403403.8713167
V64	improved	-318904.9136498	96100	17	318904.9136498
V65	improved	-470785.5311082	141580	17	470785.5311082
V66	improved	-341182.7901742	102812	17	341182.7901742
V67	improved	-375687.1928685	112664	17	375687.1928685
V68	improved	-430019.6460615	129287	17	430019.6460615
V69	improved	-341944.5346949	103246	17	341944.5346949
V70	improved	-455117.0815285	136764	17	455117.0815285
V71	improved	-426057.8021423	127811	17	426057.8021423
V72	improved	-340973.6073116	102775	17	340973.6073116
V73	improved	-472472.1999929	142012	17	472472.1999929
V74	improved	-392638.4806256	118158	17	392638.4806256
V75	improved	-537027.4824342	161522	17	537027.4824342
V76	improved	-436230.2139309	130691	17	436230.2139309
V77	improved	-463681.51808	139474	17	463681.51808
V78	improved	-268401.7262477	80794	17	268401.7262477
V79	improved	-448890.395017	135158	17	448890.395017
V80	improved	-320770.7916934	96934	17	320770.7916934
V81	improved	-398684.9430856	119937	17	398684.9430856
V82	improved	-315362.0303227	94779	17	315362.0303227
V83	improved	-549054.4690933	164760	17	549054.4690933
V84	improved	-439743.5443636	133248	17	439743.5443636
V85	improved	-362411.3460747	109308	17	362411.3460747
V86	improved	-399565.8831627	120322	17	399565.8831627
V87	improved	-512425.9847187	154280	17	512425.9847187
V88	improved	-495755.0090257	150635	17	495755.0090257
V89	improved	-359008.2342343	108642	17	359008.2342343
V90	improved	-386095.7490346	116117	17	386095.7490346
V91	improved	-281304.8169489	84594	17	281304.8169489
V92	improved	-388297.2980341	116637	17	388297.2980341
V93	improved	-242844.0694989	73227	17	242844.0694989
V94	improved	-281359.9179866	85252	17	281359.9179866
V95	improved	-511740.4009309	153699	17	511740.4009309
V96	improved	-451779.2220146	135971	17	451779.2220146
V97	improved	-578067.533552	174519	17	578067.533552
V98	improved	-590485.951828	177352	17	590485.951828
