id	Fresh
PI152651	7.02136451542123
PI17548	7.02136451306044
PI24969	7.021364513764
PI276837	7.02136452150168
PI329440	7.0213645182982
PI34911	7.02136451242728
PI35038	7.0213645158221
PI48770	7.02136451365893
PI533750	7.02136450910367
PI533752	7.02136451306115
PI533754	7.02136452029915
PI533757	7.0213645065376
PI533758	7.02136450848225
PI533759	7.02136451006322
PI533760	7.02136450977168
PI533761	7.02136452043778
PI533762	7.02136450993542
PI533766	7.021364509725
PI533769	7.02136450889203
PI533776	7.02136451403378
PI533785	7.0213645156318
PI533788	7.02136451320319
PI533789	7.02136451196952
PI533792	7.02136451469228
PI533794	7.02136451332868
PI533799	7.02136452038541
PI533800	7.02136450840507
PI533807	7.02136451141877
PI533814	7.02136451363153
PI533821	7.02136451285555
PI533822	7.02136451151942
PI533824	7.02136451365893
PI533830	7.02136451186737
PI533831	7.02136451015202
PI533833	7.02136451844873
PI533838	7.021364509725
PI533839	7.02136451142397
PI533841	7.02136451618666
PI533843	7.02136450991909
PI533845	7.02136451323665
PI533852	7.0213645117244
PI533855	7.02136451368149
PI533856	7.02136451962362
PI533863	7.02136451328638
PI533866	7.02136451110973
PI533869	7.02136451339483
PI533871	7.02136451877587
PI533876	7.02136450741756
PI533877	7.02136451564942
PI533878	7.02136451504338
PI533901	7.02136450662585
PI533902	7.02136451611077
PI533903	7.02136451214474
PI533910	7.02136451043648
PI533911	7.02136451296142
PI533915	7.02136451266397
PI533919	7.02136451361252
PI533924	7.02136451392253
PI533927	7.0213645130399
PI533936	7.02136450618681
PI533937	7.02136451480236
PI533938	7.02136451646347
PI533939	7.02136450948556
PI533940	7.02136451069136
PI533943	7.02136451400739
PI533948	7.02136451230732
PI533949	7.02136451444462
PI533954	7.02136451904503
PI533955	7.02136451531734
PI533957	7.02136451942315
PI533961	7.02136451368618
PI533962	7.02136451323252
PI533964	7.02136451193396
PI533965	7.02136451502712
PI533967	7.02136451040381
PI533970	7.02136451285864
PI533972	7.02136451794169
PI533976	7.02136451206449
PI533979	7.02136451338896
PI533980	7.02136451540206
PI533985	7.02136451996453
PI533986	7.02136451328262
PI533987	7.02136451427672
PI533989	7.02136451081278
PI533991	7.02136451562892
PI533996	7.02136450978668
PI533997	7.02136451078295
PI533998	7.02136450972492
PI534009	7.02136451401538
PI534021	7.02136450980121
PI534028	7.02136451368149
PI534037	7.02136451411805
PI534046	7.02136451015193
PI534047	7.02136451320452
PI534053	7.02136451360925
PI534054	7.02136451164635
PI534063	7.02136451707228
PI534070	7.02136451268104
PI534075	7.02136451265777
PI534079	7.0213645138864
PI534092	7.02136451680965
PI534096	7.02136451399786
PI534097	7.02136451011691
PI534099	7.02136451409017
PI534101	7.02136451292752
PI534104	7.02136451479539
PI534105	7.02136451681803
PI534108	7.02136451296142
PI534112	7.0213645101785
PI534114	7.02136451320319
PI534116	7.0213645123884
PI534117	7.02136451444244
PI534123	7.02136451159977
PI534124	7.02136451359932
PI534127	7.02136451363153
PI534128	7.02136452692218
PI534132	7.02136451486424
PI534133	7.02136451195371
PI534135	7.02136451654218
PI534137	7.02136451314383
PI534139	7.02136451334503
PI534144	7.02136451389396
PI534145	7.02136451265023
PI534148	7.02136451338961
PI534155	7.02136451358549
PI534157	7.02136451204096
PI534163	7.0213645131502
PI534167	7.02136451597481
PI542718	7.02136451368618
PI548797	7.0213645092658
PI552856	7.02136451824098
PI561071	7.02136451328638
PI561072	7.02136451159977
PI561073	7.02136451619228
PI561472	7.02136451299868
PI564163	7.02136451411231
PI564164	7.02136452885778
PI564165	7.02136452255279
PI565121	7.02136450837573
PI566819	7.02136451585818
PI574455	7.02136451328638
PI576130	7.02136451051007
PI576332	7.02136451220713
PI576333	7.02136451050919
PI576337	7.02136451249101
PI576339	7.02136451063546
PI576340	7.0213645106575
PI576345	7.02136451202205
PI576347	7.02136451625491
PI576348	7.02136451390968
PI576352	7.02136451385941
PI576359	7.02136451191181
PI576364	7.02136450820149
PI576373	7.0213645163923
PI576375	7.02136451357162
PI576376	7.02136451617987
PI576380	7.02136452269078
PI576381	7.02136451405162
PI576385	7.02136451321448
PI576386	7.02136451283329
PI576390	7.02136451393063
PI576393	7.02136451572439
PI576394	7.02136450898946
PI576396	7.02136451068884
PI576399	7.02136451328638
PI576422	7.02136451314138
PI576425	7.02136451321958
PI576426	7.02136451470744
PI576428	7.02136451175848
PI576434	7.02136451296142
PI595699	7.02136450962078
PI595702	7.02136450969497
PI595714	7.02136451221812
PI595718	7.02136451287607
PI595720	7.02136450507517
PI595739	7.02136452483717
PI595740	7.02136450933051
PI595741	7.02136450924929
PI595743	7.02136451363929
PI595744	7.021364517118
PI597945	7.0213645134476
PI597946	7.02136450965383
PI597950	7.02136450608111
PI597951	7.02136451928957
PI597952	7.0213645135505
PI597957	7.02136451294245
PI597958	7.02136451698642
PI597960	7.02136451250279
PI597961	7.02136451263414
PI597964	7.02136451376418
PI597965	7.02136451440786
PI597966	7.02136451406
PI597968	7.02136451365893
PI597971	7.02136451111586
PI597972	7.02136451385413
PI597973	7.02136451513603
PI597976	7.02136451238621
PI597980	7.02136451335682
PI597982	7.02136451517281
PI598070	7.02136450764682
PI601816	7.02136451143599
PI607931	7.02136451733128
PI609456	7.02136451043661
PI613536	7.02136451598193
PI629034	7.02136451344249
PI629040	7.02136451532792
PI629059	7.0213645156889
PI641824	7.02136451335595
PI641836	7.02136451081683
PI641849	7.02136452190217
PI641874	7.02136452317811
PI642791	7.02136450663186
PI642998	7.02136451833334
PI651496	7.02136451239053
PI653617	7.02136451470661
PI655970	7.02136451196506
PI655971	7.02136451403378
PI655972	7.02136451089622
PI655974	7.02136451335595
PI655975	7.02136451345806
PI655976	7.02136451359059
PI655977	7.02136451800496
PI655979	7.02136451328638
PI655980	7.02136451368618
PI655981	7.02136451669946
PI655982	7.02136451311517
PI655983	7.02136451560608
PI655985	7.02136450279777
PI655986	7.02136451183621
PI655987	7.02136450881721
PI655988	7.02136451277577
PI655989	7.02136451184244
PI655990	7.0213645122689
PI655991	7.02136450994071
PI655992	7.02136450933027
PI655993	7.02136451393126
PI655994	7.02136451512505
PI655995	7.02136451695203
PI655997	7.02136451658949
