id	leaf
PI152651	5.83387325013495
PI17548	5.16972958040618
PI24969	5.18446467988184
PI276837	5.45697309603555
PI329440	5.15542339921268
PI34911	5.69677127547964
PI35038	5.3870680929832
PI48770	5.45817886056584
PI533750	5.56124169793717
PI533752	5.18164653245281
PI533754	5.5257764067292
PI533757	5.58861929838957
PI533758	5.48599591002305
PI533759	5.06855670413166
PI533760	6.00152169446931
PI533761	5.82510009843781
PI533762	5.42610677176508
PI533766	5.17244659107829
PI533769	5.21050205782252
PI533776	5.44245411904294
PI533785	5.84444066299131
PI533788	5.56982889900579
PI533789	5.48599591002305
PI533792	5.21050205782252
PI533794	5.14968276286592
PI533799	5.37437971019613
PI533800	5.88283351010235
PI533807	5.254478500497
PI533810	5.24252109545618
PI533814	5.41522669189696
PI533821	5.97792244700017
PI533822	5.4727113226394
PI533824	5.68999481206618
PI533830	5.99219056504445
PI533831	4.82472266382777
PI533833	5.95016057063005
PI533838	5.75198646982915
PI533839	5.22210497175528
PI533841	5.25816063502869
PI533843	5.56523580978843
PI533845	5.54151928204618
PI533852	5.82206097420704
PI533855	5.72559094734869
PI533856	6.06125345666123
PI533863	5.4964550507674
PI533866	5.78595406550156
PI533869	5.35842907120635
PI533871	6.19368055959551
PI533876	5.37062069187919
PI533877	5.88898047705439
PI533878	5.32274783969601
PI533901	5.41920160710167
PI533902	5.10160390678774
PI533903	5.63607849407897
PI533910	5.61262471149096
PI533911	4.87743321728469
PI533912	5.59375496163795
PI533915	5.55822598507304
PI533919	5.29142100585852
PI533921	NA
PI533924	5.46958388143192
PI533927	5.02289676462868
PI533936	5.561812737754
PI533937	5.65742725779635
PI533938	5.52116199592018
PI533939	5.61331466586661
PI533940	5.98940830972989
PI533943	5.76128830658269
PI533948	5.21408881050348
PI533949	5.8600799331954
PI533954	5.88973867476577
PI533955	5.5257764067292
PI533957	5.90896562518769
PI533961	5.98686886035955
PI533962	5.561812737754
PI533964	5.48614932288443
PI533965	5.38011509184473
PI533967	5.83371983727356
PI533970	5.41929747169146
PI533972	5.18738565560132
PI533976	5.45392092325562
PI533979	5.49991929722076
PI533980	5.52341192588795
PI533985	5.18164653245281
PI533986	5.25433337138409
PI533987	5.07838284451457
PI533989	5.21408881050348
PI533991	5.98197841307411
PI533996	5.51745350765669
PI533997	5.49400768686871
PI533998	5.5677174309281
PI534009	5.21408881050348
PI534021	5.0487241029442
PI534028	5.03014309284766
PI534037	5.79705176128877
PI534046	5.79953338242844
PI534047	5.87885859489765
PI534053	5.23598046844353
PI534054	5.72853268724113
PI534063	5.17343806866967
PI534070	5.18961722760585
PI534075	5.11244185144457
PI534079	5.18174842783183
PI534092	5.14414117383152
PI534096	5.37024134713426
PI534097	5.31019879601491
PI534099	5.02571107975288
PI534101	5.5677174309281
PI534104	5.07762464680319
PI534105	5.72179253802938
PI534108	4.87743321728469
PI534112	5.41356437933217
PI534114	5.80164485050614
PI534115	5.89807401931406
PI534116	5.30682503565619
PI534117	5.26219173536836
PI534123	5.19379535479567
PI534124	5.55925669363549
PI534127	5.87885859489765
PI534128	5.68941390796658
PI534132	5.25888775872291
PI534133	5.8600799331954
PI534135	5.09459408207235
PI534137	5.48614932288443
PI534139	5.49400768686871
