"Cluster" "genotype"
"durra" "PI17548"
"durra" "PI329440"
"durra" "PI35038"
"durra" "PI48770"
"durra" "PI533869"
"durra" "PI533902"
"durra" "PI533936"
"durra" "PI533937"
"durra" "PI533938"
"durra" "PI533940"
"durra" "PI533948"
"durra" "PI533954"
"durra" "PI533955"
"durra" "PI533956"
"durra" "PI533979"
"durra" "PI533997"
"durra" "PI534054"
"durra" "PI534097"
"durra" "PI552861"
"durra" "PI561072"
"durra" "PI561073"
"durra" "PI564163"
"durra" "PI566819"
"durra" "PI576332"
"durra" "PI576333"
"durra" "PI576337"
"durra" "PI576339"
"durra" "PI576340"
"durra" "PI576345"
"durra" "PI576352"
"durra" "PI576364"
"durra" "PI576373"
"durra" "PI576394"
"durra" "PI576422"
"durra" "PI595702"
"durra" "PI597949"
"durra" "PI597958"
"durra" "PI629059"
"durra" "PI641824"
"durra" "PI641836"
"durra" "PI641849"
"durra" "PI642793"
"durra" "PI655970"
"durra" "PI655972"
"durra" "PI655974"
"durra" "PI655975"
"durra" "PI655976"
"durra" "PI655982"
"durra" "PI655983"
"durra" "PI655985"
"durra" "PI655987"
"durra" "PI655988"
"durra" "PI655989"
"durra" "PI655991"
"durra" "PI655992"
"durra" "PI655993"
"durra" "PI655994"
"durra" "PI656002"
"durra" "PI656003"
"durra" "PI656005"
"durra" "PI656006"
"durra" "PI656007"
"durra" "PI656018"
"durra" "PI656019"
"durra" "PI656020"
"durra" "PI656022"
"durra" "PI656023"
"durra" "PI656028"
"durra" "PI656038"
"durra" "PI656042"
"durra" "PI656049"
"durra" "PI656052"
"durra" "PI656058"
"durra" "PI656060"
"durra" "PI656061"
"durra" "PI656063"
"durra" "PI656080"
"durra" "PI656112"
"kafir" "PI152651"
"kafir" "PI533755"
"kafir" "PI533915"
"kafir" "PI534053"
"kafir" "PI534139"
"kafir" "PI540816"
"kafir" "PI561071"
"kafir" "PI595744"
"kafir" "PI655973"
"kafir" "PI655984"
"kafir" "PI656015"
"kafir" "PI656065"
"kafir" "PI656073"
"kafir" "PI656074"
"kafir" "PI656101"
"kafir" "PI656107"
"kafir" "PI656109"
"kafir" "PI656115"
"caudatum" "PI533766"
"caudatum" "PI533776"
"caudatum" "PI533785"
"caudatum" "PI533792"
"caudatum" "PI533839"
"caudatum" "PI533841"
"caudatum" "PI533845"
"caudatum" "PI533855"
"caudatum" "PI533866"
"caudatum" "PI533871"
"caudatum" "PI533877"
"caudatum" "PI533878"
"caudatum" "PI533882"
"caudatum" "PI533903"
"caudatum" "PI533924"
"caudatum" "PI533927"
"caudatum" "PI533957"
"caudatum" "PI534037"
"caudatum" "PI534063"
"caudatum" "PI534070"
"caudatum" "PI534075"
"caudatum" "PI534088"
"caudatum" "PI534092"
"caudatum" "PI534096"
"caudatum" "PI534116"
"caudatum" "PI534117"
"caudatum" "PI534124"
"caudatum" "PI534144"
"caudatum" "PI534145"
"caudatum" "PI576385"
"caudatum" "PI576418"
"caudatum" "PI585295"
"caudatum" "PI595741"
"caudatum" "PI595743"
"caudatum" "PI597951"
"caudatum" "PI597960"
"caudatum" "PI597976"
"caudatum" "PI609456"
"caudatum" "PI655978"
"caudatum" "PI655979"
"caudatum" "PI655981"
"caudatum" "PI655996"
"caudatum" "PI655998"
"caudatum" "PI656004"
"caudatum" "PI656010"
