comparison	region_chr	region_start	region_end	max_xpclr	n_merged_windows	gene_chr	gene_start	gene_end	strand	gene_id
breeding_improved_vs_landrace	1	1055001	1080000	143.6314309	1	1	1052240	1058819	-	Sobic.001G012000
breeding_improved_vs_landrace	1	1055001	1080000	143.6314309	1	1	1062836	1071982	+	Sobic.001G012100
breeding_improved_vs_landrace	1	1055001	1080000	143.6314309	1	1	1069403	1075657	-	Sobic.001G012200
breeding_improved_vs_landrace	1	3660001	3705000	149.2034748	2	1	3656675	3662657	+	Sobic.001G049700
breeding_improved_vs_landrace	1	3660001	3705000	149.2034748	2	1	3675203	3692744	+	Sobic.001G049800
breeding_improved_vs_landrace	1	3660001	3705000	149.2034748	2	1	3690742	3699216	+	Sobic.001G049900
breeding_improved_vs_landrace	1	3660001	3705000	149.2034748	2	1	3700870	3705955	+	Sobic.001G050000
breeding_improved_vs_landrace	1	3660001	3705000	149.2034748	2	1	3703830	3708977	-	Sobic.001G050100
breeding_improved_vs_landrace	1	3840001	3865000	180.0055433	1	1	3832585	3844255	+	Sobic.001G051700
breeding_improved_vs_landrace	1	3840001	3865000	180.0055433	1	1	3842611	3847706	-	Sobic.001G051800
breeding_improved_vs_landrace	1	3840001	3865000	180.0055433	1	1	3858701	3865259	+	Sobic.001G052000
breeding_improved_vs_landrace	1	3840001	3865000	180.0055433	1	1	3861200	3866489	-	Sobic.001G052050
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5162331	5176010	-	Sobic.001G067700
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5174078	5183400	+	Sobic.001G067800
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5202024	5209619	+	Sobic.001G067900
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5273240	5281135	-	Sobic.001G068301
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5284354	5289207	-	Sobic.001G068500
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5288483	5293311	-	Sobic.001G068600
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5294758	5301533	+	Sobic.001G068700
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5297785	5302769	+	Sobic.001G068800
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5301264	5307679	+	Sobic.001G069000
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5309030	5314295	-	Sobic.001G069100
breeding_improved_vs_landrace	1	5175001	5435000	237.7023091	15	1	5312342	5318508	-	Sobic.001G069150
