gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_comparison	selection_Gene	selection_max_xpclr	selection_n_regions	selection_total_merged_windows	selection_Description	selection_condition
Sobic.001G107400	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8391756	8400147	+	domestication_landrace_vs_wild	Sobic.001G107400	382.4293008	1	2	helix loop helix domain	xpclr_domestication_landrace_vs_wild
Sobic.001G107500	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8396119	8403530	-	domestication_landrace_vs_wild	Sobic.001G107500	382.4293008	1	2	Protein kinase domain	xpclr_domestication_landrace_vs_wild
Sobic.001G107550	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8400664	8408257	+	domestication_landrace_vs_wild	Sobic.001G107550	382.4293008	1	2	Carboxylesterase family	xpclr_domestication_landrace_vs_wild
Sobic.001G107600	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8400227	8410327	-	domestication_landrace_vs_wild	Sobic.001G107600	382.4293008	1	2	Lariat debranching enzyme, C-terminal domain	xpclr_domestication_landrace_vs_wild
Sobic.001G107800	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8412533	8417266	-	domestication_landrace_vs_wild	Sobic.001G107800	382.4293008	1	2	-	xpclr_domestication_landrace_vs_wild
Sobic.001G107900	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8416730	8433927	-	domestication_landrace_vs_wild	Sobic.001G107900	382.4293008	1	2	Fip1 motif	xpclr_domestication_landrace_vs_wild
Sobic.001G108700	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8497086	8505258	-	domestication_landrace_vs_wild	Sobic.001G108700	377.9231648	1	1	CRAL/TRIO domain	xpclr_domestication_landrace_vs_wild
Sobic.001G108800	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8506387	8511716	+	domestication_landrace_vs_wild	Sobic.001G108800	377.9231648	1	1	-	xpclr_domestication_landrace_vs_wild
Sobic.001G108900	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8507717	8516928	-	domestication_landrace_vs_wild	Sobic.001G108900	377.9231648	1	1	BTB POZ domain-containing protein	xpclr_domestication_landrace_vs_wild
Sobic.001G121700	1	9599614	9679614	6.47e-06	9639614	1	X2020.panicleGrainWeight.N	NR	1	9611477	9617716	-	domestication_landrace_vs_wild	Sobic.001G121700	445.611712	1	3	Fantastic Four meristem regulator	xpclr_domestication_landrace_vs_wild
Sobic.001G121800	1	9599614	9679614	6.47e-06	9639614	1	X2020.panicleGrainWeight.N	NR	1	9621006	9628249	+	domestication_landrace_vs_wild	Sobic.001G121800	445.611712	1	3		xpclr_domestication_landrace_vs_wild
Sobic.001G223300	1	21577288	21657288	3.37e-06	21617288	1	X2021.LN.stemDiameterUppe	LN	1	21594609	21602010	-	domestication_landrace_vs_wild	Sobic.001G223300	588.0444669	1	5	-	xpclr_domestication_landrace_vs_wild
Sobic.001G223300	1	21583207	21663207	1.55e-06	21623207	1	X2021.tillersPerPlant.N	NR	1	21594609	21602010	-	domestication_landrace_vs_wild	Sobic.001G223300	588.0444669	1	5	-	xpclr_domestication_landrace_vs_wild
Sobic.001G233600	1	23076556	23156556	4.75e-06	23116556	1	X2020.HN.rachisDiameterLowe	HN	1	23093180	23103988	-	domestication_landrace_vs_wild	Sobic.001G233600	647.2734218	1	4	AT-rich interactive domain-containing protein	xpclr_domestication_landrace_vs_wild
Sobic.001G233700	1	23076556	23156556	4.75e-06	23116556	1	X2020.HN.rachisDiameterLowe	HN	1	23111014	23130621	-	domestication_landrace_vs_wild	Sobic.001G233700	647.2734218	1	4	Protein of unknown function (DUF3522)	xpclr_domestication_landrace_vs_wild
Sobic.001G233800	1	23193586	23273586	7.28e-06	23233586	1	X2020.HN.rachisDiameterLowe	HN	1	23244500	23250510	+	domestication_landrace_vs_wild	Sobic.001G233800	1132.870411	1	11	WRC	xpclr_domestication_landrace_vs_wild
Sobic.001G233900	1	23193586	23273586	7.28e-06	23233586	1	X2020.HN.rachisDiameterLowe	HN	1	23251021	23257080	+	domestication_landrace_vs_wild	Sobic.001G233900	1132.870411	1	11	WRC	xpclr_domestication_landrace_vs_wild
Sobic.001G234000	1	23193586	23273586	7.28e-06	23233586	1	X2020.HN.rachisDiameterLowe	HN	1	23259446	23264288	-	domestication_landrace_vs_wild	Sobic.001G234000	1132.870411	1	11	WRC	xpclr_domestication_landrace_vs_wild
Sobic.001G234000	1	23262230	23342230	2.49e-06	23302230	1	X2020.LN.stemDiameterUppe	LN	1	23259446	23264288	-	domestication_landrace_vs_wild	Sobic.001G234000	1132.870411	1	11	WRC	xpclr_domestication_landrace_vs_wild
Sobic.001G234100	1	23193586	23273586	7.28e-06	23233586	1	X2020.HN.rachisDiameterLowe	HN	1	23262227	23267038	-	domestication_landrace_vs_wild	Sobic.001G234100	1132.870411	1	11	-	xpclr_domestication_landrace_vs_wild
Sobic.001G234100	1	23262230	23342230	2.49e-06	23302230	1	X2020.LN.stemDiameterUppe	LN	1	23262227	23267038	-	domestication_landrace_vs_wild	Sobic.001G234100	1132.870411	1	11	-	xpclr_domestication_landrace_vs_wild
Sobic.001G234200	1	23262230	23342230	2.49e-06	23302230	1	X2020.LN.stemDiameterUppe	LN	1	23281069	23290622	+	domestication_landrace_vs_wild	Sobic.001G234200	1132.870411	1	11	Belongs to the actin family	xpclr_domestication_landrace_vs_wild
Sobic.001G234300	1	23262230	23342230	2.49e-06	23302230	1	X2020.LN.stemDiameterUppe	LN	1	23289743	23296319	+	domestication_landrace_vs_wild	Sobic.001G234300	1132.870411	1	11	Prokaryotic RING finger family 4	xpclr_domestication_landrace_vs_wild
Sobic.001G234500	1	23262230	23342230	2.49e-06	23302230	1	X2020.LN.stemDiameterUppe	LN	1	23325289	23329705	+	domestication_landrace_vs_wild	Sobic.001G234500	1132.870411	1	11	AP2 domain	xpclr_domestication_landrace_vs_wild
Sobic.001G287700	1	60411419	60507791	8.02e-06	60451419	2	X2021.HN.tillersPerPlan	HN	1	60485908	60491230	+	domestication_landrace_vs_wild	Sobic.001G287700	482.7144091	1	2	Protein of unknown function, DUF617	xpclr_domestication_landrace_vs_wild
Sobic.001G287800	1	60411419	60507791	8.02e-06	60451419	2	X2021.HN.tillersPerPlan	HN	1	60489525	60497946	+	domestication_landrace_vs_wild	Sobic.001G287800	482.7144091	1	2	Putative GTPase activating protein for Arf	xpclr_domestication_landrace_vs_wild
Sobic.001G311500	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	63951202	63965190	-	domestication_landrace_vs_wild	Sobic.001G311500	1427.85014	1	5	N-acetylglucosaminyl transferase component (Gpi1)	xpclr_domestication_landrace_vs_wild
Sobic.001G311601	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	63961251	63966214	+	domestication_landrace_vs_wild	Sobic.001G311601	1427.85014	1	5		xpclr_domestication_landrace_vs_wild
Sobic.001G311800	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	63975553	63980556	-	domestication_landrace_vs_wild	Sobic.001G311800	1427.85014	1	5	Phosphate-induced protein 1 conserved region	xpclr_domestication_landrace_vs_wild
Sobic.001G311833	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	63980110	63986053	-	domestication_landrace_vs_wild	Sobic.001G311833	1427.85014	1	5		xpclr_domestication_landrace_vs_wild
Sobic.001G311866	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	63984699	63991441	+	domestication_landrace_vs_wild	Sobic.001G311866	1427.85014	1	5	No apical meristem-associated C-terminal domain	xpclr_domestication_landrace_vs_wild
Sobic.001G311900	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	63994653	64001662	+	domestication_landrace_vs_wild	Sobic.001G311900	1427.85014	1	5	Belongs to the peptidase S10 family	xpclr_domestication_landrace_vs_wild
Sobic.001G312000	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	64000332	64004839	-	domestication_landrace_vs_wild	Sobic.001G312000	1427.85014	1	5		xpclr_domestication_landrace_vs_wild
Sobic.001G312100	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	64004487	64009051	-	domestication_landrace_vs_wild	Sobic.001G312100	1427.85014	1	5	Belongs to the DEFL family	xpclr_domestication_landrace_vs_wild
Sobic.001G312200	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	64007177	64011780	-	domestication_landrace_vs_wild	Sobic.001G312200	1427.85014	1	5	Knottins	xpclr_domestication_landrace_vs_wild
Sobic.001G312300	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	64011039	64015563	-	domestication_landrace_vs_wild	Sobic.001G312300	1427.85014	1	5		xpclr_domestication_landrace_vs_wild
Sobic.001G312350	1	63949690	64029709	6.86e-06	63989709	2	X2020.LN.branchInternodeLengt	LN	1	64016005	64020466	-	domestication_landrace_vs_wild	Sobic.001G312350	1427.85014	1	5	Knottins	xpclr_domestication_landrace_vs_wild
Sobic.001G374400	1	70440170	70520170	8.34e-06	70480170	1	X2021.tillersPerPlant.N	NR	1	70441825	70448500	+	domestication_landrace_vs_wild	Sobic.001G374400	575.8210161	1	5	Heavy-metal-associated domain	xpclr_domestication_landrace_vs_wild
Sobic.001G377600	1	70644197	70724231	6.61e-06	70684231	2	X2021.plantHeight.N	NR	1	70699010	70707151	-	domestication_landrace_vs_wild	Sobic.001G377600	390.3086295	1	1	Mediates both low-affinity uptake and efflux of sugar across the	xpclr_domestication_landrace_vs_wild
Sobic.001G377700	1	70644197	70724231	6.61e-06	70684231	2	X2021.plantHeight.N	NR	1	70704876	70714808	+	domestication_landrace_vs_wild	Sobic.001G377700	390.3086295	1	1	FANCI solenoid 4	xpclr_domestication_landrace_vs_wild
Sobic.001G377800	1	70644197	70724231	6.61e-06	70684231	2	X2021.plantHeight.N	NR	1	70713483	70720305	+	domestication_landrace_vs_wild	Sobic.001G377800	390.3086295	1	1	60S ribosomal protein L18	xpclr_domestication_landrace_vs_wild
Sobic.002G059200	2	5729318	5809318	8.31e-06	5769318	1	X2020.HN.percentStarc	HN	2	5728443	5733447	+	domestication_landrace_vs_wild	Sobic.002G059200	470.5481565	1	1	Histone H2A	xpclr_domestication_landrace_vs_wild
Sobic.002G059300	2	5729318	5809318	8.31e-06	5769318	1	X2020.HN.percentStarc	HN	2	5729984	5736772	-	domestication_landrace_vs_wild	Sobic.002G059300	470.5481565	1	1	-	xpclr_domestication_landrace_vs_wild
Sobic.002G063500	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6161495	6171583	-	domestication_landrace_vs_wild	Sobic.002G063500	420.7211038	1	1	NB-ARC domain	xpclr_domestication_landrace_vs_wild
Sobic.002G084400	2	9051471	9131471	2.54e-06	9091471	1	X2021.HN.percentOi	HN	2	9046695	9056246	-	domestication_landrace_vs_wild	Sobic.002G084400	386.3549277	1	1	DYW family of nucleic acid deaminases	xpclr_domestication_landrace_vs_wild
Sobic.002G084500	2	9051471	9131471	2.54e-06	9091471	1	X2021.HN.percentOi	HN	2	9053215	9060273	-	domestication_landrace_vs_wild	Sobic.002G084500	386.3549277	1	1	Domain of unknown function (DUF4535)	xpclr_domestication_landrace_vs_wild
Sobic.002G084700	2	9051471	9131471	2.54e-06	9091471	1	X2021.HN.percentOi	HN	2	9061049	9067641	+	domestication_landrace_vs_wild	Sobic.002G084700	386.3549277	1	1	Belongs to the glycosyl hydrolase 17 family	xpclr_domestication_landrace_vs_wild
Sobic.002G084800	2	9051471	9131471	2.54e-06	9091471	1	X2021.HN.percentOi	HN	2	9066980	9075822	+	domestication_landrace_vs_wild	Sobic.002G084800	386.3549277	1	1	Protein RETICULATA-related	xpclr_domestication_landrace_vs_wild
Sobic.002G149200	2	42168099	42248099	1.01e-06	42208099	1	X2020.estimatedPlotYield.N	NR	2	42183702	42190747	+	domestication_landrace_vs_wild	Sobic.002G149200	450.3128874	1	2	Domain of unknown function	xpclr_domestication_landrace_vs_wild
Sobic.002G220900	2	62532386	62612386	7.62e-06	62572386	1	X2020.HN.branchInternodeLengt	HN	2	62548546	62559852	+	domestication_landrace_vs_wild	Sobic.002G220900	527.6823788	1	3	-	xpclr_domestication_landrace_vs_wild
Sobic.002G221000	2	62532386	62612386	7.62e-06	62572386	1	X2020.HN.branchInternodeLengt	HN	2	62556162	62562625	+	domestication_landrace_vs_wild	Sobic.002G221000	527.6823788	1	3	PHD zinc finger	xpclr_domestication_landrace_vs_wild
Sobic.002G221100	2	62532386	62612386	7.62e-06	62572386	1	X2020.HN.branchInternodeLengt	HN	2	62559909	62565171	-	domestication_landrace_vs_wild	Sobic.002G221100	527.6823788	1	3	-	xpclr_domestication_landrace_vs_wild
Sobic.002G221300	2	62532386	62612386	7.62e-06	62572386	1	X2020.HN.branchInternodeLengt	HN	2	62571124	62577228	+	domestication_landrace_vs_wild	Sobic.002G221300	527.6823788	1	3	F-box-like	xpclr_domestication_landrace_vs_wild
Sobic.002G342700	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72252292	72256618	-	domestication_landrace_vs_wild	Sobic.002G342700	522.6666533	1	6	-	xpclr_domestication_landrace_vs_wild
Sobic.002G342800	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72253650	72259708	+	domestication_landrace_vs_wild	Sobic.002G342800	522.6666533	1	6	Belongs to the GRAS family	xpclr_domestication_landrace_vs_wild
Sobic.002G343000	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72259878	72272436	-	domestication_landrace_vs_wild	Sobic.002G343000	522.6666533	1	6	Exocyst component 84 C-terminal	xpclr_domestication_landrace_vs_wild
Sobic.002G343100	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72271276	72279912	+	domestication_landrace_vs_wild	Sobic.002G343100	522.6666533	1	6	Protein kinase domain	xpclr_domestication_landrace_vs_wild
Sobic.002G343200	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72276222	72287367	-	domestication_landrace_vs_wild	Sobic.002G343200	522.6666533	1	6	BEST Arabidopsis thaliana protein match is	xpclr_domestication_landrace_vs_wild
Sobic.002G343300	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72288521	72295692	+	domestication_landrace_vs_wild	Sobic.002G343300	522.6666533	1	6	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	xpclr_domestication_landrace_vs_wild
Sobic.002G343400	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72297900	72304842	-	domestication_landrace_vs_wild	Sobic.002G343400	522.6666533	1	6	Chloroplast import apparatus Tic20-like	xpclr_domestication_landrace_vs_wild
Sobic.002G343500	2	72220133	72300259	2.03e-06	72260156	4	X2020.HN.primaryBranchNumbe	HN	2	72299462	72310725	-	domestication_landrace_vs_wild	Sobic.002G343500	522.6666533	1	6	Calcium-dependent protein kinase	xpclr_domestication_landrace_vs_wild
Sobic.002G399200	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76368069	76377083	+	domestication_landrace_vs_wild	Sobic.002G399200	653.6217452	1	4	helicase superfamily c-terminal domain	xpclr_domestication_landrace_vs_wild
Sobic.002G399300	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76373564	76381119	+	domestication_landrace_vs_wild	Sobic.002G399300	653.6217452	1	4	-	xpclr_domestication_landrace_vs_wild
Sobic.002G399400	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76390718	76398813	-	domestication_landrace_vs_wild	Sobic.002G399400	653.6217452	1	4	PMR5 N terminal Domain	xpclr_domestication_landrace_vs_wild
Sobic.002G399500	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76397020	76406285	-	domestication_landrace_vs_wild	Sobic.002G399500	653.6217452	1	4	SNARE associated Golgi protein	xpclr_domestication_landrace_vs_wild
Sobic.002G399600	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76407948	76412844	-	domestication_landrace_vs_wild	Sobic.002G399600	653.6217452	1	4	Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family	xpclr_domestication_landrace_vs_wild
Sobic.002G399700	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76411104	76416927	-	domestication_landrace_vs_wild	Sobic.002G399700	653.6217452	1	4	Acts in the modification of cell walls via demethylesterification of cell wall pectin	xpclr_domestication_landrace_vs_wild
Sobic.002G399800	2	76372715	76452715	1.01e-06	76412715	1	X2021.tillersPerPlant.N	NR	2	76414772	76430327	-	domestication_landrace_vs_wild	Sobic.002G399800	653.6217452	1	4	HUA2-like protein	xpclr_domestication_landrace_vs_wild
Sobic.002G415000	2	77523002	77603227	5.6e-06	77563002	3	X2020.HN.flagLeafLengt	HN	2	77591101	77596409	+	domestication_landrace_vs_wild	Sobic.002G415000	391.4356324	1	2	Phylloplanin-like	xpclr_domestication_landrace_vs_wild
Sobic.002G415100	2	77523002	77603227	5.6e-06	77563002	3	X2020.HN.flagLeafLengt	HN	2	77594781	77599935	+	domestication_landrace_vs_wild	Sobic.002G415100	391.4356324	1	2	Pollen proteins Ole e I like	xpclr_domestication_landrace_vs_wild
Sobic.003G029100	3	2557155	2637156	8.7e-06	2597155	2	X2020.HN.thirdLeafLengt	HN	3	2573023	2593425	-	domestication_landrace_vs_wild	Sobic.003G029100	602.3450023	1	3	Belongs to the Frigida family	xpclr_domestication_landrace_vs_wild
Sobic.003G029200	3	2557155	2637156	8.7e-06	2597155	2	X2020.HN.thirdLeafLengt	HN	3	2592230	2600166	-	domestication_landrace_vs_wild	Sobic.003G029200	602.3450023	1	3	Lecithin:cholesterol acyltransferase	xpclr_domestication_landrace_vs_wild
Sobic.003G029300	3	2557155	2637156	8.7e-06	2597155	2	X2020.HN.thirdLeafLengt	HN	3	2598235	2603322	-	domestication_landrace_vs_wild	Sobic.003G029300	602.3450023	1	3	Polyketide cyclase / dehydrase and lipid transport	xpclr_domestication_landrace_vs_wild
Sobic.003G029350	3	2557155	2637156	8.7e-06	2597155	2	X2020.HN.thirdLeafLengt	HN	3	2609218	2613889	-	domestication_landrace_vs_wild	Sobic.003G029350	602.3450023	1	3		xpclr_domestication_landrace_vs_wild
Sobic.003G029400	3	2557155	2637156	8.7e-06	2597155	2	X2020.HN.thirdLeafLengt	HN	3	2613622	2619132	+	domestication_landrace_vs_wild	Sobic.003G029400	602.3450023	1	3	Cotton fibre expressed protein	xpclr_domestication_landrace_vs_wild
Sobic.003G029500	3	2557155	2637156	8.7e-06	2597155	2	X2020.HN.thirdLeafLengt	HN	3	2619625	2628228	-	domestication_landrace_vs_wild	Sobic.003G029500	602.3450023	1	3	WD40 repeats	xpclr_domestication_landrace_vs_wild
Sobic.003G049750	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4606062	4611806	+	domestication_landrace_vs_wild	Sobic.003G049750	439.7157049	1	2		xpclr_domestication_landrace_vs_wild
Sobic.003G049800	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4608608	4615833	+	domestication_landrace_vs_wild	Sobic.003G049800	439.7157049	1	2	Alba	xpclr_domestication_landrace_vs_wild
Sobic.003G050000	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4612239	4617947	+	domestication_landrace_vs_wild	Sobic.003G050000	439.7157049	1	2	Protein of unknown function, DUF393	xpclr_domestication_landrace_vs_wild
Sobic.003G050100	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4613331	4620980	-	domestication_landrace_vs_wild	Sobic.003G050100	439.7157049	1	2	Glycosyl hydrolases family 28	xpclr_domestication_landrace_vs_wild
Sobic.003G050200	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4616537	4621827	-	domestication_landrace_vs_wild	Sobic.003G050200	439.7157049	1	2	Embryo-specific protein 3, (ATS3)	xpclr_domestication_landrace_vs_wild
Sobic.003G050300	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4618304	4624149	-	domestication_landrace_vs_wild	Sobic.003G050300	439.7157049	1	2	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily	xpclr_domestication_landrace_vs_wild
