gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_comparison	selection_Gene	selection_max_xpclr	selection_n_regions	selection_total_merged_windows	selection_Description	selection_condition
Sobic.001G069300	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5317922	5325646	-	breeding_improved_vs_landrace	Sobic.001G069300	237.7023091	1	15	Pentatricopeptide repeat domain	xpclr_breeding_improved_vs_landrace
Sobic.001G069400	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5322159	5330586	-	breeding_improved_vs_landrace	Sobic.001G069400	237.7023091	1	15	Protein of unknown function, DUF573	xpclr_breeding_improved_vs_landrace
Sobic.001G069500	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5328322	5335664	+	breeding_improved_vs_landrace	Sobic.001G069500	237.7023091	1	15	Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP	xpclr_breeding_improved_vs_landrace
Sobic.001G069600	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5334396	5341028	+	breeding_improved_vs_landrace	Sobic.001G069600	237.7023091	1	15	AdoMet dependent proline di-methyltransferase	xpclr_breeding_improved_vs_landrace
Sobic.001G069700	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5337496	5345025	-	breeding_improved_vs_landrace	Sobic.001G069700	237.7023091	1	15	Belongs to the sterol desaturase family	xpclr_breeding_improved_vs_landrace
Sobic.001G069800	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5341124	5348994	-	breeding_improved_vs_landrace	Sobic.001G069800	237.7023091	1	15	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	xpclr_breeding_improved_vs_landrace
Sobic.001G069900	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5347699	5356441	-	breeding_improved_vs_landrace	Sobic.001G069900	237.7023091	1	15	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	xpclr_breeding_improved_vs_landrace
Sobic.001G070000	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5354993	5362776	+	breeding_improved_vs_landrace	Sobic.001G070000	237.7023091	1	15	Belongs to the actin-binding proteins ADF family	xpclr_breeding_improved_vs_landrace
Sobic.001G070100	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5358894	5363598	-	breeding_improved_vs_landrace	Sobic.001G070100	237.7023091	1	15	Auxin responsive protein	xpclr_breeding_improved_vs_landrace
Sobic.001G070201	1	5323288	5403288	8.81e-06	5363288	1	X2020.LN.thirdLeafLengt	LN	1	5363159	5367917	+	breeding_improved_vs_landrace	Sobic.001G070201	237.7023091	1	15	cellular macromolecule catabolic process	xpclr_breeding_improved_vs_landrace
