selection_class	gene_id	best_neglog10p	best_gwas_pvalue	best_selection_score	best_selection_region	gwas_traits	gene_region	gene_description	overlap_rows
B2_wild	Sobic.004G313800	8.46852108295774	3.4e-09	1067.692543	Chr4:67554960-67642211	X2020.panicleGrainWeight.N	Chr4:67573347-67578049(-)	-	1
B2_wild	Sobic.004G313900	8.46852108295774	3.4e-09	1067.692543	Chr4:67554960-67642211	X2020.panicleGrainWeight.N	Chr4:67579659-67588966(+)	in StAR and phosphatidylcholine transfer protein	1
B2_wild	Sobic.004G314000	8.46852108295774	3.4e-09	1067.692543	Chr4:67554960-67642211	X2020.panicleGrainWeight.N	Chr4:67591915-67604999(+)	NRDE-2, necessary for RNA interference	1
B2_wild	Sobic.004G314100	8.46852108295774	3.4e-09	1067.692543	Chr4:67554960-67642211	X2020.panicleGrainWeight.N	Chr4:67600825-67607909(-)	-	1
B2_wild	Sobic.004G314200	8.46852108295774	3.4e-09	1067.692543	Chr4:67554960-67642211	X2020.panicleGrainWeight.N	Chr4:67614061-67620778(+)	Lignin degradation and detoxification of lignin-derived products	1
B2_wild	Sobic.004G314300	8.46852108295774	3.4e-09	1067.692543	Chr4:67554960-67642211	X2020.panicleGrainWeight.N	Chr4:67624264-67630847(+)	Lignin degradation and detoxification of lignin-derived products	1
B2_wild	Sobic.006G206800	7.32148162095989	4.77e-08	1037.535899	Chr6:57057350-57171704	X2020.estimatedPlotYield.N	Chr6:57040772-57058525(-)	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium	1
B2_wild	Sobic.003G369200	7.00261361560269	9.94e-08	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74909588-74925728(-)	DNA polymerase	1
B2_wild	Sobic.003G369400	7.00261361560269	9.94e-08	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74937218-74948584(-)	Plant protein of unknown function (DUF639)	1
B2_wild	Sobic.003G369500	7.00261361560269	9.94e-08	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74944931-74953687(-)	NPL4 family	1
B2_wild	Sobic.003G369600	7.00261361560269	9.94e-08	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74950842-74957627(+)	magnesium transporter	1
B2_wild	Sobic.003G369700	7.00261361560269	9.94e-08	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74954287-74975843(-)	Sister chromatid cohesion protein PDS5 homolog	1
B2_wild	Sobic.003G370100	6.97469413473523	1.06e-07	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74990971-75000294(+)	belongs to the protein kinase superfamily	1
B2_wild	Sobic.003G370200	6.97469413473523	1.06e-07	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:74996540-75006492(-)	Castor and Pollux, part of voltage-gated ion channel	1
B2_wild	Sobic.003G370300	6.97469413473523	1.06e-07	1760.138826	Chr3:74906259-75015740	X2020.estimatedPlotYield.N	Chr3:75013148-75026665(+)	DNA repair protein XRCC2 homolog	1
B2_wild	Sobic.002G081801	6.55284196865778	2.8e-07	1177.355702	Chr2:8650630-8738318	X2021.tillersPerPlant.N	Chr2:8710946-8738730(-)	NB-ARC domain	1
B2_wild	Sobic.006G168300	6.1681302257195	6.79e-07	1131.950476	Chr6:53888116-53982361	X2020.plantHeight.N	Chr6:53980733-53989991(+)	NUDIX domain	1
B2_wild	Sobic.001G296400	5.68402965454308	2.07e-06	835.8653877	Chr1:61687880-61767900	X2020.daysToFlower.N	Chr1:61671789-61692941(+)	Palmitoyl protein thioesterase	1
B2_wild	Sobic.001G296500	5.68402965454308	2.07e-06	835.8653877	Chr1:61687880-61767900	X2020.daysToFlower.N	Chr1:61696910-61715686(-)	Armadillo/beta-catenin-like repeat	1
B2_wild	Sobic.008G163500	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62795658-62806191(+)	WD40 repeats	1
B2_wild	Sobic.008G163601	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62802359-62807523(-)		1
B2_wild	Sobic.008G163700	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62810017-62820301(+)	helix loop helix domain	1
B2_wild	Sobic.008G163800	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62831624-62837569(-)	-	1
B2_wild	Sobic.008G164000	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62849558-62854784(-)	-	1
B2_wild	Sobic.008G164101	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62854771-62865532(+)	-	1
B2_wild	Sobic.008G164201	5.66554624884907	2.16e-06	1028.484833	Chr8:62806139-62891439	X2020.estimatedPlotYield.N	Chr8:62874011-62878830(+)		1
B2_wild	Sobic.003G202600	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59552719-59562114(+)	single-stranded telomeric DNA binding	1
B2_wild	Sobic.003G202700	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59562633-59569033(-)	PPR repeat	1
B2_wild	Sobic.003G202800	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59575882-59583563(-)	Holocarboxylase synthetase	1
B2_wild	Sobic.003G202900	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59579811-59586336(+)	-	1
B2_wild	Sobic.003G203000	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59587198-59592576(+)	One-helix protein	1
B2_wild	Sobic.003G203100	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59589380-59597542(-)	DYW family of nucleic acid deaminases	1
B2_wild	Sobic.003G203200	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59597457-59601915(+)	Arabinogalactan peptide	1
B2_wild	Sobic.003G203300	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59600253-59609632(-)	-	1
B2_wild	Sobic.003G203400	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59615457-59624305(+)	Protein kinase domain	1
B2_wild	Sobic.003G203500	5.55595520408192	2.78e-06	1616.804005	Chr3:59517276-59688821	X2020.rachisLength.N	Chr3:59628685-59640835(+)	Belongs to the aldehyde dehydrogenase family	1
B2_wild	Sobic.005G102300	5.54821356447571	2.83e-06	2870.176172	Chr5:17941372-18109711	X2021.tillersPerPlant.N	Chr5:18061046-18065942(-)	Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism	1
B2_wild	Sobic.005G102351	5.54821356447571	2.83e-06	2870.176172	Chr5:17941372-18109711	X2021.tillersPerPlant.N	Chr5:18065849-18070443(+)		1
B2_wild	Sobic.005G102401	5.54821356447571	2.83e-06	2870.176172	Chr5:17941372-18109711	X2021.tillersPerPlant.N	Chr5:18069198-18074176(-)	Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism	1
B2_wild	Sobic.006G235100	5.46470587995723	3.43e-06	2384.104082	Chr6:58762922-59116193	X2020.estimatedPlotYield.N	Chr6:59091892-59096620(+)	-	1
B2_wild	Sobic.006G235300	5.46470587995723	3.43e-06	2384.104082	Chr6:58762922-59116193	X2020.estimatedPlotYield.N	Chr6:59102826-59109521(+)	Stress enhanced protein 2	1
B2_wild	Sobic.006G235350	5.46470587995723	3.43e-06	2384.104082	Chr6:58762922-59116193	X2020.estimatedPlotYield.N	Chr6:59104404-59111531(-)	-	1
B2_wild	Sobic.006G235400	5.46470587995723	3.43e-06	2384.104082	Chr6:58762922-59116193	X2020.estimatedPlotYield.N	Chr6:59107554-59119287(+)	ABC1 family	1
B2_wild	Sobic.006G235500	5.46470587995723	3.43e-06	2384.104082	Chr6:58762922-59116193	X2020.estimatedPlotYield.N	Chr6:59115358-59123379(-)	Shikimate kinase	1
