gene_id	best_neglog10p	best_gwas_pvalue	best_b2	best_b2_region	gwas_traits	gene_region	gene_description	overlap_rows
Sobic.009G229300	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60815174-60822993(+)	Involved in the synthesis of glucuronoxylan hemicellulose in secondary cell walls	1558
Sobic.009G229400	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60821297-60827611(+)	Ribosomal protein P0 is the functional equivalent of E.coli protein L10	1712
Sobic.009G229500	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60824440-60828919(+)	-	1786
Sobic.009G229600	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60824850-60837534(-)	TATA element modulatory factor 1 TATA binding	1948
Sobic.009G229650	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60833565-60838197(-)		1962
Sobic.009G229700	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60834501-60839068(+)	photosynthesis	1972
Sobic.009G229801	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60839561-60846934(+)	BEST Arabidopsis thaliana protein match is hydroxyproline-rich glycoprotein family protein (TAIR AT5G52430.1)	2140
Sobic.009G229900	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60843973-60851220(-)	PRONE (Plant-specific Rop nucleotide exchanger)	2170
Sobic.009G230000	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60847815-60852728(-)	Seed dormancy control	2194
Sobic.009G230100	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60849365-60857096(-)	Protein kinase domain	2228
Sobic.009G230200	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60855262-60861637(+)	Glyoxal oxidase N-terminus	2098
