gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_V1	selection_V2	selection_V3	selection_V4	selection_V5	selection_V6	selection_V7	selection_V8	selection_V9	selection_Description	selection_condition
Sobic.001G155200	1	12517987	12692005	2.78e-06	12601866	6	X2020.LN.primaryBranchNumbe	LN	1	12671228	12676929	+	1	12675784	12757615	1135.117652	1	12671228	12676929	+	Sobic.001G155200	Plant organelle RNA recognition domain	balancing_landrace_only
Sobic.001G155250	1	12517987	12692005	2.78e-06	12601866	6	X2020.LN.primaryBranchNumbe	LN	1	12684247	12689461	-	1	12675784	12757615	1135.117652	1	12684247	12689461	-	Sobic.001G155250	NA	balancing_landrace_only
Sobic.001G155300	1	12517987	12692005	2.78e-06	12601866	6	X2020.LN.primaryBranchNumbe	LN	1	12686154	12693275	-	1	12675784	12757615	1135.117652	1	12686154	12693275	-	Sobic.001G155300	carotenoid dioxygenase activity	balancing_landrace_only
Sobic.001G155400	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12712369	12722094	+	1	12675784	12757615	1135.117652	1	12712369	12722094	+	Sobic.001G155400	Belongs to the eIF-2B alpha beta delta subunits family	balancing_landrace_only
Sobic.001G155500	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12718316	12725611	-	1	12675784	12757615	1135.117652	1	12718316	12725611	-	Sobic.001G155500	Pyruvate dehydrogenase E1 component subunit	balancing_landrace_only
Sobic.001G155600	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12721933	12729746	-	1	12675784	12757615	1135.117652	1	12721933	12729746	-	Sobic.001G155600	Belongs to the expansin family	balancing_landrace_only
Sobic.001G155700	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12727206	12735566	-	1	12675784	12757615	1135.117652	1	12727206	12735566	-	Sobic.001G155700	Belongs to the expansin family	balancing_landrace_only
Sobic.001G155800	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12734306	12740167	-	1	12675784	12757615	1135.117652	1	12734306	12740167	-	Sobic.001G155800	Piriformospora indica-insensitive protein	balancing_landrace_only
Sobic.001G155900	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12746843	12752137	+	1	12675784	12757615	1135.117652	1	12746843	12752137	+	Sobic.001G155900	Cotton fibre expressed protein	balancing_landrace_only
Sobic.001G156000	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12750138	12755514	+	1	12675784	12757615	1135.117652	1	12750138	12755514	+	Sobic.001G156000	Glutathione S-transferase, C-terminal domain	balancing_landrace_only
