selection_class	gene_id	best_neglog10p	best_gwas_pvalue	best_selection_score	best_selection_region	gwas_traits	gene_region	gene_description	overlap_rows
B2_landrace	Sobic.004G313800	8.46852108295774	3.4e-09	1126.97519	Chr4:67558639-67639884	X2020.panicleGrainWeight.N	Chr4:67573347-67578049(-)	-	1
B2_landrace	Sobic.004G313900	8.46852108295774	3.4e-09	1126.97519	Chr4:67558639-67639884	X2020.panicleGrainWeight.N	Chr4:67579659-67588966(+)	in StAR and phosphatidylcholine transfer protein	1
B2_landrace	Sobic.004G314000	8.46852108295774	3.4e-09	1126.97519	Chr4:67558639-67639884	X2020.panicleGrainWeight.N	Chr4:67591915-67604999(+)	NRDE-2, necessary for RNA interference	1
B2_landrace	Sobic.004G314100	8.46852108295774	3.4e-09	1126.97519	Chr4:67558639-67639884	X2020.panicleGrainWeight.N	Chr4:67600825-67607909(-)	-	1
B2_landrace	Sobic.004G314200	8.46852108295774	3.4e-09	1126.97519	Chr4:67558639-67639884	X2020.panicleGrainWeight.N	Chr4:67614061-67620778(+)	Lignin degradation and detoxification of lignin-derived products	1
B2_landrace	Sobic.004G314300	8.46852108295774	3.4e-09	1126.97519	Chr4:67558639-67639884	X2020.panicleGrainWeight.N	Chr4:67624264-67630847(+)	Lignin degradation and detoxification of lignin-derived products	1
B2_landrace	Sobic.007G080300	7.36251027048749	4.34e-08	1458.807393	Chr7:9443389-9551719	X2021.tillersPerPlant.N	Chr7:9504460-9511344(+)	BTB POZ and MATH domain-containing protein	1
B2_landrace	Sobic.006G206600	7.32148162095989	4.77e-08	1146.09356	Chr6:57025424-57107016	X2020.estimatedPlotYield.N	Chr6:57022600-57028055(+)	Peptidyl-tRNA hydrolase PTH2	1
B2_landrace	Sobic.006G206700	7.32148162095989	4.77e-08	1146.09356	Chr6:57025424-57107016	X2020.estimatedPlotYield.N	Chr6:57025296-57033470(-)	Leucine-rich repeats, typical (most populated) subfamily	1
B2_landrace	Sobic.006G206800	7.32148162095989	4.77e-08	1146.09356	Chr6:57025424-57107016	X2020.estimatedPlotYield.N	Chr6:57040772-57058525(-)	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium	1
B2_landrace	Sobic.003G366850	6.64397414280688	2.27e-07	1328.525719	Chr3:74711942-74803992	X2020.estimatedPlotYield.N	Chr3:74678988-74712223(+)	Protein HASTY 1 isoform X1	1
B2_landrace	Sobic.003G367000	6.64397414280688	2.27e-07	1328.525719	Chr3:74711942-74803992	X2020.estimatedPlotYield.N	Chr3:74710343-74715841(-)	RING-type E3 ubiquitin transferase	1
B2_landrace	Sobic.003G367100	6.64397414280688	2.27e-07	1328.525719	Chr3:74711942-74803992	X2020.estimatedPlotYield.N	Chr3:74721114-74726774(-)	Dof domain, zinc finger	1
B2_landrace	Sobic.003G367150	6.64397414280688	2.27e-07	1328.525719	Chr3:74711942-74803992	X2020.estimatedPlotYield.N	Chr3:74730784-74735960(+)		1
