comparison	Gene	max_xpclr	n_regions	total_merged_windows	Description
breeding_improved_vs_landrace	Sobic.001G089600	820.5443384	1	9	Helicase associated domain (HA2)  Add an annotation
breeding_improved_vs_landrace	Sobic.001G089800	820.5443384	1	9	Belongs to the NARF family
breeding_improved_vs_landrace	Sobic.001G089850	820.5443384	1	9	
breeding_improved_vs_landrace	Sobic.001G089900	820.5443384	1	9	manganese ion binding
breeding_improved_vs_landrace	Sobic.001G089950	820.5443384	1	9	
breeding_improved_vs_landrace	Sobic.001G090000	820.5443384	1	9	-
breeding_improved_vs_landrace	Sobic.001G090100	820.5443384	1	9	Protein kinase domain
breeding_improved_vs_landrace	Sobic.001G090200	820.5443384	1	9	photosynthetic electron transport in photosystem I
breeding_improved_vs_landrace	Sobic.001G090300	820.5443384	1	9	AAA domain
breeding_improved_vs_landrace	Sobic.001G090400	820.5443384	1	9	Inhibitor of growth proteins N-terminal histone-binding
breeding_improved_vs_landrace	Sobic.001G090500	820.5443384	1	9	YT521-B-like domain
breeding_improved_vs_landrace	Sobic.001G090550	820.5443384	1	9	
breeding_improved_vs_landrace	Sobic.001G090600	820.5443384	1	9	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
breeding_improved_vs_landrace	Sobic.001G090700	820.5443384	1	9	Photosystem II Pbs27
breeding_improved_vs_landrace	Sobic.001G090800	820.5443384	1	9	TPL-binding domain in jasmonate signalling
breeding_improved_vs_landrace	Sobic.001G090900	820.5443384	1	9	Seed maturation protein
breeding_improved_vs_landrace	Sobic.001G091000	820.5443384	1	9	Seed maturation protein
breeding_improved_vs_landrace	Sobic.001G091300	820.5443384	1	9	Mitochondrial biogenesis AIM24
breeding_improved_vs_landrace	Sobic.001G091400	820.5443384	1	9	PHD - plant homeodomain finger protein
breeding_improved_vs_landrace	Sobic.001G091500	820.5443384	1	9	-
breeding_improved_vs_landrace	Sobic.001G091600	820.5443384	1	9	Protein of unknown function (DUF1677)
breeding_improved_vs_landrace	Sobic.001G091702	820.5443384	1	9	Ribosomal protein S27
breeding_improved_vs_landrace	Sobic.001G091801	820.5443384	1	9	Ribosomal protein S27
breeding_improved_vs_landrace	Sobic.001G091900	820.5443384	1	9	Required for the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA. In the complex, it is required to stabilize and induce conformational changes of the catalytic subunit
breeding_improved_vs_landrace	Sobic.001G092000	820.5443384	1	9	-
breeding_improved_vs_landrace	Sobic.001G092100	820.5443384	1	9	Autophagy protein 16 (ATG16)
breeding_improved_vs_landrace	Sobic.001G092200	820.5443384	1	9	helicase superfamily c-terminal domain
breeding_improved_vs_landrace	Sobic.003G263400	737.5073869	1	2	Wall-associated receptor kinase C-terminal
breeding_improved_vs_landrace	Sobic.003G263450	737.5073869	1	2	
breeding_improved_vs_landrace	Sobic.003G263500	737.5073869	1	2	Wall-associated receptor kinase C-terminal
breeding_improved_vs_landrace	Sobic.003G263600	737.5073869	1	2	Glycosyl hydrolases family 18
breeding_improved_vs_landrace	Sobic.003G263702	737.5073869	1	2	Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
breeding_improved_vs_landrace	Sobic.003G263800	737.5073869	1	2	Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
breeding_improved_vs_landrace	Sobic.003G263900	737.5073869	1	2	Reticulon
breeding_improved_vs_landrace	Sobic.003G264000	737.5073869	1	2	Cytidylyltransferase-like
breeding_improved_vs_landrace	Sobic.003G264100	737.5073869	1	2	Helicase conserved C-terminal domain
breeding_improved_vs_landrace	Sobic.007G136300	624.1662986	1	5	No apical meristem (NAM) protein
breeding_improved_vs_landrace	Sobic.007G136400	624.1662986	1	5	
breeding_improved_vs_landrace	Sobic.007G136500	624.1662986	1	5	Myb-like DNA-binding domain
breeding_improved_vs_landrace	Sobic.008G103066	562.2589973	1	2	
breeding_improved_vs_landrace	Sobic.003G181800	557.1034232	1	5	Non-specific serine threonine protein kinase
breeding_improved_vs_landrace	Sobic.003G182100	557.1034232	1	5	Putative methyltransferase
breeding_improved_vs_landrace	Sobic.002G336000	551.9541473	1	34	PB1 domain
breeding_improved_vs_landrace	Sobic.002G336100	551.9541473	1	34	Belongs to the cytochrome P450 family
breeding_improved_vs_landrace	Sobic.002G336200	551.9541473	1	34	Nucleoside transporter
breeding_improved_vs_landrace	Sobic.002G336400	551.9541473	1	34	FBD
breeding_improved_vs_landrace	Sobic.002G336500	551.9541473	1	34	FBD
breeding_improved_vs_landrace	Sobic.002G336600	551.9541473	1	34	Nucleoside transporter
breeding_improved_vs_landrace	Sobic.002G336700	551.9541473	1	34	Nucleoside transporter
breeding_improved_vs_landrace	Sobic.002G336750	551.9541473	1	34	Nucleoside transporter
breeding_improved_vs_landrace	Sobic.002G336800	551.9541473	1	34	Pentatricopeptide repeat domain
breeding_improved_vs_landrace	Sobic.002G336900	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.002G337100	551.9541473	1	34	Nucleoside transporter
breeding_improved_vs_landrace	Sobic.002G337300	551.9541473	1	34	WRC
breeding_improved_vs_landrace	Sobic.002G337400	551.9541473	1	34	transferase activity, transferring hexosyl groups
breeding_improved_vs_landrace	Sobic.002G337500	551.9541473	1	34	transferase activity, transferring hexosyl groups
breeding_improved_vs_landrace	Sobic.002G337600	551.9541473	1	34	gpi-anchored protein
breeding_improved_vs_landrace	Sobic.002G337650	551.9541473	1	34	
breeding_improved_vs_landrace	Sobic.002G337700	551.9541473	1	34	ABC1 family
breeding_improved_vs_landrace	Sobic.002G337800	551.9541473	1	34	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
breeding_improved_vs_landrace	Sobic.002G337901	551.9541473	1	34	Inositol monophosphatase family
breeding_improved_vs_landrace	Sobic.002G338000	551.9541473	1	34	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated
breeding_improved_vs_landrace	Sobic.002G338100	551.9541473	1	34	Thylakoid formation protein
breeding_improved_vs_landrace	Sobic.002G338200	551.9541473	1	34	MSP (Major sperm protein) domain
breeding_improved_vs_landrace	Sobic.002G338250	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.002G338300	551.9541473	1	34	Wound-induced protein
breeding_improved_vs_landrace	Sobic.002G338350	551.9541473	1	34	
breeding_improved_vs_landrace	Sobic.002G338400	551.9541473	1	34	Protein of unknown function (DUF1223)
breeding_improved_vs_landrace	Sobic.002G338500	551.9541473	1	34	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
breeding_improved_vs_landrace	Sobic.002G338600	551.9541473	1	34	Myb/SANT-like DNA-binding domain
breeding_improved_vs_landrace	Sobic.002G338700	551.9541473	1	34	Armadillo beta-catenin repeat family protein
breeding_improved_vs_landrace	Sobic.002G338800	551.9541473	1	34	Dynein light chain type 1
breeding_improved_vs_landrace	Sobic.002G338900	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.002G339000	551.9541473	1	34	F-box protein
breeding_improved_vs_landrace	Sobic.002G339100	551.9541473	1	34	Sugar (and other) transporter
breeding_improved_vs_landrace	Sobic.002G339200	551.9541473	1	34	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated
breeding_improved_vs_landrace	Sobic.002G339300	551.9541473	1	34	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
breeding_improved_vs_landrace	Sobic.002G339400	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.002G339500	551.9541473	1	34	Diacylglycerol kinase catalytic domain
breeding_improved_vs_landrace	Sobic.002G339600	551.9541473	1	34	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
