gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_V1	selection_V2	selection_V3	selection_V4	selection_V5	selection_V6	selection_V7	selection_V8	selection_V9	selection_V10	selection_Description	selection_condition
Sobic.001G085500	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6670475	6678209	-	1	6670001	6765000	0.397896	13	1	6670475	6678209	-	Sobic.001G085500	NLI interacting factor-like phosphatase	fst_breeding_improved_vs_landrace
Sobic.001G085600	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6675651	6685725	-	1	6670001	6765000	0.397896	13	1	6675651	6685725	-	Sobic.001G085600	ABC transporter B family member	fst_breeding_improved_vs_landrace
Sobic.001G085700	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6685327	6705286	-	1	6670001	6765000	0.397896	13	1	6685327	6705286	-	Sobic.001G085700	Protein kinase domain	fst_breeding_improved_vs_landrace
Sobic.001G085800	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6702106	6710213	-	1	6670001	6765000	0.397896	13	1	6702106	6710213	-	Sobic.001G085800	cleavage stimulation factor	fst_breeding_improved_vs_landrace
Sobic.001G085900	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6706590	6714786	-	1	6670001	6765000	0.397896	13	1	6706590	6714786	-	Sobic.001G085900	Belongs to the mitochondrial carrier (TC 2.A.29) family	fst_breeding_improved_vs_landrace
Sobic.001G086000	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6720621	6728449	+	1	6670001	6765000	0.397896	13	1	6720621	6728449	+	Sobic.001G086000	plant-type cell wall assembly	fst_breeding_improved_vs_landrace
Sobic.001G086050	1	6647182	6727522	1.18e-06	6687182	7	X2020.HN.percentStarc	HN	1	6726262	6736302	-	1	6670001	6765000	0.397896	13	1	6726262	6736302	-	Sobic.001G086050	NA	fst_breeding_improved_vs_landrace
Sobic.001G099000	1	7645621	7725668	2.06e-06	7685621	2	X2020.HN.percentStarc	HN	1	7641432	7650766	+	1	7495001	7650000	0.337849	24	1	7641432	7650766	+	Sobic.001G099000	Conserved hypothetical protein 95	fst_breeding_improved_vs_landrace
Sobic.001G099100	1	7645621	7725668	2.06e-06	7685621	2	X2020.HN.percentStarc	HN	1	7649635	7658308	+	1	7495001	7650000	0.337849	24	1	7649635	7658308	+	Sobic.001G099100	Glycosyl hydrolase family 9	fst_breeding_improved_vs_landrace
Sobic.001G209800	1	19351700	19431700	2.85e-06	19391700	1	X2021.LN.daysToFlowe	LN	1	19425688	19432182	-	1	19420001	19465000	0.276305	3	1	19425688	19432182	-	Sobic.001G209800	Late embryogenesis abundant protein	fst_breeding_improved_vs_landrace
