gene_id	gene_chr	gene_start	gene_end	gene_strand	overlap_ids	overlap_conditions	HN_trait	LN_trait	NR_trait	gene_description	selection_class	known_gene_note	list_type	priority_score	curation_reason
Sobic.001G295800	1	61579148	61580859	-	common_001	LN	X2020.HN.rachisDiameterLowe	X2020.LN.primaryBranchNumbe	X2020.daysToFlower.N	Wall-associated receptor kinase galacturonan-binding	FST_breeding_improved_vs_landrace	NA	HN_LN_NR_common	7	Chr1 wall-associated receptor kinase/galacturonan-binding; cell-wall/signaling candidate; FST breeding.
Sobic.001G296400	1	61673789	61690941	+	common_002; common_001	LN;NR; NR	X2020.HN.rachisDiameterLowe	X2020.LN.thirdLeafLengt; X2020.LN.primaryBranchNumbe	X2020.daysToFlower.N	Palmitoyl protein thioesterase	balancing_wild_only	NA	HN_LN_NR_common	7	Chr1 palmitoyl-protein thioesterase; HN/LN/NR common region; balancing wild.
Sobic.001G296500	1	61698910	61713686	-	common_001; common_002	NR; LN;NR	X2020.HN.rachisDiameterLowe	X2020.LN.primaryBranchNumbe; X2020.LN.thirdLeafLengt	X2020.daysToFlower.N	Armadillo/beta-catenin-like repeat	balancing_wild_only	NA	HN_LN_NR_common	7	Chr1 armadillo/beta-catenin-like repeat; HN/LN/NR common region; balancing wild.
Sobic.001G404700	1	73079433	73084004	+	common_003	LN	X2020.HN.flagLeafWidt	X2020.LN.plantHeigh	X2021.tillersPerPlant.N	Protein kinase domain	NA	NA	HN_LN_NR_common	4	Chr1 protein kinase domain gene in HN/LN/NR plant-height/tiller region.
Sobic.002G082100	2	8754671	8759766	+	common_004	NR	X2020.HN.percentStarc	X2020.LN.rachisDiameterUppe	X2021.tillersPerPlant.N	Protein kinase domain	NA	NA	HN_LN_NR_common	4	Chr2 protein kinase domain gene; HN/LN/NR starch/rachis/tiller region.
Sobic.002G171500	2	55632570	55633944	+	common_005	HN	X2020.HN.rachisDiameterLowe	X2020.LN.rachisDiameterLowe	X2021.tillersPerPlant.N	F-box-like	FST_domestication_landrace_vs_wild	NA	HN_LN_NR_common	4	Chr2 F-box-like gene; HN/LN/NR tiller/rachis region; FST domestication.
Sobic.002G201500	2	60429262	60430594	+	common_006	HN;LN	X2020.HN.primaryBranchNumbe	X2020.LN.primaryBranchNumbe	X2021.plantHeight.N	Gibberellin regulated protein	NA	NA	HN_LN_NR_common	5	Chr2 gibberellin-regulated protein; plant-height/growth candidate.
Sobic.002G201900	2	60452297	60461785	+	common_006	HN;LN;NR	X2020.HN.primaryBranchNumbe	X2020.LN.primaryBranchNumbe	X2021.plantHeight.N	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	NA	NA	HN_LN_NR_common	4	Chr2 major facilitator/sugar transporter family; HN/LN/NR architecture/plant-height region.
Sobic.006G025700	6	4703236	4708354	+	common_007	HN;LN	X2021.HN.plantHeigh	X2021.LN.plantHeigh	X2021.tillersPerPlant.N	NA	XPCLR_breeding_improved_vs_landrace	NA	HN_LN_NR_common	4	Chr6 HN/LN plant-height and NR tillers region; also XPCLR breeding overlap; annotation unknown but useful regional marker.
Sobic.006G136500	6	51310444	51312689	+	common_008; common_009	HN;LN	X2020.HN.stemDiameterUppe	X2020.LN.tillersPerPlan; X2020.LN.rachisDiameterLowe	X2021.tillersPerPlant.N	Belongs to the cytochrome P450 family	balancing_wild_only; balancing_landrace_only	NA	HN_LN_NR_common	8	Chr6 cytochrome P450; hormone/secondary metabolism candidate; overlaps balancing wild and landrace.
Sobic.009G229200	9	60794812	60799531	-	common_016; common_012; common_021; common_015; common_011; common_014; common_017; common_019; common_013; common_023; common_018; common_022; common_020	HN; HN;LN	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	X2020.rachisLength.N	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations	balancing_improved_only	NA	HN_LN_NR_common	9	Aux/IAA auxin-response regulator in plant-height block; balancing improved.
Sobic.009G230800	9	60894509	60899170	-	common_018; common_014; common_023; common_015; common_012; common_019; common_020; common_021; common_016; common_017; common_011; common_013; common_022	HN;NR; HN;LN;NR	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.daysToFlowe; X2021.LN.plantHeigh; X2020.LN.plantHeigh	X2020.rachisLength.N	Belongs to the iron ascorbate-dependent oxidoreductase family	balancing_improved_only	Dw1; well-studied sorghum dwarfing/plant-height locus on chromosome 9	HN_LN_NR_common	24	Best chr9 anchor: Dw1, well-studied sorghum dwarfing/plant-height locus; HN/LN plant-height and NR overlap; balancing improved.
