gene_id	selection_region	gene_region	selection_Description	neglog10p	fst	gwas_pvalue	gwas_trait	gwas_condition	gwas_peak_pos	overlap_rows	rank_score	recommendation_note
Sobic.001G085500	Chr1:6670001-6765000	Chr1:6670475-6678209	NLI interacting factor-like phosphatase	5.92811799269387	0.397896	1.18e-06	X2020.HN.percentStarc	HN	6687182	1	2.635	very high FST, GWAS just above threshold
Sobic.001G085600	Chr1:6670001-6765000	Chr1:6675651-6685725	ABC transporter B family member	5.92811799269387	0.397896	1.18e-06	X2020.HN.percentStarc	HN	6687182	1	2.635	very high FST, GWAS just above threshold
Sobic.001G085700	Chr1:6670001-6765000	Chr1:6685327-6705286	Protein kinase domain	5.92811799269387	0.397896	1.18e-06	X2020.HN.percentStarc	HN	6687182	1	2.635	very high FST, GWAS just above threshold
Sobic.001G085800	Chr1:6670001-6765000	Chr1:6702106-6710213	cleavage stimulation factor	5.92811799269387	0.397896	1.18e-06	X2020.HN.percentStarc	HN	6687182	1	2.635	very high FST, GWAS just above threshold
Sobic.001G085900	Chr1:6670001-6765000	Chr1:6706590-6714786	Belongs to the mitochondrial carrier (TC 2.A.29) family	5.92811799269387	0.397896	1.18e-06	X2020.HN.percentStarc	HN	6687182	1	2.635	very high FST, GWAS just above threshold
Sobic.001G086000	Chr1:6670001-6765000	Chr1:6720621-6728449	plant-type cell wall assembly	5.92811799269387	0.397896	1.18e-06	X2020.HN.percentStarc	HN	6687182	1	2.635	very high FST, GWAS just above threshold
Sobic.009G236200	Chr9:61305001-61425000	Chr9:61303660-61309998	Legume lectin domain	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G236300	Chr9:61305001-61425000	Chr9:61310218-61316925	Legume lectin domain	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G236400	Chr9:61305001-61425000	Chr9:61314927-61321280	Scaffold protein for the de novo synthesis of iron- sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic 2Fe-2S and 4Fe-4S proteins	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G236500	Chr9:61305001-61425000	Chr9:61318406-61323177	-	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G236600	Chr9:61305001-61425000	Chr9:61326866-61332056	-	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G236700	Chr9:61305001-61425000	Chr9:61330070-61334910	Protein of unknown function (DUF1645)	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G236800	Chr9:61305001-61425000	Chr9:61332322-61337501	Protein of unknown function (DUF1645)	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237000	Chr9:61305001-61425000	Chr9:61336217-61344210	Trypsin	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237100	Chr9:61305001-61425000	Chr9:61342431-61353127	SBF-like CPA transporter family (DUF4137)	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237200	Chr9:61305001-61425000	Chr9:61351929-61358063	Belongs to the eukaryotic ribosomal protein eL13 family	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
