selection_class	gene_id	best_neglog10p	best_gwas_pvalue	best_selection_score	best_selection_region	gwas_traits	gene_region	gene_description	overlap_rows
XPCLR_breeding	Sobic.001G208166	7.76447155309245	1.72e-08	154.1223761	breeding_improved_vs_landrace	X2020.estimatedPlotYield.N;X2020.panicleGrainWeight.N	Chr1:19248278-19252909(+)		2
XPCLR_breeding	Sobic.001G208200	7.76447155309245	1.72e-08	154.1223761	breeding_improved_vs_landrace	X2020.estimatedPlotYield.N;X2020.panicleGrainWeight.N	Chr1:19250346-19257396(-)	Alpha galactosidase A	2
XPCLR_breeding	Sobic.001G208300	7.76447155309245	1.72e-08	154.1223761	breeding_improved_vs_landrace	X2020.estimatedPlotYield.N;X2020.panicleGrainWeight.N	Chr1:19260215-19268370(+)	Calcineurin-like phosphoesterase	2
XPCLR_breeding	Sobic.001G197225	7.07058107428571	8.5e-08	191.3631515	breeding_improved_vs_landrace	X2020.stemDiameterLower.N;X2021.tillersPerPlant.N	Chr1:17987240-17994333(-)	Belongs to the actin family	2
XPCLR_breeding	Sobic.001G197250	7.07058107428571	8.5e-08	191.3631515	breeding_improved_vs_landrace	X2020.stemDiameterLower.N;X2021.tillersPerPlant.N	Chr1:17990511-17996651(+)	Plant organelle RNA recognition domain	2
XPCLR_breeding	Sobic.001G197275	7.07058107428571	8.5e-08	191.3631515	breeding_improved_vs_landrace	X2020.stemDiameterLower.N;X2021.tillersPerPlant.N	Chr1:17992951-17998190(-)	Arabidopsis protein of unknown function	2
XPCLR_breeding	Sobic.001G197300	7.07058107428571	8.5e-08	191.3631515	breeding_improved_vs_landrace	X2020.stemDiameterLower.N;X2021.tillersPerPlant.N	Chr1:17994905-18003661(-)	Serine threonine-protein kinase	2
XPCLR_breeding	Sobic.001G197400	7.07058107428571	8.5e-08	191.3631515	breeding_improved_vs_landrace	X2020.stemDiameterLower.N;X2021.tillersPerPlant.N	Chr1:18006124-18013600(-)	Belongs to the actin family	2
XPCLR_breeding	Sobic.001G197500	7.07058107428571	8.5e-08	191.3631515	breeding_improved_vs_landrace	X2020.stemDiameterLower.N;X2021.tillersPerPlant.N	Chr1:18012256-18017847(+)		2
XPCLR_breeding	Sobic.003G199900	6.51712641639125	3.04e-07	318.1648419	breeding_improved_vs_landrace	X2020.panicleGrainWeight.N	Chr3:58993955-59005267(-)	Aminotransferase class I and II	1
XPCLR_breeding	Sobic.008G059200	6.44129142946683	3.62e-07	219.0669402	breeding_improved_vs_landrace	X2020.primaryBranchNumber.N	Chr8:6429996-6436291(-)	Transmembrane amino acid transporter protein	1
XPCLR_breeding	Sobic.008G059400	6.44129142946683	3.62e-07	219.0669402	breeding_improved_vs_landrace	X2020.primaryBranchNumber.N	Chr8:6465992-6472578(-)	Transmembrane amino acid transporter protein	1
XPCLR_breeding	Sobic.008G059500	6.44129142946683	3.62e-07	219.0669402	breeding_improved_vs_landrace	X2020.primaryBranchNumber.N	Chr8:6487994-6495764(-)		1
XPCLR_breeding	Sobic.008G059533	6.44129142946683	3.62e-07	219.0669402	breeding_improved_vs_landrace	X2020.primaryBranchNumber.N	Chr8:6495841-6500344(+)	source UniProtKB	1
XPCLR_breeding	Sobic.004G270600	6.43533393574791	3.67e-07	352.757521	breeding_improved_vs_landrace	X2020.rachisDiameterLower.N;X2020.rachisLength.N	Chr4:64010105-64018021(-)	MYB-CC type transfactor, LHEQLE motif	2
XPCLR_breeding	Sobic.004G270700	6.43533393574791	3.67e-07	352.757521	breeding_improved_vs_landrace	X2020.rachisDiameterLower.N;X2020.rachisLength.N	Chr4:64015177-64019938(+)		2
XPCLR_breeding	Sobic.004G270750	6.43533393574791	3.67e-07	352.757521	breeding_improved_vs_landrace	X2020.rachisDiameterLower.N;X2020.rachisLength.N	Chr4:64016325-64021346(-)		2
XPCLR_breeding	Sobic.004G270800	6.43533393574791	3.67e-07	352.757521	breeding_improved_vs_landrace	X2020.rachisDiameterLower.N;X2020.rachisLength.N	Chr4:64017654-64025038(-)	Anaphase-promoting complex subunit 4 WD40 domain	2
