gene_id	gene_chr	gene_start	gene_end	gene_strand	overlap_ids	HN_trait	LN_trait	gene_description	selection_class	known_gene_note	list_type	priority_score	curation_reason
Sobic.009G230800	9	60894509	60899170	-	HN_LN_129; HN_LN_128; HN_LN_138; HN_LN_139	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2020.LN.plantHeigh; X2021.LN.plantHeigh	Belongs to the iron ascorbate-dependent oxidoreductase family	balancing_improved_only	Dw1; well-studied sorghum dwarfing/plant-height locus on chromosome 9	HN_LN_overlap	24	Known Dw1 dwarfing/plant-height locus; HN/LN plant-height overlap; also balancing improved overlap.
Sobic.009G229200	9	60794812	60799531	-	HN_LN_138; HN_LN_128; HN_LN_139; HN_LN_129	X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2020.LN.plantHeigh; X2021.LN.plantHeigh	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations	balancing_improved_only	NA	HN_LN_overlap	9	Aux/IAA auxin response gene in HN/LN plant-height block; hormone control of growth; balancing improved overlap.
Sobic.009G230100	9	60851365	60855096	-	HN_LN_139; HN_LN_128; HN_LN_138; HN_LN_129	X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh	Protein kinase domain	balancing_improved_only	NA	HN_LN_overlap	8	Protein kinase in chr9 plant-height block; signaling candidate; balancing improved overlap.
Sobic.009G230700	9	60875387	60880041	+	HN_LN_138; HN_LN_128; HN_LN_129; HN_LN_139	X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2020.LN.plantHeigh; X2021.LN.plantHeigh	Myb/SANT-like DNA-binding domain	balancing_improved_only	NA	HN_LN_overlap	8	MYB/SANT DNA-binding gene in chr9 plant-height block; transcriptional regulation; balancing improved overlap.
Sobic.009G230400	9	60861467	60865544	-	HN_LN_139; HN_LN_128; HN_LN_138; HN_LN_129	X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh	UDP-glucoronosyl and UDP-glucosyl transferase	balancing_improved_only	NA	HN_LN_overlap	7	UDP-glucosyl/UDP-glucuronosyl transferase in chr9 plant-height block; cell-wall/hormone conjugation candidate; balancing improved overlap.
Sobic.009G239301	9	61504959	61505799	-	HN_LN_140; HN_LN_138; HN_LN_139; HN_LN_141; HN_LN_128; HN_LN_129	X2021.HN.thirdLeafLengt; X2020.HN.plantHeigh; X2021.HN.plantHeigh	X2020.LN.plantHeigh; X2021.LN.plantHeigh	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen	balancing_landrace_only	NA	HN_LN_overlap	10	CTP synthase using glutamine/ammonia as nitrogen source; nitrogen-metabolism-relevant; balancing landrace overlap.
Sobic.009G250200	9	62349111	62353243	+	HN_LN_119; HN_LN_127	X2021.HN.plantHeigh	X2021.LN.plantHeigh; X2020.LN.plantHeigh	Transmembrane amino acid transporter protein	NA	NA	HN_LN_overlap	10	Transmembrane amino-acid transporter in plant-height block; nitrogen transport candidate.
Sobic.006G115300	6	49672486	49682910	-	HN_LN_069	X2020.HN.flagLeafLengt	X2020.LN.flagLeafLengt	Transmembrane amino acid transporter protein	FST_breeding_improved_vs_landrace	NA	HN_LN_overlap	14	Amino-acid transporter; HN/LN leaf trait overlap; FST breeding overlap.
Sobic.006G136500	6	51310444	51312689	+	HN_LN_071; HN_LN_070	X2020.HN.stemDiameterUppe	X2020.LN.rachisDiameterLowe; X2020.LN.tillersPerPlan	Belongs to the cytochrome P450 family	balancing_wild_only; balancing_landrace_only	NA	HN_LN_overlap	8	Cytochrome P450; hormone/secondary metabolism candidate; balancing wild and landrace overlap.
Sobic.009G254900	9	62699952	62704490	+	HN_LN_123; HN_LN_147; HN_LN_144; HN_LN_127; HN_LN_124; HN_LN_143	X2021.HN.plantHeigh; X2021.HN.daysToFlowe	X2021.LN.plantHeigh; X2020.LN.plantHeigh; X2021.LN.daysToFlowe	Cytokinin-activating enzyme working in the direct activation pathway. Phosphoribohydrolase that converts inactive cytokinin nucleotides to the biologically active free-base forms	balancing_wild_only	NA	HN_LN_overlap	13	Cytokinin-activating enzyme; hormone/growth candidate; balancing wild overlap.
Sobic.003G375900	3	75434456	75436810	-	HN_LN_051	X2021.HN.tillersPerPlan	X2020.LN.paniclesPerPlo	Transmembrane amino acid transporter protein	NA	NA	HN_LN_overlap	10	Transmembrane amino-acid transporter; HN/LN yield-architecture overlap.
Sobic.008G129300	8	58574201	58575600	+	HN_LN_104; HN_LN_105	X2021.HN.percentOi; X2020.HN.percentStarc	X2020.LN.branchInternodeLengt	Basic region leucine zipper	balancing_wild_only	NA	HN_LN_overlap	14	bZIP transcription factor; stress/nutrient-response regulatory class; balancing wild overlap.
Sobic.008G164800	8	62914672	62922330	+	HN_LN_107	X2020.HN.branchInternodeLengt	X2020.LN.branchInternodeLengt	No apical meristem (NAM) protein	FST_breeding_improved_vs_landrace	NA	HN_LN_overlap	14	NAM/NAC-domain developmental regulator; FST breeding overlap.
Sobic.004G087100	4	7407770	7409915	-	HN_LN_057; HN_LN_056	X2021.HN.stemDiameterUppe; X2020.HN.branchInternodeLengt	X2020.LN.branchInternodeLengt	Belongs to the UDP-glycosyltransferase family	NA	NA	HN_LN_overlap	13	UDP-glycosyltransferase; developmental/metabolic candidate in HN/LN architecture overlap.
Sobic.009G217600	9	59994088	59997202	-	HN_LN_129; HN_LN_125	X2021.HN.plantHeigh	X2020.LN.plantHeigh; X2021.LN.plantHeigh	Mitogen-activated protein kinase kinase kinase	balancing_wild_only	NA	HN_LN_overlap	8	MAP kinase kinase kinase; signaling candidate in plant-height block; balancing wild overlap.
Sobic.009G230800	9	60894509	60899170	-	common_018; common_014; common_023; common_015; common_012; common_019; common_020; common_021; common_016; common_017; common_011; common_013; common_022	X2021.HN.plantHeigh; X2020.HN.plantHeigh	X2021.LN.daysToFlowe; X2021.LN.plantHeigh; X2020.LN.plantHeigh	Belongs to the iron ascorbate-dependent oxidoreductase family	balancing_improved_only	Dw1; well-studied sorghum dwarfing/plant-height locus on chromosome 9	HN_LN_NR_common	24	Known Dw1 dwarfing/plant-height locus; present in HN/LN/NR common region; balancing improved overlap.
Sobic.009G254900	9	62699952	62704490	+	common_019; common_018; common_016; common_021; common_013; common_014; common_017; common_012; common_020; common_011; common_015	X2021.HN.plantHeigh	X2021.LN.plantHeigh; X2021.LN.daysToFlowe; X2020.LN.plantHeigh	Cytokinin-activating enzyme working in the direct activation pathway. Phosphoribohydrolase that converts inactive cytokinin nucleotides to the biologically active free-base forms	balancing_wild_only	NA	HN_LN_NR_common	13	Cytokinin-activating enzyme; growth/flowering/plant-height candidate; balancing wild overlap.
