PI	sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss	Race	Abs_genetic_load
PI152651	PI152651_PI152651	-181890.771047699	19445	25%	-3.4990234	Chr01	miss50	Kafir	181890.771047699
PI152651	PI152651_PI152651	-89119.0821698	7817	10%	-5.1816406	Chr01	miss50	Kafir	89119.0821698
PI152651	PI152651_PI152651	-48565.7607994001	3887	5%	-5.9814453	Chr01	miss50	Kafir	48565.7607994001
PI152651	PI152651_PI152651	-11547.5424708	807	1%	-7.209961	Chr01	miss50	Kafir	11547.5424708
PI152651	PI152651_PI152651	-74720.6636245	8374	25%	-3.3007812	Chr02	miss50	Kafir	74720.6636245
PI152651	PI152651_PI152651	-33412.4077856	2969	10%	-4.9757812	Chr02	miss50	Kafir	33412.4077856
PI152651	PI152651_PI152651	-18337.5091287	1473	5%	-5.8046875	Chr02	miss50	Kafir	18337.5091287
PI152651	PI152651_PI152651	-4239.750493	286	1%	-7.1015625	Chr02	miss50	Kafir	4239.750493
PI152651	PI152651_PI152651	-171436.2820058	18364	25%	-3.1981201	Chr03	miss50	Kafir	171436.2820058
PI152651	PI152651_PI152651	-88655.629395	7679	10%	-4.8928223	Chr03	miss50	Kafir	88655.629395
PI152651	PI152651_PI152651	-48808.1087903999	3831	5%	-5.73617855	Chr03	miss50	Kafir	48808.1087903999
PI152651	PI152651_PI152651	-11740.5233187	780	1%	-7.045371144	Chr03	miss50	Kafir	11740.5233187
PI152651	PI152651_PI152651	-168932.6353281	16794	25%	-3.8300781	Chr04	miss50	Kafir	168932.6353281
PI152651	PI152651_PI152651	-79945.9744633999	6633	10%	-5.4033203	Chr04	miss50	Kafir	79945.9744633999
PI152651	PI152651_PI152651	-43605.654915	3328	5%	-6.12265628	Chr04	miss50	Kafir	43605.654915
PI152651	PI152651_PI152651	-10103.1699227	668	1%	-7.2910156	Chr04	miss50	Kafir	10103.1699227
PI152651	PI152651_PI152651	-113113.679451	11467	25%	-3.6359863	Chr05	miss50	Kafir	113113.679451
PI152651	PI152651_PI152651	-53628.3373940001	4473	10%	-5.276367	Chr05	miss50	Kafir	53628.3373940001
PI152651	PI152651_PI152651	-28710.2610995	2189	5%	-6.041992	Chr05	miss50	Kafir	28710.2610995
PI152651	PI152651_PI152651	-6349.8105353	420	1%	-7.2558594	Chr05	miss50	Kafir	6349.8105353
PI152651	PI152651_PI152651	-238236.326969399	23159	25%	-3.9614258	Chr06	miss50	Kafir	238236.326969399
PI152651	PI152651_PI152651	-113663.324439	9337	10%	-5.501953	Chr06	miss50	Kafir	113663.324439
PI152651	PI152651_PI152651	-61873.0621261001	4689	5%	-6.201172	Chr06	miss50	Kafir	61873.0621261001
PI152651	PI152651_PI152651	-14010.8508236	919	1%	-7.3916016	Chr06	miss50	Kafir	14010.8508236
PI152651	PI152651_PI152651	-43337.9616621001	4513	25%	-3.703674325	Chr07	miss50	Kafir	43337.9616621001
PI152651	PI152651_PI152651	-18836.5899796	1587	10%	-5.3376465	Chr07	miss50	Kafir	18836.5899796
PI152651	PI152651_PI152651	-10157.1303801	788	5%	-6.0955322	Chr07	miss50	Kafir	10157.1303801
PI152651	PI152651_PI152651	-2152.1850626	140	1%	-7.3183594	Chr07	miss50	Kafir	2152.1850626
PI152651	PI152651_PI152651	-137937.9121203	13874	25%	-3.9101562	Chr08	miss50	Kafir	137937.9121203
PI152651	PI152651_PI152651	-64725.2211473	5487	10%	-5.44519045	Chr08	miss50	Kafir	64725.2211473
PI152651	PI152651_PI152651	-35136.3474272001	2746	5%	-6.154297	Chr08	miss50	Kafir	35136.3474272001
PI152651	PI152651_PI152651	-7965.1557638	536	1%	-7.34375	Chr08	miss50	Kafir	7965.1557638
PI152651	PI152651_PI152651	-118647.0226952	11760	25%	-3.75	Chr09	miss50	Kafir	118647.0226952
PI152651	PI152651_PI152651	-56333.3598704	4630	10%	-5.33116459	Chr09	miss50	Kafir	56333.3598704
PI152651	PI152651_PI152651	-30280.3023559	2283	5%	-6.0703125	Chr09	miss50	Kafir	30280.3023559
PI152651	PI152651_PI152651	-7408.485345	482	1%	-7.2578125	Chr09	miss50	Kafir	7408.485345
PI152651	PI152651_PI152651	-163146.4703529	16251	25%	-3.803711	Chr10	miss50	Kafir	163146.4703529
PI152651	PI152651_PI152651	-76745.8568067002	6380	10%	-5.375	Chr10	miss50	Kafir	76745.8568067002
PI152651	PI152651_PI152651	-40082.7665629	3062	5%	-6.1035156	Chr10	miss50	Kafir	40082.7665629
PI152651	PI152651_PI152651	-8626.45090260001	574	1%	-7.2773438	Chr10	miss50	Kafir	8626.45090260001
PI17548	PI17548_PI17548	-152889.4449155	15596	25%	-3.4990234	Chr01	miss50	Durra	152889.4449155
PI17548	PI17548_PI17548	-73285.3116531	6075	10%	-5.1816406	Chr01	miss50	Durra	73285.3116531
PI17548	PI17548_PI17548	-39828.8678063	3016	5%	-5.9814453	Chr01	miss50	Durra	39828.8678063
PI17548	PI17548_PI17548	-9086.0476062	596	1%	-7.209961	Chr01	miss50	Durra	9086.0476062
PI17548	PI17548_PI17548	-202674.4569363	21551	25%	-3.3007812	Chr02	miss50	Durra	202674.4569363
PI17548	PI17548_PI17548	-101452.1817459	8760	10%	-4.9757812	Chr02	miss50	Durra	101452.1817459
PI17548	PI17548_PI17548	-55993.0060763	4397	5%	-5.8046875	Chr02	miss50	Durra	55993.0060763
PI17548	PI17548_PI17548	-12346.0499118	829	1%	-7.1015625	Chr02	miss50	Durra	12346.0499118
PI17548	PI17548_PI17548	-74842.6329683999	8295	25%	-3.1981201	Chr03	miss50	Durra	74842.6329683999
PI17548	PI17548_PI17548	-33348.4233257	2890	10%	-4.8928223	Chr03	miss50	Durra	33348.4233257
PI17548	PI17548_PI17548	-18080.5043938	1417	5%	-5.73617855	Chr03	miss50	Durra	18080.5043938
PI17548	PI17548_PI17548	-4102.7167989	274	1%	-7.045371144	Chr03	miss50	Durra	4102.7167989
PI17548	PI17548_PI17548	-201724.021636301	19864	25%	-3.8300781	Chr04	miss50	Durra	201724.021636301
PI17548	PI17548_PI17548	-96115.4781887001	7897	10%	-5.4033203	Chr04	miss50	Durra	96115.4781887001
PI17548	PI17548_PI17548	-51935.9177965	3930	5%	-6.12265628	Chr04	miss50	Durra	51935.9177965
PI17548	PI17548_PI17548	-11986.1203646	791	1%	-7.2910156	Chr04	miss50	Durra	11986.1203646
PI17548	PI17548_PI17548	-140110.7556102	14197	25%	-3.6359863	Chr05	miss50	Durra	140110.7556102
PI17548	PI17548_PI17548	-66503.6567205	5539	10%	-5.276367	Chr05	miss50	Durra	66503.6567205
PI17548	PI17548_PI17548	-36403.5058517	2786	5%	-6.041992	Chr05	miss50	Durra	36403.5058517
PI17548	PI17548_PI17548	-8350.0288053	548	1%	-7.2558594	Chr05	miss50	Durra	8350.0288053
PI17548	PI17548_PI17548	-27570.6435613	2827	25%	-3.9614258	Chr06	miss50	Durra	27570.6435613
PI17548	PI17548_PI17548	-10444.3782946	874	10%	-5.501953	Chr06	miss50	Durra	10444.3782946
PI17548	PI17548_PI17548	-5465.444575	419	5%	-6.201172	Chr06	miss50	Durra	5465.444575
PI17548	PI17548_PI17548	-1454.7934605	96	1%	-7.3916016	Chr06	miss50	Durra	1454.7934605
PI17548	PI17548_PI17548	-135828.4026443	13657	25%	-3.703674325	Chr07	miss50	Durra	135828.4026443
PI17548	PI17548_PI17548	-66061.7401551999	5528	10%	-5.3376465	Chr07	miss50	Durra	66061.7401551999
PI17548	PI17548_PI17548	-35278.750365	2709	5%	-6.0955322	Chr07	miss50	Durra	35278.750365
PI17548	PI17548_PI17548	-7629.6992224	502	1%	-7.3183594	Chr07	miss50	Durra	7629.6992224
PI17548	PI17548_PI17548	-138980.0474574	13556	25%	-3.9101562	Chr08	miss50	Durra	138980.0474574
PI17548	PI17548_PI17548	-66591.4897691	5459	10%	-5.44519045	Chr08	miss50	Durra	66591.4897691
PI17548	PI17548_PI17548	-36311.5844656	2753	5%	-6.154297	Chr08	miss50	Durra	36311.5844656
PI17548	PI17548_PI17548	-7989.0966728	529	1%	-7.34375	Chr08	miss50	Durra	7989.0966728
PI17548	PI17548_PI17548	-152414.263368	15063	25%	-3.75	Chr09	miss50	Durra	152414.263368
PI17548	PI17548_PI17548	-74439.2199170999	6132	10%	-5.33116459	Chr09	miss50	Durra	74439.2199170999
PI17548	PI17548_PI17548	-40741.1825496	3081	5%	-6.0703125	Chr09	miss50	Durra	40741.1825496
PI17548	PI17548_PI17548	-9372.2548776	614	1%	-7.2578125	Chr09	miss50	Durra	9372.2548776
PI17548	PI17548_PI17548	-176145.250526001	17696	25%	-3.803711	Chr10	miss50	Durra	176145.250526001
PI17548	PI17548_PI17548	-85970.6630101002	7252	10%	-5.375	Chr10	miss50	Durra	85970.6630101002
PI17548	PI17548_PI17548	-46620.3021553999	3626	5%	-6.1035156	Chr10	miss50	Durra	46620.3021553999
PI17548	PI17548_PI17548	-10143.2754123	685	1%	-7.2773438	Chr10	miss50	Durra	10143.2754123
PI24969	PI24969_PI24969	-195993.8782234	20312	25%	-3.4990234	Chr01	miss50	Bicolor	195993.8782234
PI24969	PI24969_PI24969	-96225.6830115002	8155	10%	-5.1816406	Chr01	miss50	Bicolor	96225.6830115002
PI24969	PI24969_PI24969	-52672.5340005001	4089	5%	-5.9814453	Chr01	miss50	Bicolor	52672.5340005001
PI24969	PI24969_PI24969	-12427.868642	838	1%	-7.209961	Chr01	miss50	Bicolor	12427.868642
PI24969	PI24969_PI24969	-225826.716686999	23979	25%	-3.3007812	Chr02	miss50	Bicolor	225826.716686999
PI24969	PI24969_PI24969	-114653.8576005	9902	10%	-4.9757812	Chr02	miss50	Bicolor	114653.8576005
PI24969	PI24969_PI24969	-63168.1708428	4956	5%	-5.8046875	Chr02	miss50	Bicolor	63168.1708428
PI24969	PI24969_PI24969	-14440.3986808	971	1%	-7.1015625	Chr02	miss50	Bicolor	14440.3986808
PI24969	PI24969_PI24969	-226560.734692801	24322	25%	-3.1981201	Chr03	miss50	Bicolor	226560.734692801
PI24969	PI24969_PI24969	-118583.3759867	10337	10%	-4.8928223	Chr03	miss50	Bicolor	118583.3759867
PI24969	PI24969_PI24969	-66267.9582012001	5239	5%	-5.73617855	Chr03	miss50	Bicolor	66267.9582012001
