gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_V1	selection_V2	selection_V3	selection_V4	selection_V5	selection_V6	selection_V7	selection_V8	selection_V9	selection_Description	selection_condition
Sobic.001G107900	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8416730	8433927	-	1	8432318	8536515	1411.423008	1	8416730	8433927	-	Sobic.001G107900	Fip1 motif	balancing_wild_only
Sobic.001G108000	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8433488	8439713	-	1	8432318	8536515	1411.423008	1	8433488	8439713	-	Sobic.001G108000	Maf-like protein	balancing_wild_only
Sobic.001G108100	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8436494	8442553	+	1	8432318	8536515	1411.423008	1	8436494	8442553	+	Sobic.001G108100	-	balancing_wild_only
Sobic.001G108200	1	8274144	8451286	3.82e-07	8341904	52	X2020.HN.percentStarc	HN	1	8439429	8445218	+	1	8432318	8536515	1411.423008	1	8439429	8445218	+	Sobic.001G108200	-	balancing_wild_only
Sobic.001G108300	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8461656	8465985	-	1	8432318	8536515	1411.423008	1	8461656	8465985	-	Sobic.001G108300	Plant transposase (Ptta/En/Spm family)	balancing_wild_only
Sobic.001G108400	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8471119	8479530	+	1	8432318	8536515	1411.423008	1	8471119	8479530	+	Sobic.001G108400	belongs to the protein kinase superfamily	balancing_wild_only
Sobic.001G108500	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8477554	8485428	-	1	8432318	8536515	1411.423008	1	8477554	8485428	-	Sobic.001G108500	CRAL/TRIO domain	balancing_wild_only
Sobic.001G108600	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8489725	8497541	-	1	8432318	8536515	1411.423008	1	8489725	8497541	-	Sobic.001G108600	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)	balancing_wild_only
Sobic.001G108700	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8497086	8505258	-	1	8432318	8536515	1411.423008	1	8497086	8505258	-	Sobic.001G108700	CRAL/TRIO domain	balancing_wild_only
Sobic.001G108800	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8506387	8511716	+	1	8432318	8536515	1411.423008	1	8506387	8511716	+	Sobic.001G108800	-	balancing_wild_only
Sobic.001G108900	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8507717	8516928	-	1	8432318	8536515	1411.423008	1	8507717	8516928	-	Sobic.001G108900	BTB POZ domain-containing protein	balancing_wild_only
Sobic.001G109000	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8526078	8531208	-	1	8432318	8536515	1411.423008	1	8526078	8531208	-	Sobic.001G109000	-	balancing_wild_only
Sobic.001G109100	1	8465678	8545678	4.91e-06	8505678	1	X2020.HN.percentStarc	HN	1	8535217	8542330	-	1	8432318	8536515	1411.423008	1	8535217	8542330	-	Sobic.001G109100	Belongs to the GRAS family	balancing_wild_only
Sobic.001G121700	1	9599614	9679614	6.47e-06	9639614	1	X2020.panicleGrainWeight.N	NR	1	9611477	9617716	-	1	9505635	9636677	2384.262297	1	9611477	9617716	-	Sobic.001G121700	Fantastic Four meristem regulator	balancing_wild_only
Sobic.001G121800	1	9599614	9679614	6.47e-06	9639614	1	X2020.panicleGrainWeight.N	NR	1	9621006	9628249	+	1	9505635	9636677	2384.262297	1	9621006	9628249	+	Sobic.001G121800	NA	balancing_wild_only
Sobic.001G189500	1	16898346	16978346	7.87e-06	16938346	1	X2020.estimatedPlotYield.N	NR	1	16888998	16898653	-	1	16837862	16920626	923.7650507	1	16888998	16898653	-	Sobic.001G189500	D-arabinono-1,4-lactone oxidase	balancing_wild_only
Sobic.001G189600	1	16898346	16978346	7.87e-06	16938346	1	X2020.estimatedPlotYield.N	NR	1	16903427	16913043	+	1	16837862	16920626	923.7650507	1	16903427	16913043	+	Sobic.001G189600	F-box LRR-repeat protein	balancing_wild_only
Sobic.001G189700	1	16898346	16978346	7.87e-06	16938346	1	X2020.estimatedPlotYield.N	NR	1	16909452	16914783	-	1	16837862	16920626	923.7650507	1	16909452	16914783	-	Sobic.001G189700	DnaJ molecular chaperone homology domain	balancing_wild_only
Sobic.001G189800	1	16898346	16978346	7.87e-06	16938346	1	X2020.estimatedPlotYield.N	NR	1	16918235	16922978	-	1	16837862	16920626	923.7650507	1	16918235	16922978	-	Sobic.001G189800	DnaJ molecular chaperone homology domain	balancing_wild_only
Sobic.001G201300	1	18400536	18480536	4.99e-06	18440536	1	X2020.HN.plantHeigh	HN	1	18423617	18430036	+	1	18424456	18511848	1116.85451	1	18423617	18430036	+	Sobic.001G201300	Remorin, C-terminal region	balancing_wild_only
Sobic.001G201350	1	18400536	18480536	4.99e-06	18440536	1	X2020.HN.plantHeigh	HN	1	18437533	18444118	+	1	18424456	18511848	1116.85451	1	18437533	18444118	+	Sobic.001G201350	Belongs to the sulfotransferase 1 family	balancing_wild_only
Sobic.001G201400	1	18400536	18480536	4.99e-06	18440536	1	X2020.HN.plantHeigh	HN	1	18452503	18465086	+	1	18424456	18511848	1116.85451	1	18452503	18465086	+	Sobic.001G201400	Belongs to the DEAD box helicase family	balancing_wild_only
Sobic.001G201500	1	18400536	18480536	4.99e-06	18440536	1	X2020.HN.plantHeigh	HN	1	18475044	18485070	+	1	18424456	18511848	1116.85451	1	18475044	18485070	+	Sobic.001G201500	Belongs to the DEAD box helicase family	balancing_wild_only
Sobic.001G240550	1	24882192	24962192	4.95e-07	24922192	1	X2020.HN.rachisDiameterLowe	HN	1	24931971	24936276	-	1	24934011	25034048	1158.752357	1	24931971	24936276	-	Sobic.001G240550	NA	balancing_wild_only
Sobic.001G240600	1	24882192	24962192	4.95e-07	24922192	1	X2020.HN.rachisDiameterLowe	HN	1	24937144	24944005	+	1	24934011	25034048	1158.752357	1	24937144	24944005	+	Sobic.001G240600	General transcription factor that functions at the core of the DNA-binding multiprotein factor TFIID. Binding of TFIID to the TATA box is the initial transcriptional step of the pre- initiation complex (PIC), playing a role in the activation of eukaryotic genes transcribed by RNA polymerase II	balancing_wild_only
Sobic.001G251200	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27341626	27361606	+	1	27352585	27448225	863.853552	1	27341626	27361606	+	Sobic.001G251200	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily	balancing_wild_only
Sobic.001G251300	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27357847	27363448	-	1	27352585	27448225	863.853552	1	27357847	27363448	-	Sobic.001G251300	Transferase family	balancing_wild_only
Sobic.001G251400	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27361330	27370287	+	1	27352585	27448225	863.853552	1	27361330	27370287	+	Sobic.001G251400	-	balancing_wild_only
Sobic.001G251500	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27366381	27374270	-	1	27352585	27448225	863.853552	1	27366381	27374270	-	Sobic.001G251500	calmodulin-binding family	balancing_wild_only
Sobic.001G251600	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27376584	27387127	+	1	27352585	27448225	863.853552	1	27376584	27387127	+	Sobic.001G251600	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain	balancing_wild_only
Sobic.001G251700	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27386172	27397811	-	1	27352585	27448225	863.853552	1	27386172	27397811	-	Sobic.001G251700	Serine threonine-protein phosphatase	balancing_wild_only
Sobic.001G251750	1	27319997	27399997	1.31e-06	27359997	1	X2020.LN.flagLeafWidt	LN	1	27394012	27398291	+	1	27352585	27448225	863.853552	1	27394012	27398291	+	Sobic.001G251750	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	balancing_wild_only
Sobic.001G296400	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	LN	1	61671789	61692941	+	1	61687880	61767900	835.8653877	1	61671789	61692941	+	Sobic.001G296400	Palmitoyl protein thioesterase	balancing_wild_only
Sobic.001G296400	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N	NR	1	61671789	61692941	+	1	61687880	61767900	835.8653877	1	61671789	61692941	+	Sobic.001G296400	Palmitoyl protein thioesterase	balancing_wild_only
Sobic.001G296500	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	LN	1	61696910	61715686	-	1	61687880	61767900	835.8653877	1	61696910	61715686	-	Sobic.001G296500	Armadillo/beta-catenin-like repeat	balancing_wild_only
