kegg_gene	ncbi_gene_id	kegg_name	kegg_ko	kegg_ec	kegg_pathways	ncbi_symbol	ncbi_description	ncbi_chromosome	sorbi_locus_tag	sobic_v5_id	evidence_kegg_00910	evidence_kegg_01310	evidence_keyword_core	evidence_terms	evidence_score	confidence_tier	chr	chr_label	start1	end1	strand	present_in_v5_gff	kegg_gene_url	ncbi_gene_url
sbi:8055422	8055422	(RefSeq) nitrate reductase [NADH] 3	K10534	1.7.1.1 1.7.1.2 1.7.1.3	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01310  Nitrogen cycle	LOC8055422	nitrate reductase [NADH] 3	4	SORBI_3004G196101	Sobic.004G196101.v5.1	True	True	True	nitrate reductase	3	high	4	Chr04	57189852	57193245	-	True	https://www.kegg.jp/entry/sbi:8055422	https://www.ncbi.nlm.nih.gov/gene/8055422
sbi:8075200	8075200	(RefSeq) ferredoxin--nitrite reductase, chloroplastic	K00366	1.7.7.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01310  Nitrogen cycle	LOC8075200	ferredoxin--nitrite reductase, chloroplastic	4	SORBI_3004G309300	Sobic.004G309300.v5.1	True	True	True	nitrite reductase	3	high	4	Chr04	67185188	67191012	-	True	https://www.kegg.jp/entry/sbi:8075200	https://www.ncbi.nlm.nih.gov/gene/8075200
sbi:8078943	8078943	(RefSeq) nitrate reductase [NAD(P)H]	K10534	1.7.1.1 1.7.1.2 1.7.1.3	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01310  Nitrogen cycle	LOC8078943	nitrate reductase [NAD(P)H]	4	SORBI_3004G312500	Sobic.004G312500.v5.1	True	True	True	nitrate reductase	3	high	4	Chr04	67477968	67481750	-	True	https://www.kegg.jp/entry/sbi:8078943	https://www.ncbi.nlm.nih.gov/gene/8078943
sbi:8083522	8083522	(RefSeq) nitrate reductase [NADH]	K10534	1.7.1.1 1.7.1.2 1.7.1.3	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01310  Nitrogen cycle	LOC8083522	nitrate reductase [NADH]	7	SORBI_3007G153900	Sobic.007G153900.v5.1	True	True	True	nitrate reductase	3	high	7	Chr07	62047825	62053758	+	True	https://www.kegg.jp/entry/sbi:8083522	https://www.ncbi.nlm.nih.gov/gene/8083522
sbi:110431761	110431761	(RefSeq) glutamine synthetase root isozyme 2	K01915	6.3.1.2	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01110  Biosynthesis of secondary metabolites | sbi01230  Biosynthesis of amino acids | sbi04075  Plant hormone signal transduction	LOC110431761	glutamine synthetase root isozyme 2	1	SORBI_3001G116400	Sobic.001G116400.v5.1	True	False	True	glutamine synthetase	2	high	1	Chr01	9183627	9188037	+	True	https://www.kegg.jp/entry/sbi:110431761	https://www.ncbi.nlm.nih.gov/gene/110431761
sbi:8070498	8070498	(RefSeq) cyanate hydratase	K01725	4.2.1.104	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8070498	cyanate hydratase	1	SORBI_3001G222600	Sobic.001G222600.v5.1	True	False	True	cyanate hydratase	2	high	1	Chr01	21421887	21424960	-	True	https://www.kegg.jp/entry/sbi:8070498	https://www.ncbi.nlm.nih.gov/gene/8070498
sbi:8056868	8056868	(RefSeq) glutamine synthetase root isozyme 1	K01915	6.3.1.2	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01110  Biosynthesis of secondary metabolites | sbi01230  Biosynthesis of amino acids | sbi04075  Plant hormone signal transduction	LOC8056868	glutamine synthetase root isozyme 1	1	SORBI_3001G451500	Sobic.001G451500.v5.1	True	False	True	glutamine synthetase	2	high	1	Chr01	76991596	76995643	+	True	https://www.kegg.jp/entry/sbi:8056868	https://www.ncbi.nlm.nih.gov/gene/8056868
sbi:8073135	8073135	(RefSeq) ferredoxin-dependent glutamate synthase, chloroplastic	K00284	1.4.7.1	sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism	LOC8073135	ferredoxin-dependent glutamate synthase, chloroplastic	2	SORBI_3002G402700	Sobic.002G402700.v5.1	True	False	True	glutamate synthase	2	high	2	Chr02	76640171	76655673	-	True	https://www.kegg.jp/entry/sbi:8073135	https://www.ncbi.nlm.nih.gov/gene/8073135
sbi:8078590	8078590	(RefSeq) probable high-affinity nitrate transporter 2.4	K02575		sbi00910  Nitrogen metabolism	LOC8078590	probable high-affinity nitrate transporter 2.4	3	SORBI_3003G188200	Sobic.003G188200.v5.1	True	False	True	nitrate transporter	2	high	3	Chr03	56997381	57000323	+	True	https://www.kegg.jp/entry/sbi:8078590	https://www.ncbi.nlm.nih.gov/gene/8078590
sbi:8068026	8068026	(RefSeq) glutamate synthase 1 [NADH], chloroplastic isoform X1	K00264	1.4.1.14	sbi00250  Alanine, aspartate and glutamate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01110  Biosynthesis of secondary metabolites | sbi01230  Biosynthesis of amino acids	LOC8068026	glutamate synthase 1 [NADH], chloroplastic	3	SORBI_3003G258800	Sobic.003G258800.v5.1	True	False	True	glutamate synthase	2	high	3	Chr03	65976385	65988511	-	True	https://www.kegg.jp/entry/sbi:8068026	https://www.ncbi.nlm.nih.gov/gene/8068026
sbi:8069516	8069516	(RefSeq) high-affinity nitrate transporter 2.3	K02575		sbi00910  Nitrogen metabolism	LOC8069516	high-affinity nitrate transporter 2.3	3	SORBI_3003G270800	Sobic.003G270800.v5.1	True	False	True	nitrate transporter	2	high	3	Chr03	67062769	67065104	+	True	https://www.kegg.jp/entry/sbi:8069516	https://www.ncbi.nlm.nih.gov/gene/8069516
sbi:8085190	8085190	(RefSeq) high-affinity nitrate transporter 2.1	K02575		sbi00910  Nitrogen metabolism	LOC8085190	high-affinity nitrate transporter 2.1	4	SORBI_3004G009200	Sobic.004G009200.v5.1	True	False	True	nitrate transporter	2	high	4	Chr04	838211	840194	+	True	https://www.kegg.jp/entry/sbi:8085190	https://www.ncbi.nlm.nih.gov/gene/8085190
sbi:8066510	8066510	(RefSeq) high-affinity nitrate transporter 2.1	K02575		sbi00910  Nitrogen metabolism	LOC8066510	high-affinity nitrate transporter 2.1	4	SORBI_3004G009400	Sobic.004G009400.v5.1	True	False	True	nitrate transporter	2	high	4	Chr04	853900	855909	+	True	https://www.kegg.jp/entry/sbi:8066510	https://www.ncbi.nlm.nih.gov/gene/8066510
