comparison	Gene	max_xpclr	n_regions	total_merged_windows	Description
domestication_landrace_vs_wild	Sobic.001G311500	1427.85014	1	5	N-acetylglucosaminyl transferase component (Gpi1)
domestication_landrace_vs_wild	Sobic.001G311601	1427.85014	1	5	
domestication_landrace_vs_wild	Sobic.001G311800	1427.85014	1	5	Phosphate-induced protein 1 conserved region
domestication_landrace_vs_wild	Sobic.001G311833	1427.85014	1	5	
domestication_landrace_vs_wild	Sobic.001G311866	1427.85014	1	5	No apical meristem-associated C-terminal domain
domestication_landrace_vs_wild	Sobic.001G311900	1427.85014	1	5	Belongs to the peptidase S10 family
domestication_landrace_vs_wild	Sobic.001G312000	1427.85014	1	5	
domestication_landrace_vs_wild	Sobic.001G312100	1427.85014	1	5	Belongs to the DEFL family
domestication_landrace_vs_wild	Sobic.001G312200	1427.85014	1	5	Knottins
domestication_landrace_vs_wild	Sobic.001G312300	1427.85014	1	5	
domestication_landrace_vs_wild	Sobic.001G312350	1427.85014	1	5	Knottins
domestication_landrace_vs_wild	Sobic.001G312500	1427.85014	1	5	Serine/threonine phosphatases, family 2C, catalytic domain
domestication_landrace_vs_wild	Sobic.001G312600	1427.85014	1	5	May be involved in modulation of pathogen defense and leaf cell death
domestication_landrace_vs_wild	Sobic.001G233800	1132.870411	1	11	WRC
domestication_landrace_vs_wild	Sobic.001G233900	1132.870411	1	11	WRC
domestication_landrace_vs_wild	Sobic.001G234000	1132.870411	1	11	WRC
domestication_landrace_vs_wild	Sobic.001G234100	1132.870411	1	11	-
domestication_landrace_vs_wild	Sobic.001G234200	1132.870411	1	11	Belongs to the actin family
domestication_landrace_vs_wild	Sobic.001G234300	1132.870411	1	11	Prokaryotic RING finger family 4
domestication_landrace_vs_wild	Sobic.001G234500	1132.870411	1	11	AP2 domain
domestication_landrace_vs_wild	Sobic.001G393300	1062.735419	1	8	Thioredoxin-like
domestication_landrace_vs_wild	Sobic.001G393401	1062.735419	1	8	-
domestication_landrace_vs_wild	Sobic.001G393500	1062.735419	1	8	EF-hand domain pair
domestication_landrace_vs_wild	Sobic.001G393600	1062.735419	1	8	Plant protein of unknown function
domestication_landrace_vs_wild	Sobic.001G393700	1062.735419	1	8	-
domestication_landrace_vs_wild	Sobic.001G393800	1062.735419	1	8	Enoyl-CoA hydratase/isomerase
domestication_landrace_vs_wild	Sobic.001G393900	1062.735419	1	8	FAD binding domain
domestication_landrace_vs_wild	Sobic.004G321800	910.1199007	1	16	Saccharopine dehydrogenase C-terminal domain
domestication_landrace_vs_wild	Sobic.004G321900	910.1199007	1	16	Belongs to the AAA ATPase family
domestication_landrace_vs_wild	Sobic.004G322000	910.1199007	1	16	Belongs to the glycosyltransferase 31 family
domestication_landrace_vs_wild	Sobic.004G322100	910.1199007	1	16	Belongs to the glycosyltransferase 31 family
domestication_landrace_vs_wild	Sobic.004G322200	910.1199007	1	16	ribosomal protein
domestication_landrace_vs_wild	Sobic.004G322300	910.1199007	1	16	Anaphase-promoting complex, cyclosome, subunit 4
domestication_landrace_vs_wild	Sobic.004G322400	910.1199007	1	16	RIC1
domestication_landrace_vs_wild	Sobic.004G322500	910.1199007	1	16	
domestication_landrace_vs_wild	Sobic.004G322600	910.1199007	1	16	PB1 domain
domestication_landrace_vs_wild	Sobic.004G322800	910.1199007	1	16	Myb-like DNA-binding domain
domestication_landrace_vs_wild	Sobic.004G322901	910.1199007	1	16	
domestication_landrace_vs_wild	Sobic.004G323000	910.1199007	1	16	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
domestication_landrace_vs_wild	Sobic.004G323100	910.1199007	1	16	Belongs to the CRISP family
domestication_landrace_vs_wild	Sobic.004G323150	910.1199007	1	16	
domestication_landrace_vs_wild	Sobic.004G323200	910.1199007	1	16	Belongs to the CRISP family
domestication_landrace_vs_wild	Sobic.004G323300	910.1199007	1	16	Belongs to the CRISP family
domestication_landrace_vs_wild	Sobic.004G323400	910.1199007	1	16	Putative serine esterase (DUF676)
domestication_landrace_vs_wild	Sobic.004G323500	910.1199007	1	16	Protein kinase domain
domestication_landrace_vs_wild	Sobic.004G323600	910.1199007	1	16	belongs to the protein kinase superfamily
domestication_landrace_vs_wild	Sobic.004G323700	910.1199007	1	16	Ring finger domain
domestication_landrace_vs_wild	Sobic.004G323800	910.1199007	1	16	PCRF
domestication_landrace_vs_wild	Sobic.004G323900	910.1199007	1	16	-
domestication_landrace_vs_wild	Sobic.004G324000	910.1199007	1	16	Glutamate-gated receptor that probably acts as non- selective cation channel
domestication_landrace_vs_wild	Sobic.007G132000	875.7759408	1	5	Myb-like DNA-binding domain
domestication_landrace_vs_wild	Sobic.003G144800	868.9330206	1	5	Domain of unknown function (DUF4228)
domestication_landrace_vs_wild	Sobic.003G144900	868.9330206	1	5	Belongs to the endosulfine family
domestication_landrace_vs_wild	Sobic.003G144950	868.9330206	1	5	
