sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-113113.67945099977	11467	25%	-3.6359863	Chr05	miss50
PI17548_PI17548	-140110.75561020017	14197	25%	-3.6359863	Chr05	miss50
PI24969_PI24969	-114762.01486070002	11606	25%	-3.6359863	Chr05	miss50
PI276837_PI276837	-118362.72752179975	11816	25%	-3.6359863	Chr05	miss50
PI329435_PI329435	-116689.5878497997	11615	25%	-3.6359863	Chr05	miss50
PI329440_PI329440	-264687.54048490024	26300	25%	-3.6359863	Chr05	miss50
PI34911_PI34911	-119270.54144029978	11961	25%	-3.6359863	Chr05	miss50
PI35038_PI35038	-276122.13046849944	27589	25%	-3.6359863	Chr05	miss50
PI48770_PI48770	-233977.40287320007	30817	25%	-3.6359863	Chr05	miss50
PI533750_PI533750	-96646.2617984001	9759	25%	-3.6359863	Chr05	miss50
PI533752_PI533752	-258763.19963399952	25648	25%	-3.6359863	Chr05	miss50
PI533754_PI533754	-117502.70967699995	12514	25%	-3.6359863	Chr05	miss50
PI533755_PI533755	-117809.31308709977	12350	25%	-3.6359863	Chr05	miss50
PI533757_PI533757	-117256.9207559	11778	25%	-3.6359863	Chr05	miss50
PI533758_PI533758	-115850.40699810008	11608	25%	-3.6359863	Chr05	miss50
PI533759_PI533759	-124262.46901429973	12325	25%	-3.6359863	Chr05	miss50
PI533760_PI533760	-116873.8716144998	11730	25%	-3.6359863	Chr05	miss50
PI533761_PI533761	-111674.59439609978	11194	25%	-3.6359863	Chr05	miss50
PI533762_PI533762	-114960.20275799982	13574	25%	-3.6359863	Chr05	miss50
PI533766_PI533766	-115850.68089659984	11705	25%	-3.6359863	Chr05	miss50
PI533769_PI533769	-122305.14114899976	12274	25%	-3.6359863	Chr05	miss50
PI533776_PI533776	-112360.7602916999	11561	25%	-3.6359863	Chr05	miss50
PI533785_PI533785	-82764.79400280003	8794	25%	-3.6359863	Chr05	miss50
PI533788_PI533788	-137520.81158359977	13984	25%	-3.6359863	Chr05	miss50
PI533789_PI533789	-137023.54890609998	13782	25%	-3.6359863	Chr05	miss50
PI533792_PI533792	-122425.71788439983	12337	25%	-3.6359863	Chr05	miss50
PI533794_PI533794	-120419.01430369969	11917	25%	-3.6359863	Chr05	miss50
PI533799_PI533799	-120177.86367089965	11902	25%	-3.6359863	Chr05	miss50
PI533800_PI533800	-111127.33172669975	11384	25%	-3.6359863	Chr05	miss50
PI533807_PI533807	-112044.33577209983	11339	25%	-3.6359863	Chr05	miss50
PI533810_PI533810	-147031.67563620038	14890	25%	-3.6359863	Chr05	miss50
PI533814_PI533814	-120430.784424	12289	25%	-3.6359863	Chr05	miss50
PI533821_PI533821	-110132.62791909985	11039	25%	-3.6359863	Chr05	miss50
PI533822_PI533822	-108983.57301199995	11047	25%	-3.6359863	Chr05	miss50
PI533824_PI533824	-110013.8603600999	11118	25%	-3.6359863	Chr05	miss50
PI533830_PI533830	-136654.7658701002	14925	25%	-3.6359863	Chr05	miss50
PI533831_PI533831	-113421.0129355997	11462	25%	-3.6359863	Chr05	miss50
PI533833_PI533833	-110653.31454449975	11064	25%	-3.6359863	Chr05	miss50
PI533838_PI533838	-108357.60931569997	11009	25%	-3.6359863	Chr05	miss50
PI533839_PI533839	-73849.01022380004	7774	25%	-3.6359863	Chr05	miss50
PI533841_PI533841	-109685.13290649994	11108	25%	-3.6359863	Chr05	miss50
PI533842_PI533842	-148981.53156660064	15208	25%	-3.6359863	Chr05	miss50
PI533843_PI533843	-119789.09674979954	12026	25%	-3.6359863	Chr05	miss50
PI533845_PI533845	-113073.5043619995	11500	25%	-3.6359863	Chr05	miss50
PI533852_PI533852	-111230.4172575997	11543	25%	-3.6359863	Chr05	miss50
PI533855_PI533855	-111595.66636539949	13447	25%	-3.6359863	Chr05	miss50
PI533856_PI533856	-210586.1716554007	35001	25%	-3.6359863	Chr05	miss50
