selection_class	gene_id	best_neglog10p	best_gwas_pvalue	best_selection_score	best_selection_region	gwas_traits	gene_region	gene_description	overlap_rows
B2_improved	Sobic.003G366850	6.64397414280688	2.27e-07	2297.11703396143	Chr3:74619147-74699147	X2020.estimatedPlotYield.N	Chr3:74678988-74712223(+)	Protein HASTY 1 isoform X1	864
B2_improved	Sobic.003G367000	6.64397414280688	2.27e-07	2083.82813526544	Chr3:74633189-74713189	X2020.estimatedPlotYield.N	Chr3:74710343-74715841(-)	RING-type E3 ubiquitin transferase	105
B2_improved	Sobic.003G367100	6.64397414280688	2.27e-07	1952.78722864029	Chr3:74641486-74721486	X2020.estimatedPlotYield.N	Chr3:74721114-74726774(-)	Dof domain, zinc finger	42
B2_improved	Sobic.003G367150	6.64397414280688	2.27e-07	1744.48436382621	Chr3:74651022-74731022	X2020.estimatedPlotYield.N	Chr3:74730784-74735960(+)		4
B2_improved	Sobic.009G230800	5.91364016932525	1.22e-06	2073.40568990843	Chr9:60813367-60893367	X2020.rachisLength.N	Chr9:60892509-60901170(-)	Belongs to the iron ascorbate-dependent oxidoreductase family	608
B2_improved	Sobic.009G230900	5.91364016932525	1.22e-06	2039.43668323115	Chr9:60827446-60907446	X2020.rachisLength.N	Chr9:60906793-60911543(+)	-	415
B2_improved	Sobic.009G231000	5.91364016932525	1.22e-06	2018.53803806327	Chr9:60831334-60911334	X2020.rachisLength.N	Chr9:60911333-60915817(+)		314
B2_improved	Sobic.009G231100	5.91364016932525	1.22e-06	2001.43448416184	Chr9:60834456-60914456	X2020.rachisLength.N	Chr9:60914369-60921739(-)	Cytidylyltransferase	291
B2_improved	Sobic.009G231200	5.91364016932525	1.22e-06	1949.03183642655	Chr9:60840877-60920877	X2020.rachisLength.N	Chr9:60920559-60928826(+)	UBA-like domain (DUF1421)	257
B2_improved	Sobic.009G231300	5.91364016932525	1.22e-06	1939.36809950571	Chr9:60846678-60926678	X2020.rachisLength.N	Chr9:60925646-60933126(-)	Stress-induced protein Di19, C-terminal	191
B2_improved	Sobic.009G231400	5.91364016932525	1.22e-06	1907.45915089162	Chr9:60850738-60930738	X2020.rachisLength.N	Chr9:60930612-60937291(-)	DnaJ C terminal domain	169
B2_improved	Sobic.009G231500	5.91364016932525	1.22e-06	1715.72318596023	Chr9:60861013-60941013	X2020.rachisLength.N	Chr9:60940762-60945812(-)	Protein of unknown function (DUF679)	28
B2_improved	Sobic.003G066600	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5718327-5724464(+)	Protein of unknown function (DUF674)	66
B2_improved	Sobic.003G066700	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5720548-5726590(-)	A Receptor for Ubiquitination Targets	84
B2_improved	Sobic.003G066801	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5723524-5729449(+)		84
B2_improved	Sobic.003G066900	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5731969-5736871(-)	Protein of unknown function (DUF674)	84
B2_improved	Sobic.003G067000	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5738730-5743723(-)	Protein of unknown function (DUF674)	84
B2_improved	Sobic.003G067100	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5746346-5760814(-)	GAD domain	84
B2_improved	Sobic.003G067201	5.61261017366127	2.44e-06	1762.25031276865	Chr3:5723158-5803158	X2020.daysToFlower.N	Chr3:5756073-5765421(+)	Pentacotripeptide-repeat region of PRORP	84
B2_improved	Sobic.005G102300	5.54821356447571	2.83e-06	3450.78869176053	Chr5:17991752-18071752	X2021.tillersPerPlant.N	Chr5:18061046-18065942(-)	Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism	947
B2_improved	Sobic.005G102351	5.54821356447571	2.83e-06	3450.78869176053	Chr5:17991752-18071752	X2021.tillersPerPlant.N	Chr5:18065849-18070443(+)		786
