comparison	region_chr	region_start	region_end	max_xpclr	n_merged_windows	gene_chr	gene_start	gene_end	strand	gene_id
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	583717	589674	+	Sobic.001G005900
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	585993	592606	-	Sobic.001G006000
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	589026	594357	-	Sobic.001G006101
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	592605	597958	-	Sobic.001G006201
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	596924	602529	-	Sobic.001G006300
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	604759	613362	-	Sobic.001G006400
domestication_landrace_vs_wild	1	585001	610000	560.6337459	1	1	609730	615445	-	Sobic.001G006500
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3241083	3246945	-	Sobic.001G042901
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3247651	3253428	-	Sobic.001G043000
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3250667	3263947	+	Sobic.001G043100
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3263533	3271147	+	Sobic.001G043200
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3268469	3276199	+	Sobic.001G043301
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3272579	3284188	-	Sobic.001G043400
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3283000	3291804	-	Sobic.001G043500
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3291874	3298875	+	Sobic.001G043601
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3298055	3307718	+	Sobic.001G043700
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3303720	3313891	+	Sobic.001G043800
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3309816	3317043	-	Sobic.001G043900
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3317397	3322640	-	Sobic.001G044000
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3320762	3327504	+	Sobic.001G044100
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3324682	3329908	+	Sobic.001G044200
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3325801	3333043	-	Sobic.001G044300
domestication_landrace_vs_wild	1	3245001	3335000	552.8547312	4	1	3332354	3338631	+	Sobic.001G044400
domestication_landrace_vs_wild	1	3445001	3470000	439.5971524	1	1	3449167	3458952	+	Sobic.001G046500
domestication_landrace_vs_wild	1	3445001	3470000	439.5971524	1	1	3457178	3467593	+	Sobic.001G046600
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4406178	4412867	-	Sobic.001G057600
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4409689	4417680	-	Sobic.001G057700
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4412987	4420565	+	Sobic.001G057800
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4422925	4428234	+	Sobic.001G057900
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4424531	4432163	-	Sobic.001G058100
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4432419	4441470	-	Sobic.001G058200
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4442687	4451478	+	Sobic.001G058300
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4447952	4454017	-	Sobic.001G058400
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4456245	4463100	+	Sobic.001G058500
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4459291	4468775	+	Sobic.001G058600
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4463473	4479572	-	Sobic.001G058700
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4479876	4485416	+	Sobic.001G058800
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4483255	4489275	+	Sobic.001G058900
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4486095	4491640	-	Sobic.001G059001
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4486981	4497443	+	Sobic.001G059100
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4494336	4501012	+	Sobic.001G059200
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4497275	4502470	-	Sobic.001G059300
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4498737	4503651	-	Sobic.001G059400
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4499791	4504839	-	Sobic.001G059500
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4503278	4508351	+	Sobic.001G059600
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4506336	4511553	+	Sobic.001G059700
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4508970	4515271	-	Sobic.001G059800
domestication_landrace_vs_wild	1	4410001	4540000	682.3120481	6	1	4528820	4538179	-	Sobic.001G059900
domestication_landrace_vs_wild	1	4655001	4685000	491.7073658	2	1	4663784	4675457	+	Sobic.001G062300
